"source","destination"
11,978
12,3530
12,4108
12,2217
12,124
19,3245
21,30
28,2778
30,2180
30,95
30,2227
30,962
31,1570
31,3169
39,1185
42,3093
43,3110
43,1785
44,619
44,1571
44,351
49,2624
54,2921
55,3363
57,2166
58,2088
58,1078
63,3690
66,3122
66,1378
66,3210
66,2356
70,2360
70,23
71,2717
71,3340
73,3668
73,81
73,145
73,646
73,3770
73,3334
73,467
73,2369
73,3371
73,641
74,2153
74,1246
76,2178
77,475
77,3912
78,3777
79,997
81,1082
81,145
81,73
81,646
83,3700
83,2863
83,1265
83,1904
87,1113
87,399
94,1011
94,3734
95,30
95,2180
95,2227
98,1988
100,2482
101,2501
101,3725
101,3028
101,398
102,3669
102,548
102,2746
105,2722
106,3955
110,372
120,816
131,1834
132,1043
132,1785
132,3160
136,1466
136,3371
136,718
136,761
139,2656
141,786
141,2044
141,1577
143,3975
144,1574
145,81
145,646
146,152
146,2186
147,1228
147,2589
152,2186
152,146
153,4137
160,3773
169,860
170,441
170,3000
173,3000
173,879
174,1558
177,1408
178,1941
179,3426
185,1249
185,2640
185,2903
185,2631
186,843
188,1533
190,1215
190,1722
199,3077
199,2609
199,2530
201,565
203,1838
205,512
206,860
212,3216
212,3299
212,1240
212,1956
213,920
213,2252
213,3076
215,2408
219,848
223,2622
224,2135
230,3361
231,2898
231,2217
231,4108
236,3697
236,1304
236,913
237,3184
237,3272
237,2863
237,1948
237,2399
237,3939
237,449
238,2920
238,1066
241,3754
242,1831
244,929
245,1417
245,3656
256,1996
256,4021
261,1954
262,637
263,3395
263,2144
264,1479
265,657
267,476
268,3272
269,3519
269,936
269,2614
271,536
271,2908
271,2625
273,619
273,44
273,3586
273,500
273,1589
273,408
273,607
273,1571
273,307
274,2778
274,1648
274,3800
278,2586
278,3777
278,3401
278,2797
278,2835
278,2059
278,2670
279,590
280,2425
281,387
281,898
281,4101
285,2586
285,485
285,2640
285,1224
287,3957
287,3658
289,2346
289,1821
289,2921
289,3015
289,1712
296,1449
296,2499
301,3284
301,1920
302,3122
302,2903
307,1571
307,403
309,3452
314,2221
316,2252
320,2801
331,570
337,4014
339,536
339,2134
340,2755
340,3670
341,2293
341,2749
344,3299
346,3503
346,2941
347,757
348,2502
348,3395
351,1712
351,1571
351,44
351,3502
351,1325
353,1083
353,4087
353,3338
353,1139
354,1888
356,873
356,1739
372,959
372,2980
372,110
379,1092
379,1996
380,3422
380,2323
380,410
384,2431
385,2392
387,2062
387,898
387,2715
387,281
387,4101
389,3059
389,3005
392,1221
392,2848
392,2087
392,2170
395,2098
395,4012
396,1343
397,3057
398,101
398,3725
399,3211
399,891
399,87
401,3786
403,1631
403,307
403,1325
403,1712
407,2426
408,1083
408,1589
410,812
410,3422
410,380
410,2323
411,2471
416,844
417,3071
419,2527
419,2173
419,838
421,1117
421,2146
425,2852
425,1401
426,1503
433,2625
433,2599
441,3000
441,170
443,928
443,3352
443,2775
443,3996
443,2144
447,2222
448,1008
449,1940
449,2119
449,3939
449,1283
449,2511
449,237
454,3467
459,4019
470,1273
470,3235
471,3503
475,77
475,3912
476,3182
476,577
479,2858
480,3890
481,1018
484,3903
485,285
485,2059
485,1415
488,3363
489,1427
489,3183
489,1083
489,156
490,2660
492,1282
493,1417
493,3278
498,2119
498,3949
498,2511
500,3298
500,3689
500,1571
504,3352
505,533
510,4043
510,4168
512,205
513,2901
513,1509
513,1227
516,813
522,2795
529,3325
530,4060
530,775
533,1576
533,651
533,505
536,2908
536,271
536,339
536,3176
536,1178
536,1283
538,1953
538,2312
538,3338
545,2921
545,1712
545,4103
545,4043
545,2586
545,2631
547,1181
547,4108
547,3766
547,2330
547,1936
547,1622
547,3912
548,102
548,3669
550,443
550,928
550,3530
550,537
550,674
550,1015
550,3024
553,1918
559,3805
559,1392
559,2203
562,3642
565,887
567,591
568,4190
568,1224
570,528
572,2170
572,939
575,847
575,2046
575,1942
575,1399
575,4030
575,1025
577,44
577,476
577,4064
587,1856
590,279
591,4161
591,567
591,3935
597,2163
597,2432
597,3245
598,3967
598,1498
599,2766
599,3829
599,3132
599,1643
602,860
602,2863
602,1666
604,1880
604,2455
608,3267
612,1870
616,1684
616,2991
619,44
620,1356
620,2424
624,3640
628,3005
628,3299
628,4060
630,3668
630,3371
630,965
631,1972
632,691
633,2399
633,3980
633,3422
633,2323
637,262
638,1672
638,3245
638,536
638,1219
639,1519
641,3852
641,3668
641,1233
641,2369
641,1311
641,3544
641,3949
641,965
641,3371
641,467
641,2483
644,2179
646,1387
646,81
646,145
651,3539
652,2214
657,265
659,2526
660,2923
661,3168
661,3384
668,1785
674,3352
674,1015
674,3024
674,705
674,3632
674,3731
674,734
674,878
674,1694
674,2528
674,1311
674,2369
680,763
685,3168
685,500
686,353
686,1062
691,632
693,3467
693,1523
698,1563
698,1301
698,1817
700,806
700,1464
703,3032
703,1908
705,3933
705,674
705,3588
705,2769
705,4157
705,2631
705,3731
708,3039
711,2603
711,4167
711,1099
712,4064
712,3371
713,1946
713,4184
715,1757
715,1482
715,3071
715,706
716,2167
718,3371
720,1205
725,2117
725,2803
729,3198
730,1250
732,2746
733,3191
734,3137
734,674
740,1328
747,2594
750,1419
757,347
760,1246
761,1466
763,1417
763,680
765,3853
765,3179
770,4031
770,2998
770,3922
770,1158
772,2117
773,2021
774,2676
774,3097
775,3119
