"year","source","s_dept","destination","d_dept"
2009,"1","CS","3575","CS"
2013,"1","CS","3575","CS"
2006,"1","CS","712","CS"
2015,"1","CS","1027","CS"
2015,"1","CS","1945","CS"
2006,"1","CS","3575","CS"
2007,"1","CS","3575","CS"
2002,"1","CS","1821","CS"
2008,"1","CS","3575","CS"
2011,"2","BIO","3673","BIO"
2014,"2","BIO","2193","BIO"
2014,"2","BIO","728","BIO"
2009,"2","BIO","2445","BIO"
2010,"2","BIO","2445","BIO"
2009,"2","BIO","2445","BIO"
2007,"2","BIO","3673","BIO"
2015,"4","BIO","2111","BIO"
2010,"4","BIO","1917","BIO"
2010,"4","BIO","737","BIO"
2011,"4","BIO","1991","BIO"
2011,"4","BIO","2503","BIO"
2011,"4","BIO","1991","BIO"
2014,"4","BIO","184","BIO"
2015,"4","BIO","2111","BIO"
2013,"4","BIO","2284","BIO"
2013,"4","BIO","631","BIO"
2013,"4","BIO","445","BIO"
2015,"4","BIO","2284","BIO"
2015,"4","BIO","631","BIO"
2014,"4","BIO","2284","BIO"
2014,"4","BIO","631","BIO"
2015,"4","BIO","2284","BIO"
2013,"4","BIO","3323","BIO"
2013,"4","BIO","2503","BIO"
2013,"4","BIO","1991","BIO"
2012,"4","BIO","2284","BIO"
2012,"4","BIO","1991","BIO"
2012,"4","BIO","1917","BIO"
2012,"4","BIO","737","BIO"
2012,"5","BIO","2923","BIO"
2015,"5","BIO","3070","BIO"
2009,"6","CS","2931","CS"
2010,"6","CS","2931","CS"
2015,"6","CS","3318","CS"
2015,"6","CS","148","CS"
2015,"6","CS","3635","CS"
2012,"6","CS","2931","CS"
2012,"6","CS","2931","CS"
2012,"6","CS","2931","CS"
2011,"6","CS","2931","CS"
2014,"7","BIO","1569","BIO"
2013,"7","BIO","2989","BIO"
2006,"7","BIO","2989","BIO"
2014,"7","BIO","2989","BIO"
2013,"7","BIO","601","BIO"
2015,"7","BIO","2989","BIO"
2005,"7","BIO","2989","BIO"
2010,"7","BIO","2989","BIO"
2015,"8","BIO","3882","BIO"
2009,"8","BIO","1306","BIO"
2010,"8","BIO","1480","BIO"
2014,"8","BIO","3882","BIO"
2013,"8","BIO","3882","BIO"
2005,"8","BIO","1306","BIO"
2013,"8","BIO","1480","BIO"
2013,"8","BIO","1620","BIO"
2015,"8","BIO","3882","BIO"
2003,"8","BIO","1806","BIO"
2003,"8","BIO","1367","BIO"
2012,"8","BIO","1480","BIO"
2012,"8","BIO","3562","BIO"
2014,"10","BIO","123","BIO"
2015,"11","BIO","1626","BIO"
2007,"11","BIO","104","BIO"
2000,"11","BIO","978","BIO"
2014,"12","CS","2651","CS"
2002,"12","CS","1721","CS"
2004,"12","CS","1721","CS"
2013,"12","CS","3386","CS"
