"FacultyI","FacultyJ","XDIndicator"
"0iJRaawAAAAJ","gMQWxE0AAAAJ",1
"aVorcfUAAAAJ","0IrZEuIAAAAJ",0
"GRGOG1AAAAAJ","0XV1sFsAAAAJ",1
"9Y2cn3EAAAAJ","0y6JDD4AAAAJ",1
"9Y2cn3EAAAAJ","0y6JDD4AAAAJ",1
"1jE4flwAAAAJ","8v1PvG1CERwC",0
"1z3mv7EAAAAJ","AzdflHYAAAAJ",0
"2Ay8qC4AAAAJ","ieD5uTEAAAAJ",0
"2OJOZTUAAAAJ","kBGGEjUAAAAJ",1
"U-0PM_cAAAAJ","3XYmsKQAAAAJ",1
"sxjynOsAAAAJ","4LCdnkYAAAAJ",1
"UUAn_V8AAAAJ","4Mj-BjwAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"nDH-AqwAAAAJ","7lVfIWYAAAAJ",1
"IwkyeWgAAAAJ","8enm19QAAAAJ",0
"IwkyeWgAAAAJ","8enm19QAAAAJ",0
"runT3RsAAAAJ","8Lp0W54AAAAJ",1
"9Y2cn3EAAAAJ","0y6JDD4AAAAJ",1
"9Y2cn3EAAAAJ","0y6JDD4AAAAJ",1
"mF8cdJUAAAAJ","9yLaBrYAAAAJ",0
"a-qMWpwAAAAJ","ypOvMY0AAAAJ",1
"a-qMWpwAAAAJ","ypOvMY0AAAAJ",1
"XYy_Nm4AAAAJ","ALGiEhQAAAAJ",1
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"1z3mv7EAAAAJ","AzdflHYAAAAJ",0
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"VUmcVOAAAAAJ","bWTPrLEAAAAJ",1
"VUmcVOAAAAAJ","bWTPrLEAAAAJ",1
"VUmcVOAAAAAJ","bWTPrLEAAAAJ",1
"C1VwgssAAAAJ","p2ttvlEAAAAJ",1
"iIPwqbMAAAAJ","CoxGqVsAAAAJ",0
"VVPS_0UAAAAJ","CoxGqVsAAAAJ",0
"CTPwvRMAAAAJ","e4JfTgsAAAAJ",0
"ypOvMY0AAAAJ","d1KEK84AAAAJ",1
"ypOvMY0AAAAJ","d1KEK84AAAAJ",1
"S6-gFiMAAAAJ","DP_EJ4gAAAAJ",0
"DzHPx8IAAAAJ","otivCBQAAAAJ",0
"ea6cjVUAAAAJ","SeW3bhwAAAAJ",1
"ea6cjVUAAAAJ","SeW3bhwAAAAJ",1
"ea6cjVUAAAAJ","SeW3bhwAAAAJ",1
"EDC2EP0AAAAJ","tI8OPH0AAAAJ",1
"EDC2EP0AAAAJ","628Jn7UAAAAJ",1
"EDC2EP0AAAAJ","tI8OPH0AAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"EFEC_toAAAAJ","MnfzuPYAAAAJ",1
"Er-gEaoAAAAJ","hgOSI1EAAAAJ",1
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"vUDs6oEAAAAJ","FfqHjHoAAAAJ",0
"FsBCAfgAAAAJ","DQaARsgAAAAJ",1
"gb2r2ssAAAAJ","ID4wZFwAAAAJ",1
"gb2r2ssAAAAJ","ID4wZFwAAAAJ",1
"0iJRaawAAAAJ","gMQWxE0AAAAJ",1
"gQOKAggAAAAJ","zZ0-4SUAAAAJ",1
"gWBoNCsAAAAJ","6qE0tdAAAAAJ",1
"h6jljQQAAAAJ","mNuzGVcAAAAJ",1
"b2f-PjYAAAAJ","hmq4rGIAAAAJ",1
"b2f-PjYAAAAJ","hmq4rGIAAAAJ",1
"HtgKHRIAAAAJ","LQ87h3sAAAAJ",1
"HtgKHRIAAAAJ","LQ87h3sAAAAJ",1
"nwNHXf4AAAAJ","hwqQOpUAAAAJ",0
"IwkyeWgAAAAJ","8enm19QAAAAJ",0
"IwkyeWgAAAAJ","8enm19QAAAAJ",0
"jDm73CQAAAAJ","y2fSlecAAAAJ",1
"jDm73CQAAAAJ","y2fSlecAAAAJ",1
"kBGGEjUAAAAJ","LW4lnZYAAAAJ",1
"ktyhG_oAAAAJ","q9z6Pt8AAAAJ",0
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"lc0ARagAAAAJ","yl3L07sAAAAJ",1
"HtgKHRIAAAAJ","LQ87h3sAAAAJ",1
"kBGGEjUAAAAJ","LW4lnZYAAAAJ",1
"nwNHXf4AAAAJ","lW61FSQAAAAJ",0
"xTj2eQwAAAAJ","MnfzuPYAAAAJ",1
"EFEC_toAAAAJ","MnfzuPYAAAAJ",1
"uSfaEgUAAAAJ","MnfzuPYAAAAJ",1
"UCiXhq4AAAAJ","nDH-AqwAAAAJ",1
"UCiXhq4AAAAJ","7lVfIWYAAAAJ",1
"nDH-AqwAAAAJ","7lVfIWYAAAAJ",1
"nwNHXf4AAAAJ","hwqQOpUAAAAJ",0
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"ogj8ppAAAAAJ","q92q8SMAAAAJ",1
"UCiXhq4AAAAJ","WYctQAQAAAAJ",1
"UCiXhq4AAAAJ","nDH-AqwAAAAJ",1
"UCiXhq4AAAAJ","PkfChMgAAAAJ",1
"WYctQAQAAAAJ","nDH-AqwAAAAJ",1
"WYctQAQAAAAJ","PkfChMgAAAAJ",1
"nDH-AqwAAAAJ","PkfChMgAAAAJ",1
"XcaEg-cAAAAJ","pNKH6b8AAAAJ",2
"Py54GcEAAAAJ","uSfaEgUAAAAJ",1
"ktyhG_oAAAAJ","q9z6Pt8AAAAJ",0
"wQzELzEAAAAJ","qgfEdwUAAAAJ",0
