"Faculty","XDIndicator","NumOfPolinator"
"-0ppt6oAAAAJ",0,2
"-0ppt6oAAAAJ",0,4
"-31-oa0AAAAJ",0,2
"-5DNOLIAAAAJ",0,1
"-5DNOLIAAAAJ",0,1
"-5ZxgGsAAAAJ",0,1
"-5ZxgGsAAAAJ",0,2
"-cL-RwUAAAAJ",0,1
"-cL-RwUAAAAJ",0,2
"-Dg42W8AAAAJ",0,2
"-Dg42W8AAAAJ",0,1
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",1,2
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",1,2
"-EXWOU0AAAAJ",1,1
"-GT5PAkAAAAJ",1,2
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,2
"-had2Q8AAAAJ",0,4
"-had2Q8AAAAJ",0,1
"-had2Q8AAAAJ",0,7
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",2,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,40
"-HwCwkAAAAAJ",2,1
"-iLn_XwAAAAJ",0,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,3
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,3
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",2,1
"-jW6ADwAAAAJ",1,4
"-LyegNoAAAAJ",0,2
"-LyegNoAAAAJ",2,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,2
"-m5wrTkAAAAJ",1,2
"-m5wrTkAAAAJ",1,1
"-o3I0zUAAAAJ",2,2
"-PWcE1YAAAAJ",1,2
"-PWcE1YAAAAJ",1,2
"-PWcE1YAAAAJ",1,1
"-PWcE1YAAAAJ",1,2
"-spRnaQAAAAJ",2,1
"-teHhxwAAAAJ",0,1
"-teHhxwAAAAJ",2,1
"-teHhxwAAAAJ",0,5
"-teHhxwAAAAJ",0,1
"-teHhxwAAAAJ",2,1
"-teHhxwAAAAJ",2,1
"-UyfaYEAAAAJ",0,4
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,5
"-UyfaYEAAAAJ",2,2
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,2
"KP-Vo44AAAAJ",1,2
"Cxwj5hEAAAAJ",1,2
"-vC_l2kAAAAJ",1,2
"-vrMfNMAAAAJ",0,3
"-XpZ4fgAAAAJ",1,1
"-yrzguMAAAAJ",1,4
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",1,9
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",2,1
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,3
"-YvgZDEAAAAJ",1,5
"-YvgZDEAAAAJ",1,1
"-YvgZDEAAAAJ",1,1
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,2
"-_yz0eUAAAAJ",0,2
"-_yz0eUAAAAJ",0,1
"-_yz0eUAAAAJ",0,1
"00H10pgAAAAJ",0,1
"00H10pgAAAAJ",2,1
