"Faculty","XDIndicator","NumOfPolinator"
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,1
"0e8QmOMAAAAJ",0,2
"0e8QmOMAAAAJ",0,1
"0e8QmOMAAAAJ",0,1
"0e8QmOMAAAAJ",0,1
"0IrZEuIAAAAJ",0,1
"0IrZEuIAAAAJ",0,3
"0IrZEuIAAAAJ",0,1
"0oj4N0sAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"1jE4flwAAAAJ",0,1
"1jE4flwAAAAJ",2,1
"1somGYUAAAAJ",0,2
"1wq5H9oAAAAJ",0,1
"1wq5H9oAAAAJ",0,4
"1wq5H9oAAAAJ",2,1
"1z3mv7EAAAAJ",0,1
"1z3mv7EAAAAJ",0,2
"1z3mv7EAAAAJ",0,1
"2LQimEIAAAAJ",0,1
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,2
"4veQB4cAAAAJ",0,1
"55pOyCkAAAAJ",0,2
"55pOyCkAAAAJ",0,1
"5iXE9k0AAAAJ",0,2
"5PboKNAAAAAJ",1,1
"628Jn7UAAAAJ",1,3
"67aYFTQAAAAJ",1,2
"7btxQB0AAAAJ",1,1
"7cys8kgAAAAJ",0,1
"7PeekG0AAAAJ",0,1
"8Qu_gAMAAAAJ",1,1
"a-qMWpwAAAAJ",1,2
"a7LHl00AAAAJ",0,3
"a7LHl00AAAAJ",2,1
"a7LHl00AAAAJ",0,3
"a7LHl00AAAAJ",0,2
"a7LHl00AAAAJ",2,1
"aVorcfUAAAAJ",0,4
"azVcOOgAAAAJ",0,1
"B46xY4sAAAAJ",0,2
"BCRISEEAAAAJ",1,1
"BCRISEEAAAAJ",2,1
"BCRISEEAAAAJ",1,1
"BCRISEEAAAAJ",1,2
"BCRISEEAAAAJ",1,2
"BnxU9TEAAAAJ",1,8
"bWL2gvUAAAAJ",0,1
"bWL2gvUAAAAJ",2,1
"d7Gx1QYAAAAJ",1,1
"E5y_8wIAAAAJ",0,1
"E5y_8wIAAAAJ",0,1
"E5y_8wIAAAAJ",0,1
"e9OxXgwAAAAJ",1,1
"e9OxXgwAAAAJ",1,1
"e9OxXgwAAAAJ",1,2
"EFEC_toAAAAJ",1,6
"EFEC_toAAAAJ",1,6
"EFEC_toAAAAJ",2,2
"EFEC_toAAAAJ",1,1
"EFEC_toAAAAJ",2,2
"EFEC_toAAAAJ",1,8
"EFEC_toAAAAJ",2,1
"EFEC_toAAAAJ",1,1
"F6LzqwMAAAAJ",1,2
"ffUu1PcAAAAJ",1,1
"gb2r2ssAAAAJ",1,1
"gb2r2ssAAAAJ",1,2
"gb2r2ssAAAAJ",1,1
"gb2r2ssAAAAJ",1,1
"ID4wZFwAAAAJ",1,1
"h_MOIUUAAAAJ",0,1
"h_MOIUUAAAAJ",0,1
"ID4wZFwAAAAJ",1,1
"ID4wZFwAAAAJ",1,2
"igVM0AEAAAAJ",0,15
"IPbxgZkAAAAJ",0,1
"IPbxgZkAAAAJ",0,1
"IPbxgZkAAAAJ",0,1
"iTii9qEAAAAJ",0,3
"jJPSj0IAAAAJ",1,1
"jJPSj0IAAAAJ",1,1
"jJPSj0IAAAAJ",1,1
"KRuCIOQAAAAJ",2,2
"KxBH0U4AAAAJ",0,2
"ls1xrQgAAAAJ",0,1
"M6uUMREAAAAJ",0,3
"Mp1ZTuMAAAAJ",0,2
"nK3RdOIAAAAJ",0,1
"nK3RdOIAAAAJ",2,1
"nK3RdOIAAAAJ",0,1
"nK3RdOIAAAAJ",0,2
"nK3RdOIAAAAJ",2,1
"nK3RdOIAAAAJ",0,1
"nK3RdOIAAAAJ",2,1
"nwNHXf4AAAAJ",0,2
"OSxYKeQAAAAJ",0,2
"OSxYKeQAAAAJ",0,3
"OSxYKeQAAAAJ",2,1
"OSxYKeQAAAAJ",0,3
"OSxYKeQAAAAJ",2,1
"OSxYKeQAAAAJ",0,3
"OSxYKeQAAAAJ",2,1
"OSxYKeQAAAAJ",2,1
"q92q8SMAAAAJ",1,1
"qe_J1w4AAAAJ",1,1
"R1Wg5b8AAAAJ",2,1
"R1Wg5b8AAAAJ",0,1
"R1Wg5b8AAAAJ",0,1
"R1Wg5b8AAAAJ",2,1
"R2isddoAAAAJ",0,1
"R2isddoAAAAJ",0,2
"r6j_SIcAAAAJ",0,1
"R8yXxqkAAAAJ",0,3
"RdI0WnQAAAAJ",0,1
"sbI6gvAAAAAJ",0,2
"T2tYWWMAAAAJ",0,1
"T2tYWWMAAAAJ",0,1
"T2tYWWMAAAAJ",0,2
"THBa5yoAAAAJ",0,1
"TJMHkwIAAAAJ",0,1
"TJMHkwIAAAAJ",2,1
"TJMHkwIAAAAJ",0,2
"TJMHkwIAAAAJ",0,2
"TJMHkwIAAAAJ",2,1
"TJMHkwIAAAAJ",0,2
"tR7uT7UAAAAJ",0,1
"ujXEG6oAAAAJ",1,1
"ujXEG6oAAAAJ",1,1
"vBvszjkAAAAJ",0,2
"vMDCJHcAAAAJ",1,4
"vUDs6oEAAAAJ",0,3
"vUDs6oEAAAAJ",0,1
"vUDs6oEAAAAJ",0,1
"WKfXwHkAAAAJ",0,1
"WPwXQlEAAAAJ",0,2
"wUPKh58AAAAJ",1,1
"y2-3xzQAAAAJ",0,2
"y2-3xzQAAAAJ",0,3
"y2-3xzQAAAAJ",0,1
"y2-3xzQAAAAJ",0,2
"ywgYvpsAAAAJ",0,1
"zxz_OGgAAAAJ",0,2
"_Ax4EUYAAAAJ",1,1
"_Ax4EUYAAAAJ",1,2
