"FacultyI","FacultyJ","XDIndicator"
"VizsSmEAAAAJ","-6cOYcYAAAAJ",1
"VizsSmEAAAAJ","-6cOYcYAAAAJ",1
"VizsSmEAAAAJ","-6cOYcYAAAAJ",1
"-had2Q8AAAAJ","C1c54H4AAAAJ",0
"gQ0QCfAAAAAJ","-HwCwkAAAAAJ",0
"sXpY0CUAAAAJ","-HwCwkAAAAAJ",0
"Wov5tYoAAAAJ","-XpZ4fgAAAAJ",1
"PogsVkYAAAAJ","008lr2cAAAAJ",1
"UA3tyKwAAAAJ","PogsVkYAAAAJ",1
"UA3tyKwAAAAJ","008lr2cAAAAJ",1
"PogsVkYAAAAJ","008lr2cAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"wQzELzEAAAAJ","05UuCNQAAAAJ",0
"wQzELzEAAAAJ","05UuCNQAAAAJ",0
"wQzELzEAAAAJ","05UuCNQAAAAJ",0
"07ds-DAAAAAJ","Da-s1FQAAAAJ",1
"07ds-DAAAAAJ","4VJre9IAAAAJ",1
"ci2F0o8AAAAJ","0cq9zpQAAAAJ",0
"ci2F0o8AAAAJ","wYJOq-wAAAAJ",0
"0cq9zpQAAAAJ","wYJOq-wAAAAJ",0
"nVksQusAAAAJ","0ESwQagAAAAJ",0
"nVksQusAAAAJ","0ESwQagAAAAJ",0
"nVksQusAAAAJ","0ESwQagAAAAJ",0
"0fq5QeIAAAAJ","wwkGLrcAAAAJ",1
"rXYLXJMAAAAJ","0fq5QeIAAAAJ",1
"0fq5QeIAAAAJ","NzQu5SwAAAAJ",1
"kEM42bEAAAAJ","0XV1sFsAAAAJ",1
"kEM42bEAAAAJ","0XV1sFsAAAAJ",1
"YxGHbuMAAAAJ","0y6JDD4AAAAJ",1
"e1MZuKIAAAAJ","oq8WAwsAAAAJ",1
"e1MZuKIAAAAJ","0zZnyMEAAAAJ",1
"oq8WAwsAAAAJ","0zZnyMEAAAAJ",1
"5LsAK74AAAAJ","1CtZnTMAAAAJ",0
"1fEZ_osAAAAJ","gMQWxE0AAAAJ",1
"1LUuMc8AAAAJ","QZrx9MEAAAAJ",1
"ghWKWBUAAAAJ","1mMmqs4AAAAJ",1
"1s3GeggAAAAJ","otivCBQAAAAJ",0
"sc9YppcAAAAJ","1s3GeggAAAAJ",2
"LXVfPc8AAAAJ","1wq5H9oAAAAJ",0
"1xfwEBAAAAAJ","ND0FM6EAAAAJ",1
"2-jY1SQAAAAJ","BaI7l8QAAAAJ",1
"ElqwScwAAAAJ","2ewb-10AAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"2ewb-10AAAAJ","BnxU9TEAAAAJ",1
"2FbkAzYAAAAJ","t-VqN7sAAAAJ",1
"2FbkAzYAAAAJ","tpoh43QAAAAJ",1
"t-VqN7sAAAAJ","tpoh43QAAAAJ",1
"2FbkAzYAAAAJ","qnwjcfAAAAAJ",1
"JWXlepgAAAAJ","2kXsgI4AAAAJ",1
"JWXlepgAAAAJ","2kXsgI4AAAAJ",1
"JWXlepgAAAAJ","2kXsgI4AAAAJ",1
"L1pb8GUAAAAJ","2mjUsP8AAAAJ",1
"L1pb8GUAAAAJ","2mjUsP8AAAAJ",1
"UmwJklEAAAAJ","2mjUsP8AAAAJ",1
"UmwJklEAAAAJ","2mjUsP8AAAAJ",1
"UmwJklEAAAAJ","2mjUsP8AAAAJ",1
"UmwJklEAAAAJ","2mjUsP8AAAAJ",1
"UmwJklEAAAAJ","2mjUsP8AAAAJ",1
"67kghxAAAAAJ","2oclnIwAAAAJ",1
"VGoSakQAAAAJ","2oSSsLYAAAAJ",1
"7eC3KMkAAAAJ","q_n7d6EAAAAJ",1
"7eC3KMkAAAAJ","2oy3OXYAAAAJ",1
"q_n7d6EAAAAJ","2oy3OXYAAAAJ",1
"oY9R5YQAAAAJ","2oy3OXYAAAAJ",1
"oY9R5YQAAAAJ","2oy3OXYAAAAJ",1
"8rjreLIAAAAJ","2pW1g5IAAAAJ",1
"2pW1g5IAAAAJ","VwQRddkAAAAJ",1
