"Faculty","XDIndicator","NumOfPolinator"
"-0ppt6oAAAAJ",0,3
"-0ppt6oAAAAJ",2,1
"-0ppt6oAAAAJ",0,4
"-0ppt6oAAAAJ",0,1
"-0ppt6oAAAAJ",0,2
"-0ppt6oAAAAJ",2,1
"-0ppt6oAAAAJ",0,3
"-5DNOLIAAAAJ",0,1
"-5DNOLIAAAAJ",2,1
"-5DNOLIAAAAJ",0,1
"-5DNOLIAAAAJ",2,2
"-5ZxgGsAAAAJ",0,2
"-5ZxgGsAAAAJ",0,3
"-5ZxgGsAAAAJ",0,1
"-5ZxgGsAAAAJ",2,1
"-5ZxgGsAAAAJ",0,1
"-6cOYcYAAAAJ",1,1
"-6cOYcYAAAAJ",1,1
"-6cOYcYAAAAJ",1,2
"-6FYTfMAAAAJ",0,4
"-78feYUAAAAJ",0,1
"-aQaHIoAAAAJ",0,1
"-aQaHIoAAAAJ",0,1
"-aQaHIoAAAAJ",0,1
"-cL-RwUAAAAJ",0,1
"-cL-RwUAAAAJ",0,1
"-cwEbxUAAAAJ",1,2
"-cwEbxUAAAAJ",2,1
"-DEyRIgAAAAJ",0,2
"-DEyRIgAAAAJ",2,1
"-had2Q8AAAAJ",0,2
"-had2Q8AAAAJ",2,1
"-Dg42W8AAAAJ",0,1
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",2,1
"-EXWOU0AAAAJ",1,4
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",1,1
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,4
"-GT5PAkAAAAJ",2,1
"q1bkP7AAAAAJ",1,4
"q1bkP7AAAAAJ",2,1
"-GT5PAkAAAAJ",1,4
"-GT5PAkAAAAJ",2,1
"q1bkP7AAAAAJ",1,4
"q1bkP7AAAAAJ",2,1
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,1
"-H7Y-VUAAAAJ",0,1
"-had2Q8AAAAJ",0,87
"-had2Q8AAAAJ",2,9
"LGp68QwAAAAJ",0,87
"LGp68QwAAAAJ",2,9
"0cy3s0AAAAAJ",0,87
"0cy3s0AAAAAJ",2,9
"lRTRxSIAAAAJ",0,87
"lRTRxSIAAAAJ",2,9
"-had2Q8AAAAJ",0,2
"-had2Q8AAAAJ",0,5
"-had2Q8AAAAJ",2,2
"-had2Q8AAAAJ",0,4
"-had2Q8AAAAJ",0,3
"-had2Q8AAAAJ",0,3
"-had2Q8AAAAJ",2,1
"-had2Q8AAAAJ",0,5
"-had2Q8AAAAJ",0,3
"-had2Q8AAAAJ",0,2
"-had2Q8AAAAJ",0,7
"-had2Q8AAAAJ",0,1
"-HwCwkAAAAAJ",0,18
"-HwCwkAAAAAJ",2,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",2,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,3
"-HwCwkAAAAAJ",0,16
"-HwCwkAAAAAJ",2,2
"-HwCwkAAAAAJ",0,1
"gQ0QCfAAAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,1
"-iLn_XwAAAAJ",0,7
"-iLn_XwAAAAJ",2,1
"-Jbd9DsAAAAJ",1,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,4
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",2,1
"-Jbd9DsAAAAJ",1,3
"-jW6ADwAAAAJ",1,7
"-jW6ADwAAAAJ",2,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",2,2
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",2,1
"-m5wrTkAAAAJ",1,6
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,3
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,3
"-m5wrTkAAAAJ",2,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,3
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,5
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,2
"-o3I0zUAAAAJ",0,3
"-o3I0zUAAAAJ",2,1
"-o3I0zUAAAAJ",0,5
"-o3I0zUAAAAJ",2,1
"-o3I0zUAAAAJ",0,1
"-o3I0zUAAAAJ",2,2
"-o3I0zUAAAAJ",0,5
"-o3I0zUAAAAJ",0,1
"sILsSIsAAAAJ",0,2
"-OdJO1UAAAAJ",0,2
"IeBc5OsAAAAJ",0,2
"8rjreLIAAAAJ",1,4
"-PWcE1YAAAAJ",1,4
"-PWcE1YAAAAJ",1,1
"-PWcE1YAAAAJ",1,4
"-PWcE1YAAAAJ",1,2
"-PWcE1YAAAAJ",1,2
"-PWcE1YAAAAJ",1,1
"-PWcE1YAAAAJ",1,4
"-pyztDMAAAAJ",1,2
"-pyztDMAAAAJ",2,1
"-QZrYjsAAAAJ",0,2
"-S8_yskAAAAJ",0,1
"-S8_yskAAAAJ",0,1
"-spRnaQAAAAJ",1,1
"-teHhxwAAAAJ",0,2
"-teHhxwAAAAJ",2,2
"-teHhxwAAAAJ",0,8
"-teHhxwAAAAJ",2,8
"UedS9LQAAAAJ",2,8
"-teHhxwAAAAJ",0,6
"-teHhxwAAAAJ",0,5
"-teHhxwAAAAJ",2,2
"-UyfaYEAAAAJ",0,8
"-UyfaYEAAAAJ",2,1
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",2,1
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,4
"-UyfaYEAAAAJ",2,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,4
"-UyfaYEAAAAJ",0,5
"-UyfaYEAAAAJ",0,4
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",2,1
"-vC_l2kAAAAJ",1,1
"-vC_l2kAAAAJ",1,6
"-vC_l2kAAAAJ",2,1
"-vrMfNMAAAAJ",0,1
"-vrMfNMAAAAJ",2,1
"-vrMfNMAAAAJ",0,3
"-XCc1JQAAAAJ",0,5
"-XCc1JQAAAAJ",2,1
"-xOxPsUAAAAJ",0,2
"-xOxPsUAAAAJ",0,3
"-xOxPsUAAAAJ",0,1
"Wov5tYoAAAAJ",1,5
"-XpZ4fgAAAAJ",1,5
"-XpZ4fgAAAAJ",1,1
"-XpZ4fgAAAAJ",1,1
"-XpZ4fgAAAAJ",2,1
"Wov5tYoAAAAJ",1,1
"-XpZ4fgAAAAJ",1,1
"-XpZ4fgAAAAJ",1,1
"-XXZGEoAAAAJ",0,2
"-XXZGEoAAAAJ",2,3
"-XXZGEoAAAAJ",0,3
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,2
"-YvgZDEAAAAJ",1,4
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,3
"-YvgZDEAAAAJ",1,3
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,5
"-YvgZDEAAAAJ",2,1
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,4
"-YvgZDEAAAAJ",1,4
"-YvgZDEAAAAJ",1,4
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",2,1
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,3
"0-hcsnoAAAAJ",0,2
"MvZGiDgAAAAJ",0,2
"0-hcsnoAAAAJ",0,2
"0-hcsnoAAAAJ",0,1
"UA3tyKwAAAAJ",1,1
"PogsVkYAAAAJ",1,1
"008lr2cAAAAJ",1,1
"00H10pgAAAAJ",0,1
"00H10pgAAAAJ",2,2
"00H10pgAAAAJ",0,3
"00H10pgAAAAJ",0,3
"00H10pgAAAAJ",2,1
"00H10pgAAAAJ",0,1
"00H10pgAAAAJ",2,1
"00H10pgAAAAJ",0,3
"00H10pgAAAAJ",2,1
"00H10pgAAAAJ",0,1
"00H10pgAAAAJ",2,3
"00H10pgAAAAJ",0,1
"Wj4ZBFIAAAAJ",1,4
"00M1AqQAAAAJ",1,4
"U6OVPVMAAAAJ",1,8
"00M1AqQAAAAJ",1,8
"Wj4ZBFIAAAAJ",2,81
"00M1AqQAAAAJ",2,81
"5X_j0lwAAAAJ",2,81
"MYqlcPgAAAAJ",2,81
"00M1AqQAAAAJ",1,2
