"Faculty","XDIndicator","NumOfPolinator"
"--nVNvIAAAAJ",1,1
"-0nYQVIAAAAJ",0,17
"-0nYQVIAAAAJ",2,1
"-0nYQVIAAAAJ",0,18
"-0nYQVIAAAAJ",2,1
"-0nYQVIAAAAJ",0,3
"mAbA6EoAAAAJ",0,22
"mAbA6EoAAAAJ",2,4
"jv-19EoAAAAJ",0,22
"jv-19EoAAAAJ",2,4
"-0nYQVIAAAAJ",0,22
"-0nYQVIAAAAJ",2,4
"JEApEv4AAAAJ",0,9
"AANigvoAAAAJ",0,9
"-0nYQVIAAAAJ",0,9
"-0ppt6oAAAAJ",0,8
"R5nkatMAAAAJ",0,4
"-0ppt6oAAAAJ",0,4
"-0ppt6oAAAAJ",0,5
"-0ppt6oAAAAJ",0,1
"-0rEuLgAAAAJ",1,3
"-0rEuLgAAAAJ",1,1
"r70ags0AAAAJ",1,1
"-0rEuLgAAAAJ",1,1
"r70ags0AAAAJ",1,1
"-0rEuLgAAAAJ",1,3
"-234SKAAAAAJ",0,6
"-234SKAAAAAJ",2,1
"-234SKAAAAAJ",0,1
"-234SKAAAAAJ",2,1
"-234SKAAAAAJ",0,2
"-234SKAAAAAJ",2,1
"-234SKAAAAAJ",0,3
"-234SKAAAAAJ",2,1
"-31-oa0AAAAJ",0,7
"-31-oa0AAAAJ",2,2
"-31-oa0AAAAJ",0,3
"-31-oa0AAAAJ",0,8
"-31-oa0AAAAJ",0,3
"Fz-5bdcAAAAJ",0,39
"Fz-5bdcAAAAJ",2,7
"-31-oa0AAAAJ",0,39
"-31-oa0AAAAJ",2,7
"vtcDGNYAAAAJ",0,39
"vtcDGNYAAAAJ",2,7
"-31-oa0AAAAJ",0,4
"-5ZxgGsAAAAJ",0,1
"-6cOYcYAAAAJ",1,1
"-6cOYcYAAAAJ",1,1
"-6cOYcYAAAAJ",1,3
"-6cOYcYAAAAJ",1,4
"-6cOYcYAAAAJ",2,1
"wCxzFrMAAAAJ",1,4
"wCxzFrMAAAAJ",2,1
"-6FYTfMAAAAJ",0,1
"-78feYUAAAAJ",0,3
"-78feYUAAAAJ",0,1
"-78feYUAAAAJ",0,1
"-aQaHIoAAAAJ",0,1
"-aQaHIoAAAAJ",0,5
"-aQaHIoAAAAJ",2,3
"-aQaHIoAAAAJ",0,42
"-aQaHIoAAAAJ",0,5
"-aQaHIoAAAAJ",0,5
"-aQaHIoAAAAJ",0,11
"-aQaHIoAAAAJ",2,1
"-aQaHIoAAAAJ",0,3
"-BLWw_kAAAAJ",0,1
"-cL-RwUAAAAJ",2,1
"-cL-RwUAAAAJ",0,3
"-cL-RwUAAAAJ",2,1
"-cL-RwUAAAAJ",0,2
"-cL-RwUAAAAJ",0,3
"-cwEbxUAAAAJ",1,6
"-cwEbxUAAAAJ",2,1
"2X5Wru0AAAAJ",2,1
"-cwEbxUAAAAJ",2,1
"-cwEbxUAAAAJ",1,5
"-cwEbxUAAAAJ",2,2
"p4urLfMAAAAJ",2,2
"-cwEbxUAAAAJ",2,2
"p4urLfMAAAAJ",2,5
"-cwEbxUAAAAJ",2,5
"2X5Wru0AAAAJ",2,1
"-cwEbxUAAAAJ",2,1
"p4urLfMAAAAJ",2,2
"-cwEbxUAAAAJ",2,2
"-cwEbxUAAAAJ",2,5
"qDkQrKwAAAAJ",2,5
"OOLe2TIAAAAJ",2,3
"-D2TBHUAAAAJ",2,3
"-D2TBHUAAAAJ",0,1
"KzmHyt8AAAAJ",1,3
"KzmHyt8AAAAJ",2,1
"-DfTtxgAAAAJ",1,3
"-DfTtxgAAAAJ",2,1
"XrIr0nYAAAAJ",1,3
"XrIr0nYAAAAJ",2,1
"KzmHyt8AAAAJ",1,4
"-DfTtxgAAAAJ",1,4
"XrIr0nYAAAAJ",1,4
"-Dg42W8AAAAJ",0,2
"-Dg42W8AAAAJ",0,5
"-Dg42W8AAAAJ",0,1
"-E5k6m4AAAAJ",1,3
"-E5k6m4AAAAJ",1,4
"-E5k6m4AAAAJ",1,4
"FM3vRPgAAAAJ",1,1
"-E5k6m4AAAAJ",1,1
"9hPnkXsAAAAJ",1,1
"-E5k6m4AAAAJ",1,5
"-ERiTHkAAAAJ",0,30
"-ERiTHkAAAAJ",2,2
"-ERiTHkAAAAJ",0,51
"-ERiTHkAAAAJ",2,21
"-ERiTHkAAAAJ",0,1
"-EXWOU0AAAAJ",1,1
"e5alfo0AAAAJ",0,8
"e5alfo0AAAAJ",2,2
"-fxI3cUAAAAJ",0,8
"-fxI3cUAAAAJ",2,2
"-fxI3cUAAAAJ",2,25
"KnAit3cAAAAJ",2,25
"-GT5PAkAAAAJ",1,4
"q1bkP7AAAAAJ",1,4
"-GT5PAkAAAAJ",1,3
"-GT5PAkAAAAJ",1,4
"-GT5PAkAAAAJ",1,5
"-GT5PAkAAAAJ",2,1
"-had2Q8AAAAJ",0,7
"-had2Q8AAAAJ",2,2
"-had2Q8AAAAJ",0,2
"sflJAhgAAAAJ",0,5
"sflJAhgAAAAJ",2,1
"-had2Q8AAAAJ",0,5
"-had2Q8AAAAJ",2,1
"-had2Q8AAAAJ",0,1
"-had2Q8AAAAJ",0,5
"-had2Q8AAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,5
"-HwCwkAAAAAJ",0,1
"kiV7yTQAAAAJ",0,1
"GHMy08gAAAAJ",0,6
"-HwCwkAAAAAJ",0,6
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,3
"-HwCwkAAAAAJ",0,3
"kiV7yTQAAAAJ",0,3
"-HwCwkAAAAAJ",0,11
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",2,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,4
"GHMy08gAAAAJ",0,4
"-HwCwkAAAAAJ",0,4
"-HwCwkAAAAAJ",0,1
"0SHFWCkAAAAJ",0,3
"-iLn_XwAAAAJ",0,3
"-iLn_XwAAAAJ",0,3
"-iLn_XwAAAAJ",2,1
"OZMQ0J0AAAAJ",0,3
"OZMQ0J0AAAAJ",2,1
"-iLn_XwAAAAJ",0,1
"-iLn_XwAAAAJ",0,2
"-iLn_XwAAAAJ",0,7
"-iLn_XwAAAAJ",2,2
"-IMW-w0AAAAJ",1,2
"-IMW-w0AAAAJ",2,2
"-IMW-w0AAAAJ",1,1
"-IMW-w0AAAAJ",2,2
"CZyWk8kAAAAJ",1,1
"CZyWk8kAAAAJ",2,2
"-IMW-w0AAAAJ",2,1
"-IMW-w0AAAAJ",1,1
"-IMW-w0AAAAJ",1,3
"-IMW-w0AAAAJ",2,1
"-Jbd9DsAAAAJ",1,2
"qXb4xQMAAAAJ",1,2
"6Kuq1acAAAAJ",1,2
"JoAxSpgAAAAJ",1,1
"-Jbd9DsAAAAJ",1,1
"-Jbd9DsAAAAJ",1,1
"-Jbd9DsAAAAJ",1,1
"JoAxSpgAAAAJ",1,2
"-Jbd9DsAAAAJ",1,2
"-Jbd9DsAAAAJ",1,1
"-jW6ADwAAAAJ",1,6
"6c5cf1wAAAAJ",1,6
"-jW6ADwAAAAJ",1,5
"hwc6A1MAAAAJ",1,5
"hTyZBhMAAAAJ",1,5
"-jW6ADwAAAAJ",1,3
"hTyZBhMAAAAJ",1,3
"-jW6ADwAAAAJ",1,1
"vL6ubpMAAAAJ",1,1
"-jW6ADwAAAAJ",1,24
"-jW6ADwAAAAJ",2,2
"hTyZBhMAAAAJ",1,24
"hTyZBhMAAAAJ",2,2
"4XyoYbAAAAAJ",1,24
"4XyoYbAAAAAJ",2,2
"o8oJ6s4AAAAJ",1,24
"o8oJ6s4AAAAJ",2,2
"-jW6ADwAAAAJ",1,1
"-jW6ADwAAAAJ",1,1
"-jW6ADwAAAAJ",2,1
"-LPp6oUAAAAJ",0,11
"-LPp6oUAAAAJ",2,3
"-LPp6oUAAAAJ",0,1
