"year","Source","Target","s_dept","t_dept"
1978,66,3168,"CS","CS"
1978,216,2080,"BIO","BIO"
1978,216,1234,"BIO","BIO"
1978,798,1778,"CS","CS"
1978,859,1558,"CS","CS"
1978,859,1558,"CS","CS"
1978,1153,3631,"BIO","BIO"
1978,1251,2581,"CS","CS"
1978,798,1778,"CS","CS"
1978,1956,3763,"BIO","BIO"
1978,216,2080,"BIO","BIO"
1978,1080,2099,"BIO","BIO"
1978,1080,2099,"BIO","BIO"
1978,2415,3868,"BIO","BIO"
1978,2827,3545,"CS","CS"
1978,66,3168,"CS","CS"
1978,3322,3909,"CS","CS"
1978,557,3370,"BIO","BIO"
1978,261,3496,"BIO","BIO"
1978,2827,3545,"CS","CS"
1978,1153,3631,"BIO","BIO"
1978,1956,3763,"BIO","BIO"
1978,2415,3868,"BIO","BIO"
1978,3534,3879,"BIO","BIO"
1978,3322,3909,"CS","CS"
