"year","coauthor_codes"
2012,"mAbA6EoAAAAJ,jv-19EoAAAAJ,-0nYQVIAAAAJ"
2012,"JEApEv4AAAAJ,AANigvoAAAAJ,-0nYQVIAAAAJ"
2012,"R5nkatMAAAAJ,-0ppt6oAAAAJ"
2012,"-0rEuLgAAAAJ,r70ags0AAAAJ"
2012,"-0rEuLgAAAAJ,r70ags0AAAAJ"
2012,"-0rEuLgAAAAJ,r70ags0AAAAJ"
2012,"Fz-5bdcAAAAJ,-31-oa0AAAAJ,vtcDGNYAAAAJ"
2012,"-6cOYcYAAAAJ,wCxzFrMAAAAJ"
2012,"2X5Wru0AAAAJ,-cwEbxUAAAAJ"
2012,"p4urLfMAAAAJ,-cwEbxUAAAAJ"
2012,"p4urLfMAAAAJ,-cwEbxUAAAAJ"
2012,"2X5Wru0AAAAJ,-cwEbxUAAAAJ"
2012,"p4urLfMAAAAJ,-cwEbxUAAAAJ"
2012,"-cwEbxUAAAAJ,qDkQrKwAAAAJ"
2012,"OOLe2TIAAAAJ,-D2TBHUAAAAJ"
2012,"KzmHyt8AAAAJ,-DfTtxgAAAAJ,XrIr0nYAAAAJ"
2012,"KzmHyt8AAAAJ,-DfTtxgAAAAJ,XrIr0nYAAAAJ"
2012,"FM3vRPgAAAAJ,-E5k6m4AAAAJ,9hPnkXsAAAAJ"
2012,"e5alfo0AAAAJ,-fxI3cUAAAAJ"
2012,"-fxI3cUAAAAJ,KnAit3cAAAAJ"
2012,"-GT5PAkAAAAJ,q1bkP7AAAAAJ"
2012,"sflJAhgAAAAJ,-had2Q8AAAAJ"
2012,"-HwCwkAAAAAJ,kiV7yTQAAAAJ"
2012,"GHMy08gAAAAJ,-HwCwkAAAAAJ"
2012,"-HwCwkAAAAAJ,kiV7yTQAAAAJ"
2012,"GHMy08gAAAAJ,-HwCwkAAAAAJ"
2012,"0SHFWCkAAAAJ,-iLn_XwAAAAJ"
2012,"-iLn_XwAAAAJ,OZMQ0J0AAAAJ"
2012,"-IMW-w0AAAAJ,CZyWk8kAAAAJ"
2012,"-Jbd9DsAAAAJ,qXb4xQMAAAAJ,6Kuq1acAAAAJ"
2012,"JoAxSpgAAAAJ,-Jbd9DsAAAAJ"
2012,"JoAxSpgAAAAJ,-Jbd9DsAAAAJ"
2012,"-jW6ADwAAAAJ,6c5cf1wAAAAJ"
2012,"-jW6ADwAAAAJ,hwc6A1MAAAAJ,hTyZBhMAAAAJ"
2012,"-jW6ADwAAAAJ,hTyZBhMAAAAJ"
2012,"-jW6ADwAAAAJ,vL6ubpMAAAAJ"
2012,"-jW6ADwAAAAJ,hTyZBhMAAAAJ,4XyoYbAAAAAJ,o8oJ6s4AAAAJ"
2012,"1u_MQY8AAAAJ,-LyegNoAAAAJ"
2012,"-m5wrTkAAAAJ,NHZdlVkAAAAJ"
2012,"-m5wrTkAAAAJ,NHZdlVkAAAAJ"
2012,"-m5wrTkAAAAJ,NHZdlVkAAAAJ"
2012,"-m5wrTkAAAAJ,NHZdlVkAAAAJ"
2012,"-m5wrTkAAAAJ,NHZdlVkAAAAJ"
2012,"0zrqo3B-66wC,-NkxFNoAAAAJ"
2012,"G-HYm8EAAAAJ,-o3I0zUAAAAJ"
2012,"OZMQ0J0AAAAJ,-o3I0zUAAAAJ"
2012,"iRaegw8AAAAJ,-o3I0zUAAAAJ"
2012,"xYLmV7YAAAAJ,-o3I0zUAAAAJ"
2012,"xYLmV7YAAAAJ,-o3I0zUAAAAJ"
2012,"xYLmV7YAAAAJ,-o3I0zUAAAAJ"
2012,"xYLmV7YAAAAJ,n0uRPLgAAAAJ,-o3I0zUAAAAJ"
2012,"G-HYm8EAAAAJ,-o3I0zUAAAAJ"
2012,"-OdJO1UAAAAJ,JQWeCFAAAAAJ"
2012,"rW1Bio0AAAAJ,-PWcE1YAAAAJ"
2012,"-PWcE1YAAAAJ,a8jIPIkAAAAJ"
2012,"zQvCCk0AAAAJ,zrKC-PcAAAAJ,-rcrelQAAAAJ"
2012,"qjxIcXQAAAAJ,-teHhxwAAAAJ"
2012,"qjxIcXQAAAAJ,-teHhxwAAAAJ"
2012,"2kkddh0AAAAJ,-vC_l2kAAAAJ"
2012,"568MtVQAAAAJ,-vC_l2kAAAAJ"
2012,"568MtVQAAAAJ,-vC_l2kAAAAJ"
2012,"0NdRYeoAAAAJ,-vrMfNMAAAAJ"
2012,"5pKTRxEAAAAJ,-wT1eCwAAAAJ"
2012,"5pKTRxEAAAAJ,uSfaEgUAAAAJ,-wT1eCwAAAAJ,y2pH4jcAAAAJ"
2012,"5pKTRxEAAAAJ,-wT1eCwAAAAJ"
2012,"-XpZ4fgAAAAJ,d1KEK84AAAAJ"
2012,"Wov5tYoAAAAJ,-XpZ4fgAAAAJ"
2012,"MZKvGjYAAAAJ,-XpZ4fgAAAAJ"
2012,"h0gtwxIAAAAJ,-XpZ4fgAAAAJ,MJ5G4xgAAAAJ"
2012,"P3JdmqAAAAAJ,-XpZ4fgAAAAJ,d1KEK84AAAAJ"
2012,"Wov5tYoAAAAJ,-XpZ4fgAAAAJ"
2012,"p4urLfMAAAAJ,-XXZGEoAAAAJ"
2012,"p4urLfMAAAAJ,-XXZGEoAAAAJ"
