"year","coauthor_codes"
1995,"-0ppt6oAAAAJ"
1995,"-0ppt6oAAAAJ"
1995,"-0ppt6oAAAAJ"
1995,"VizsSmEAAAAJ,-6cOYcYAAAAJ"
1995,"VizsSmEAAAAJ,-6cOYcYAAAAJ"
1995,"-6FYTfMAAAAJ"
1995,"-6FYTfMAAAAJ"
1995,"-6FYTfMAAAAJ"
1995,"-aQaHIoAAAAJ"
1995,"-aQaHIoAAAAJ"
1995,"-aQaHIoAAAAJ"
1995,"-Dg42W8AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-EXWOU0AAAAJ"
1995,"-GT5PAkAAAAJ"
1995,"-GT5PAkAAAAJ"
1995,"-GT5PAkAAAAJ"
1995,"-H7Y-VUAAAAJ"
1995,"-H7Y-VUAAAAJ"
1995,"-had2Q8AAAAJ,kUwCxIUAAAAJ"
1995,"-had2Q8AAAAJ"
1995,"cFbbY_gAAAAJ,-HwCwkAAAAAJ"
1995,"-HwCwkAAAAAJ"
1995,"-HwCwkAAAAAJ"
1995,"-Jbd9DsAAAAJ"
1995,"-Jbd9DsAAAAJ"
1995,"-Jbd9DsAAAAJ"
1995,"-Jbd9DsAAAAJ"
1995,"-Jbd9DsAAAAJ"
1995,"-Jbd9DsAAAAJ"
1995,"-LyegNoAAAAJ"
1995,"-LyegNoAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-m5wrTkAAAAJ"
1995,"-o3I0zUAAAAJ"
1995,"-PWcE1YAAAAJ"
1995,"-PWcE1YAAAAJ"
1995,"-PWcE1YAAAAJ"
1995,"-PWcE1YAAAAJ"
1995,"-PWYRzIAAAAJ"
1995,"-QZrYjsAAAAJ"
1995,"-spRnaQAAAAJ"
1995,"-spRnaQAAAAJ"
1995,"-teHhxwAAAAJ"
1995,"-teHhxwAAAAJ"
1995,"-teHhxwAAAAJ"
1995,"-UyfaYEAAAAJ"
1995,"-UyfaYEAAAAJ"
1995,"-UyfaYEAAAAJ"
1995,"-UyfaYEAAAAJ"
1995,"-vrMfNMAAAAJ"
1995,"-XpZ4fgAAAAJ"
1995,"-XpZ4fgAAAAJ"
1995,"Wov5tYoAAAAJ,-XpZ4fgAAAAJ"
1995,"-XpZ4fgAAAAJ"
1995,"-XpZ4fgAAAAJ"
1995,"-XpZ4fgAAAAJ"
1995,"Wov5tYoAAAAJ,-XpZ4fgAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-yrzguMAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ,SKVnHakAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-YvgZDEAAAAJ"
1995,"-_yz0eUAAAAJ"
1995,"-_yz0eUAAAAJ"
1995,"-_yz0eUAAAAJ"
1995,"0-hcsnoAAAAJ"
1995,"008lr2cAAAAJ"
1995,"00H10pgAAAAJ"
1995,"00H10pgAAAAJ"
1995,"00M1AqQAAAAJ"
1995,"00M1AqQAAAAJ"
1995,"U6OVPVMAAAAJ,00M1AqQAAAAJ"
1995,"01EOkNEAAAAJ"
1995,"01EOkNEAAAAJ"
1995,"01EOkNEAAAAJ"
1995,"01EOkNEAAAAJ"
1995,"67aYFTQAAAAJ,02nHF0gAAAAJ"
1995,"67aYFTQAAAAJ,02nHF0gAAAAJ"
1995,"67aYFTQAAAAJ,02nHF0gAAAAJ"
1995,"67aYFTQAAAAJ,02nHF0gAAAAJ"
1995,"02nHF0gAAAAJ"
1995,"67aYFTQAAAAJ,02nHF0gAAAAJ"
1995,"02nHF0gAAAAJ"
1995,"02_kT4YAAAAJ"
1995,"02_kT4YAAAAJ"
1995,"03uVItYAAAAJ"
1995,"03uVItYAAAAJ"
1995,"04pdXhgAAAAJ"
1995,"04pdXhgAAAAJ"
1995,"04pdXhgAAAAJ"
1995,"04pdXhgAAAAJ"
1995,"04pdXhgAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"wQzELzEAAAAJ,05UuCNQAAAAJ"
1995,"EBnjjY8AAAAJ,05UuCNQAAAAJ"
1995,"05UuCNQAAAAJ,D9UDlHYAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"wQzELzEAAAAJ,05UuCNQAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"05UuCNQAAAAJ"
1995,"060zUaAAAAAJ"
1995,"07ds-DAAAAAJ"
1995,"07ds-DAAAAAJ"
1995,"07ds-DAAAAAJ"
1995,"0ahvXiEAAAAJ"
1995,"0cy3s0AAAAAJ"
1995,"0cy3s0AAAAAJ"
1995,"0DpK1EMAAAAJ"
1995,"0DpK1EMAAAAJ"
1995,"0DpK1EMAAAAJ"
1995,"0DpK1EMAAAAJ"
1995,"0e8QmOMAAAAJ"
1995,"0ESwQagAAAAJ"
1995,"nVksQusAAAAJ,0ESwQagAAAAJ"
1995,"nVksQusAAAAJ,0ESwQagAAAAJ"
1995,"0ESwQagAAAAJ"
1995,"0fq5QeIAAAAJ,NzQu5SwAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fq5QeIAAAAJ"
1995,"0fVKnEcAAAAJ,wjPrcoUAAAAJ"
1995,"0fVKnEcAAAAJ,wjPrcoUAAAAJ"
1995,"0IHc9DUAAAAJ"
1995,"0IHc9DUAAAAJ"
1995,"YTJrQA4AAAAJ,0iJRaawAAAAJ"
1995,"YTJrQA4AAAAJ,0iJRaawAAAAJ"
1995,"0iJRaawAAAAJ"
1995,"0iJRaawAAAAJ"
1995,"0iJRaawAAAAJ"
1995,"0iJRaawAAAAJ"
1995,"0irVeiQAAAAJ"
1995,"0irVeiQAAAAJ"
1995,"0irVeiQAAAAJ"
1995,"0irVeiQAAAAJ"
1995,"0irVeiQAAAAJ"
1995,"0IrZEuIAAAAJ"
1995,"0IrZEuIAAAAJ"
1995,"0IrZEuIAAAAJ"
1995,"0nBysEcAAAAJ"
1995,"0nBysEcAAAAJ"
1995,"0OdjAAkAAAAJ"
1995,"0oj4N0sAAAAJ"
1995,"0oj4N0sAAAAJ"
1995,"0oj4N0sAAAAJ"
1995,"0oj4N0sAAAAJ"
1995,"0RMteS0AAAAJ"
1995,"0RMteS0AAAAJ"
1995,"0skgDnMAAAAJ"
1995,"0skgDnMAAAAJ"
1995,"0skgDnMAAAAJ"
1995,"0skgDnMAAAAJ"
1995,"0tJWcp4AAAAJ"
1995,"0vWWXXUAAAAJ"
1995,"0VzUxIcAAAAJ"
1995,"0VzUxIcAAAAJ"
1995,"0VzUxIcAAAAJ"
1995,"0VzUxIcAAAAJ"
1995,"0XV1sFsAAAAJ"
1995,"kEM42bEAAAAJ,0XV1sFsAAAAJ"
1995,"kEM42bEAAAAJ,0XV1sFsAAAAJ"
1995,"kEM42bEAAAAJ,0XV1sFsAAAAJ"
1995,"0y6JDD4AAAAJ"
1995,"0y6JDD4AAAAJ"
1995,"0y6JDD4AAAAJ"
1995,"0y6JDD4AAAAJ"
1995,"0y6JDD4AAAAJ"
1995,"0y6JDD4AAAAJ"
1995,"0y6JDD4AAAAJ"
