"year","coauthor_codes"
1987,"0,-cL-RwUAAAAJ,0,0"
1987,"-cL-RwUAAAAJ,0,0"
1987,"-cL-RwUAAAAJ,0,0,0"
1987,"-cL-RwUAAAAJ,0,0"
1987,"0,0,-Dg42W8AAAAJ"
1987,"-GT5PAkAAAAJ"
1987,"-GT5PAkAAAAJ"
1987,"-HwCwkAAAAAJ,0"
1987,"-HwCwkAAAAAJ"
1987,"-HwCwkAAAAAJ"
1987,"-Jbd9DsAAAAJ"
1987,"0,0,-LyegNoAAAAJ,0"
1987,"-LyegNoAAAAJ,2"
1987,"0,2,-LyegNoAAAAJ,2"
1987,"-m5wrTkAAAAJ,1,1"
1987,"-m5wrTkAAAAJ,1,1,1"
1987,"1,-m5wrTkAAAAJ,1,1"
1987,"1,-m5wrTkAAAAJ,1,1,2"
1987,"-m5wrTkAAAAJ,1,1"
1987,"1,-m5wrTkAAAAJ,1"
1987,"-m5wrTkAAAAJ,1"
1987,"-m5wrTkAAAAJ,1,1"
1987,"1,-m5wrTkAAAAJ"
1987,"-m5wrTkAAAAJ,1"
1987,"-teHhxwAAAAJ,0"
1987,"0,0,-UyfaYEAAAAJ"
1987,"0,0,0,0,-UyfaYEAAAAJ"
1987,"-UyfaYEAAAAJ,0"
1987,"0,0,0,0,0,-UyfaYEAAAAJ"
1987,"0,-UyfaYEAAAAJ"
1987,"0,0,-UyfaYEAAAAJ"
1987,"0,0,-UyfaYEAAAAJ"
1987,"0,0,-UyfaYEAAAAJ,0"
1987,"0,-xOxPsUAAAAJ,0"
1987,"-xOxPsUAAAAJ"
1987,"1,-yrzguMAAAAJ"
1987,"1,-yrzguMAAAAJ"
1987,"-YvgZDEAAAAJ,1,1"
1987,"-YvgZDEAAAAJ,1,1"
1987,"0,0,0,01EOkNEAAAAJ"
1987,"0,0,0,0,0,01EOkNEAAAAJ"
1987,"0,0,0,0,01EOkNEAAAAJ"
1987,"2,0,0,0,0,01EOkNEAAAAJ"
1987,"0,0,0,0,01EOkNEAAAAJ"
1987,"0,0,04pdXhgAAAAJ"
1987,"0,0,04pdXhgAAAAJ"
1987,"0,0,04pdXhgAAAAJ,0"
1987,"2,0,0,0,0,0,05UuCNQAAAAJ,0,0,0,0,0"
1987,"05UuCNQAAAAJ,0,0,0,0"
1987,"060zUaAAAAAJ,0"
1987,"0e8QmOMAAAAJ,0,0"
1987,"0ESwQagAAAAJ"
1987,"0IHc9DUAAAAJ,1,1,1,1"
1987,"0IHc9DUAAAAJ,1,2,1"
1987,"2,0iJRaawAAAAJ,1,1"
1987,"0iJRaawAAAAJ,1"
1987,"0iJRaawAAAAJ,gMQWxE0AAAAJ"
1987,"0iJRaawAAAAJ,1"
1987,"0,0,0,0IrZEuIAAAAJ,0"
1987,"0,0IrZEuIAAAAJ"
1987,"0,0IrZEuIAAAAJ"
1987,"0,0,0,0IrZEuIAAAAJ,0"
1987,"1,0RMteS0AAAAJ"
1987,"0skgDnMAAAAJ,1"
1987,"0skgDnMAAAAJ,1"
1987,"0udXcCEAAAAJ"
1987,"0udXcCEAAAAJ"
1987,"0,0udXcCEAAAAJ,0,2"
1987,"0VzUxIcAAAAJ"
1987,"1,0XV1sFsAAAAJ"
1987,"1,0XV1sFsAAAAJ"
1987,"1,0XV1sFsAAAAJ"
1987,"1,0XV1sFsAAAAJ"
1987,"1,0XV1sFsAAAAJ"
1987,"1,0zZnyMEAAAAJ"
1987,"1fEZ_osAAAAJ,1"
1987,"1,1fEZ_osAAAAJ,1"
1987,"1HYDaVIAAAAJ"
1987,"0,0,1h_0s3wAAAAJ"
1987,"1h_0s3wAAAAJ"
1987,"1NtRHc4AAAAJ,1"
1987,"0,1s3GeggAAAAJ"
1987,"0,0,1s3GeggAAAAJ"
1987,"0,2,1s3GeggAAAAJ"
1987,"0,1s3GeggAAAAJ,0"
1987,"0,0,0,1s3GeggAAAAJ"
1987,"0,0,1s3GeggAAAAJ"
1987,"0,1s3GeggAAAAJ,0"
1987,"0,1somGYUAAAAJ"
1987,"0,0,1somGYUAAAAJ,0"
1987,"0,0,1somGYUAAAAJ,0"
1987,"0,0,1somGYUAAAAJ"
1987,"0,1somGYUAAAAJ"
1987,"0,0,1somGYUAAAAJ"
1987,"0,1somGYUAAAAJ"
1987,"0,1T3wsnsAAAAJ,0"
1987,"1T3wsnsAAAAJ"
1987,"1T3wsnsAAAAJ,0"
1987,"1UnT11UAAAAJ,0"
1987,"1UnT11UAAAAJ,0"
1987,"0,0,0,0,0,1UnT11UAAAAJ,0,0"
1987,"0,1u_MQY8AAAAJ,0,0"
1987,"0,1WIPsm0AAAAJ"
1987,"0,0,0,1wq5H9oAAAAJ"
1987,"0,0,0,0,1wq5H9oAAAAJ,0"
1987,"0,0,0,0,1wq5H9oAAAAJ,2,0"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ,AzdflHYAAAAJ"
1987,"0,1z3mv7EAAAAJ"
1987,"1z3mv7EAAAAJ"
1987,"22aEccUAAAAJ,0"
1987,"22aEccUAAAAJ,0,0,0,0"
1987,"22aEccUAAAAJ,0"
1987,"22aEccUAAAAJ,0,0"
1987,"22aEccUAAAAJ,0,0"
1987,"22aEccUAAAAJ,0,0"
1987,"22aEccUAAAAJ"
1987,"1,1,26h2MnAAAAAJ"
1987,"0,0,2,27ytbx8AAAAJ,0,0"
1987,"0,27ytbx8AAAAJ,0,0"
1987,"27ytbx8AAAAJ,0,0,0,0"
1987,"0,0,0,2Bbi09MAAAAJ"
1987,"0,0,0,2Bbi09MAAAAJ,0"
1987,"0,0,0,2Bbi09MAAAAJ"
1987,"1,1,1,1,1,2Bc3UN4AAAAJ"
1987,"2ewb-10AAAAJ"
1987,"2ewb-10AAAAJ"
1987,"1,2ftJYXMAAAAJ"
1987,"1,2ftJYXMAAAAJ,1"
1987,"1,2hg5lYIAAAAJ"
1987,"2hg5lYIAAAAJ"
1987,"1,2hg5lYIAAAAJ"
1987,"2hg5lYIAAAAJ,1"
1987,"1,2,2hg5lYIAAAAJ"
1987,"1,1,2hg5lYIAAAAJ"
1987,"1,1,2hg5lYIAAAAJ"
1987,"1,2hg5lYIAAAAJ"
1987,"1,1,2hg5lYIAAAAJ"
1987,"1,2hg5lYIAAAAJ"
1987,"1,1,1,2hg5lYIAAAAJ"
1987,"1,2,2hg5lYIAAAAJ"
1987,"1,1,2hg5lYIAAAAJ"
