"year","Source","Target","s_dept","t_dept"
2010,2,2445,"BIO","BIO"
2010,737,1917,"BIO","BIO"
2010,4,1917,"BIO","BIO"
2010,4,737,"BIO","BIO"
2010,6,2931,"CS","CS"
2010,7,2989,"BIO","BIO"
2010,8,1480,"BIO","BIO"
2010,12,1118,"CS","CS"
2010,1118,3641,"CS","CS"
2010,12,3641,"CS","CS"
2010,12,2651,"CS","CS"
2010,17,3291,"BIO","BIO"
2010,19,293,"CS","BIO"
2010,293,3611,"BIO","CS"
2010,19,3611,"CS","CS"
2010,24,1427,"CS","CS"
2010,24,2835,"CS","CS"
2010,2835,3777,"CS","CS"
2010,24,3777,"CS","CS"
2010,27,2876,"BIO","BIO"
2010,28,2815,"CS","CS"
2010,31,1531,"BIO","BIO"
2010,32,129,"BIO","BIO"
2010,32,3216,"BIO","BIO"
2010,977,1010,"BIO","BIO"
2010,977,2922,"BIO","BIO"
2010,32,977,"BIO","BIO"
2010,528,977,"CS","BIO"
2010,1010,2922,"BIO","BIO"
2010,32,1010,"BIO","BIO"
2010,528,1010,"CS","BIO"
2010,32,2922,"BIO","BIO"
2010,528,2922,"CS","BIO"
2010,32,528,"BIO","CS"
2010,33,1083,"CS","CS"
2010,33,3292,"CS","CS"
2010,33,353,"CS","CS"
2010,33,974,"CS","CS"
2010,353,3292,"CS","CS"
2010,1083,3292,"CS","CS"
2010,974,3292,"CS","CS"
2010,353,1083,"CS","CS"
2010,353,974,"CS","CS"
2010,974,1083,"CS","CS"
2010,35,480,"CS","CS"
2010,39,2435,"CS","CS"
2010,42,3851,"BIO","BIO"
2010,585,1961,"BIO","BIO"
2010,585,1485,"BIO","BIO"
2010,585,3851,"BIO","BIO"
2010,42,585,"BIO","BIO"
2010,1485,1961,"BIO","BIO"
2010,1961,3851,"BIO","BIO"
2010,42,1961,"BIO","BIO"
2010,1485,3851,"BIO","BIO"
2010,42,1485,"BIO","BIO"
2010,43,1975,"BIO","BIO"
2010,44,1036,"CS","CS"
2010,47,4137,"BIO","BIO"
2010,56,2173,"BIO","BIO"
2010,58,159,"CS","CS"
2010,58,253,"CS","CS"
2010,58,413,"CS","CS"
2010,60,453,"CS","CS"
2010,453,3871,"CS","CS"
2010,60,3871,"CS","CS"
2010,453,3422,"CS","CS"
2010,60,3422,"CS","CS"
2010,3422,3871,"CS","CS"
2010,60,2602,"CS","CS"
2010,63,1092,"CS","CS"
2010,63,463,"CS","CS"
2010,63,4062,"CS","CS"
2010,65,1549,"CS","BIO"
2010,49,70,"BIO","BIO"
2010,73,1233,"CS","CS"
2010,2178,2461,"BIO","BIO"
2010,2178,3170,"BIO","BIO"
2010,2178,3809,"BIO","BIO"
2010,76,2178,"BIO","BIO"
2010,2461,3170,"BIO","BIO"
2010,2461,3809,"BIO","BIO"
2010,76,2461,"BIO","BIO"
2010,3170,3809,"BIO","BIO"
2010,76,3170,"BIO","BIO"
2010,76,3809,"BIO","BIO"
2010,3492,3791,"BIO","BIO"
2010,2178,3791,"BIO","BIO"
2010,2461,3791,"BIO","BIO"
2010,3791,3809,"BIO","BIO"
2010,76,3791,"BIO","BIO"
2010,623,3791,"BIO","BIO"
2010,2178,3492,"BIO","BIO"
2010,2461,3492,"BIO","BIO"
2010,3492,3809,"BIO","BIO"
2010,76,3492,"BIO","BIO"
2010,623,3492,"BIO","BIO"
2010,623,2178,"BIO","BIO"
