"Source","Target"
7,2989
8,1306
12,3945
19,3707
19,3424
3424,3707
20,3385
21,30
28,1564
30,2376
30,3110
2660,3110
30,2660
32,1503
33,2404
1083,2404
33,1083
33,2748
1083,2748
34,1959
34,2363
39,2435
598,1185
39,598
598,2435
39,1185
1185,2435
40,74
528,3497
42,3497
42,528
44,1631
44,3790
58,253
159,253
58,159
58,3365
60,2602
63,844
63,1860
844,1860
63,1092
64,3412
64,2749
65,2418
66,3064
66,156
66,786
156,3064
786,3064
156,786
67,2401
2401,3664
2401,3617
67,3664
67,3617
3617,3664
72,579
73,145
77,1667
78,485
79,1330
82,1639
83,3700
87,2044
87,2169
87,3849
88,913
98,1988
100,2482
101,2501
101,1683
1175,1378
1175,2454
107,1175
1175,2370
1378,2454
107,1378
1378,2370
107,2454
2370,2454
107,2370
114,1634
114,3028
119,2792
124,1759
128,2285
136,1466
136,2868
136,2489
136,3298
2489,3298
136,761
1934,2868
136,1934
138,348
139,3869
139,2656
146,2186
147,2438
147,3853
147,1109
598,3967
149,3967
149,598
161,1810
161,1712
161,4043
1712,1810
1810,4043
1712,4043
161,510
162,2382
164,476
169,860
933,2232
933,3539
169,933
2232,3539
169,2232
169,3539
2232,2252
169,2252
172,2923
176,1519
177,945
177,1311
181,3689
187,2440
187,627
627,2440
190,2974
193,2726
211,2193
212,3216
213,769
219,755
755,3974
219,3974
227,4121
231,2898
231,2217
753,1362
235,1362
1362,3595
235,753
753,3595
235,3595
236,3697
237,3184
237,2217
3893,4158
3659,3893
238,3893
3659,4158
238,4158
238,3659
1293,4158
238,1293
239,1785
239,3624
245,2640
254,1826
256,3077
256,1883
256,379
1883,3077
379,3077
379,1883
263,2087
1028,3143
263,3143
263,1028
265,1743
265,2393
267,476
268,747
269,3311
271,1175
273,1589
273,3182
274,3800
278,3659
278,3777
2155,3777
278,2155
2059,2835
278,2835
278,2059
3401,3777
278,3401
279,2227
280,2425
280,2863
281,2584
285,1434
285,485
289,2346
289,1821
1821,2346
289,2735
291,2032
291,4030
296,1739
299,3160
299,2291
299,1145
1145,2291
2291,3160
1145,3160
299,706
374,706
706,1145
706,3160
299,374
374,1145
374,3160
299,1392
1392,3160
300,619
619,1325
300,1325
1415,3284
301,3284
301,1415
302,1113
304,3997
304,3630
3630,3997
307,403
307,1325
317,3622
321,2620
323,501
323,1719
323,4140
326,2719
328,2020
1891,2774
337,1891
337,2774
338,4141
339,2134
339,3544
339,1712
2134,3544
1712,2134
1712,3544
340,3670
345,2483
345,1430
345,3977
1430,2483
2483,3977
1430,3977
346,3503
351,1423
351,1631
1423,1631
352,3916
352,2968
353,3541
353,4087
3541,4087
353,982
982,4087
353,1601
356,3283
358,2573
359,3176
359,2720
361,672
362,1358
366,969
366,1297
366,3126
373,3864
374,3997
3160,3997
1939,2625
376,1939
376,2625
378,1118
378,3442
1118,3442
379,936
379,1996
380,3422
382,3375
385,4165
385,2392
2392,4165
385,2825
387,4101
387,898
388,1433
441,1091
390,1091
57,1091
390,441
57,441
57,390
391,3590
229,395
395,2472
397,848
397,3792
399,1652
399,1442
399,867
867,1652
1442,1652
867,1442
2032,2275
399,2275
399,2032
399,3211
1652,3211
401,3786
403,2769
403,1631
403,1325
407,2426
407,526
407,3622
317,407
407,1206
408,1561
412,542
416,936
416,3742
418,2617
419,1086
421,1117
421,1651
422,1533
422,3365
423,816
425,646
433,3445
433,1422
1066,1114
443,1066
443,1114
443,3024
444,1509
444,3999
1509,3999
446,4096
447,2764
448,1008
453,3422
453,3430
3422,3430
453,2323
455,583
583,3024
455,3024
456,4028
3584,4028
456,3584
474,2922
476,3369
479,2501
479,4008
480,3730
481,1018
485,3144
485,2059
485,991
78,991
485,2735
485,1915
1247,3034
486,1247
486,3034
488,1826
492,1282
498,2754
500,1281
500,3369
504,928
505,533
505,1576
533,1576
509,3455
1180,3455
509,1180
513,2592
513,1693
513,1555
1693,1747
513,1747
289,516
530,3411
3262,3765
532,3262
532,3765
533,2446
533,1204
538,3126
538,1953
540,2326
545,1712
545,4103
547,1181
547,2795
547,864
547,1533
547,3568
550,928
550,3949
552,648
553,2894
553,1084
557,2460
559,643
560,3822
563,3995
1662,3371
564,1662
564,3371
564,847
568,4190
577,1378
577,686
44,577
577,848
908,3419
908,1577
908,1965
581,908
1577,3419
1965,3419
581,3419
1577,1965
581,1577
581,1965
583,4031
3024,4031
585,2252
588,1527
147,588
588,3853
588,2438
590,746
594,1050
597,1914
2435,3967
1886,3967
1886,1940
598,1886
1940,3967
598,1940
1185,3967
39,3967
604,3807
1880,3807
604,1880
604,4108
604,1509
604,1109
605,2169
562,608
612,3939
612,2646
2646,3939
453,614
1127,1684
616,1127
616,1684
616,1693
616,1747
513,616
250,624
626,3631
626,2962
626,2497
626,1633
2497,2962
1633,2962
1633,2497
628,2070
628,1749
628,711
630,2426
630,965
630,3207
965,3207
630,848
848,965
631,1972
632,3950
907,4134
633,907
633,4134
633,2871
633,2330
638,1672
638,3245
638,1235
641,3668
1233,3668
2369,3668
641,1233
641,2369
1233,2369
644,3992
646,3960
647,3640
568,649
651,3539
652,3814
652,2858
652,1345
659,1803
2923,3336
660,3336
660,2923
662,1427
1427,3378
662,3378
665,2120
667,2415
533,671
671,1207
533,1207
672,3516
672,2678
674,734
734,2693
734,878
674,2693
674,878
878,2693
674,919
674,3024
919,3024
674,1311
763,1417
680,1417
680,763
685,1113
685,686
686,2469
686,1113
686,1083
1113,2469
1083,2469
1083,1113
699,1684
700,2652
700,1213
1213,2652
67,702
702,3664
705,1325
706,924
707,1747
708,1006
1006,2145
708,2145
711,2126
711,2607
2126,2607
712,4104
712,3371
1175,4064
712,4064
712,1175
3371,4064
1175,3371
718,3193
720,1205
721,2381
725,3745
725,2404
725,2803
729,1892
729,1687
455,730
732,3664
733,3448
733,3236
733,1980
1980,3236
733,3191
734,2943
737,3173
705,745
745,1325
750,1419
757,2305
761,3718
764,3418
770,2795
770,3922
2924,3922
770,2924
770,2998
2924,2998
772,3183
772,1592
772,848
777,4119
117,781
781,1737
782,2931
786,3839
