"google_id","XDIndicator"
"--nVNvIAAAAJ","CS"
"-0CQuX8AAAAJ","BIO"
"-0iKXsgAAAAJ","CS"
"-0nYQVIAAAAJ","BIO"
"-0ppt6oAAAAJ","XD"
"-0rEuLgAAAAJ","CS"
"-234SKAAAAAJ","BIO"
"-31-oa0AAAAJ","BIO"
"-5DNOLIAAAAJ","BIO"
"-5LVcdsAAAAJ","BIO"
"-5ZxgGsAAAAJ","BIO"
"-6cOYcYAAAAJ","CS"
"-6FYTfMAAAAJ","BIO"
"-78feYUAAAAJ","BIO"
"-aQaHIoAAAAJ","BIO"
"-BLWw_kAAAAJ","BIO"
"-chjN0MAAAAJ","XD"
"-cL-RwUAAAAJ","XD"
"-cwEbxUAAAAJ","XD"
"-D2TBHUAAAAJ","XD"
"-DEyRIgAAAAJ","BIO"
"-DfTtxgAAAAJ","XD"
"-Dg42W8AAAAJ","BIO"
"-E5k6m4AAAAJ","CS"
"-ERiTHkAAAAJ","BIO"
"-EXWOU0AAAAJ","CS"
"-fxI3cUAAAAJ","XD"
"-GT5PAkAAAAJ","CS"
"-H7Y-VUAAAAJ","BIO"
"-had2Q8AAAAJ","BIO"
"-HwCwkAAAAAJ","BIO"
"-iLn_XwAAAAJ","XD"
"-IMW-w0AAAAJ","XD"
"-Jbd9DsAAAAJ","CS"
"-jW6ADwAAAAJ","CS"
"-Jz7TjkAAAAJ","BIO"
"-LPp6oUAAAAJ","XD"
"-LyegNoAAAAJ","BIO"
"-m5wrTkAAAAJ","CS"
"-MQXqOkAAAAJ","XD"
"-NkxFNoAAAAJ","CS"
"-o3I0zUAAAAJ","XD"
"-OdJO1UAAAAJ","XD"
"-PWcE1YAAAAJ","CS"
"-PWYRzIAAAAJ","BIO"
"-pyztDMAAAAJ","CS"
"-qFHOKsAAAAJ","BIO"
"-QZrYjsAAAAJ","BIO"
"-rcrelQAAAAJ","XD"
"-S8_yskAAAAJ","BIO"
"-sGaL8sAAAAJ","CS"
"-SM7MpYAAAAJ","CS"
"-smZI6MAAAAJ","BIO"
"-spRnaQAAAAJ","CS"
"-teHhxwAAAAJ","XD"
"-u5lh-0AAAAJ","BIO"
"-UyfaYEAAAAJ","BIO"
