YEAR,num_pub,sum_citations,std_citations,sum_ln_citations,std_ln_citations
1946,2,8,1.000,3.178,0.203
1947,1,1,0.000,0.693,0.000
1956,1,30,0.000,3.434,0.000
1960,5,78,9.457,12.690,0.840
1961,6,1610,563.155,18.118,2.259
1962,8,96,11.292,16.851,1.020
1963,5,42,5.571,10.195,0.657
1964,10,299,34.072,27.213,1.263
1965,8,787,111.368,32.604,0.979
1966,21,1119,137.469,58.594,1.334
1967,24,706,49.738,62.783,1.220
1968,31,2266,124.224,98.168,1.557
1969,50,1847,52.033,138.806,1.364
1970,59,4296,165.491,174.506,1.558
1971,72,5230,120.880,236.075,1.445
1972,86,3787,86.020,251.391,1.298
1973,121,18528,590.552,409.207,1.730
1974,154,12748,137.983,503.941,1.575
1975,207,23281,349.083,662.611,1.633
1976,249,36924,348.845,859.161,1.791
1977,255,29266,471.424,820.688,1.617
1978,283,46312,1100.100,929.988,1.662
1979,364,35933,253.663,1167.433,1.587
1980,420,42030,228.811,1383.896,1.627
1981,522,70975,673.884,1674.023,1.638
1982,633,61885,253.172,2101.004,1.579
1983,662,57658,211.739,2167.179,1.541
1984,782,74619,276.099,2580.586,1.555
1985,950,103023,298.321,3224.311,1.554
1986,1164,152352,839.007,3894.164,1.613
1987,1289,132083,281.509,4385.860,1.510
1988,1676,198631,656.139,5610.032,1.537
1989,2050,192131,265.214,6910.317,1.500
1990,2405,225145,322.628,7983.699,1.519
1991,2662,261319,420.682,8885.020,1.508
1992,3116,299820,336.597,10267.882,1.515
1993,3599,303158,256.140,11606.877,1.502
1994,4418,390612,288.445,14346.048,1.495
1995,4620,454338,477.644,15253.838,1.521
1996,5055,509520,310.121,16880.715,1.541
1997,5565,612132,377.819,18982.895,1.560
1998,6307,698564,373.752,21340.084,1.558
1999,6575,814479,527.831,22591.383,1.593
2000,7177,899075,480.435,24837.478,1.587
2001,7945,1008919,527.929,27647.376,1.567
2002,8938,1043365,382.336,30988.834,1.568
2003,10379,1134660,401.506,35563.129,1.551
2004,11268,1059243,259.877,37938.478,1.516
2005,12362,1005833,224.995,40450.265,1.480
2006,12401,842244,172.453,39488.562,1.420
2007,12997,857796,184.173,40827.423,1.407
2008,12918,815129,212.601,39760.840,1.386
2009,13302,776075,220.554,39868.515,1.378
2010,14015,742408,266.793,40731.122,1.347
2011,14297,580701,95.742,40104.764,1.289
2012,14420,483830,113.304,38391.127,1.227
2013,14286,354551,59.704,35219.486,1.166
2014,13633,262182,70.435,30486.439,1.084
2015,12360,142403,47.733,23171.682,0.946
2016,8120,44985,16.825,11410.479,0.773
2017,304,1693,25.070,350.650,0.791
