"year","Source","Target","s_dept","t_dept"
2003,8,1806,"BIO","BIO"
2003,8,1367,"BIO","BIO"
2003,12,1721,"CS","CS"
2003,124,1721,"CS","CS"
2003,12,124,"CS","CS"
2003,12,4108,"CS","CS"
2003,20,3385,"BIO","CS"
2003,21,30,"BIO","BIO"
2003,30,3093,"BIO","BIO"
2003,32,1503,"BIO","BIO"
2003,32,1503,"BIO","BIO"
2003,33,1083,"CS","CS"
2003,33,1083,"CS","CS"
2003,33,1083,"CS","CS"
2003,33,1083,"CS","CS"
2003,39,1185,"CS","CS"
2003,39,1185,"CS","CS"
2003,39,1185,"CS","CS"
2003,39,1185,"CS","CS"
2003,39,1185,"CS","CS"
2003,39,1185,"CS","CS"
2003,39,1185,"CS","CS"
2003,40,1153,"BIO","BIO"
2003,44,1631,"CS","CS"
2003,49,2624,"BIO","BIO"
2003,51,3445,"CS","CS"
2003,54,1672,"CS","CS"
2003,54,1672,"CS","CS"
2003,55,3380,"BIO","BIO"
2003,63,844,"CS","CS"
2003,65,2418,"CS","CS"
2003,65,2418,"CS","CS"
2003,65,2418,"CS","CS"
2003,65,2418,"CS","CS"
2003,65,2418,"CS","CS"
2003,65,2418,"CS","CS"
2003,65,2418,"CS","CS"
2003,71,2717,"CS","CS"
2003,73,3770,"CS","CS"
2003,73,3334,"CS","CS"
2003,1530,3334,"CS","CS"
2003,73,1530,"CS","CS"
2003,73,3334,"CS","CS"
2003,1530,3334,"CS","CS"
2003,73,1530,"CS","CS"
2003,73,145,"CS","CS"
2003,73,3334,"CS","CS"
2003,1530,3334,"CS","CS"
2003,73,1530,"CS","CS"
2003,73,3334,"CS","CS"
2003,1530,3334,"CS","CS"
2003,73,1530,"CS","CS"
2003,73,3770,"CS","CS"
2003,73,145,"CS","CS"
2003,78,3777,"CS","CS"
2003,81,646,"CS","CS"
2003,83,3700,"BIO","BIO"
2003,87,3849,"CS","CS"
2003,87,3849,"CS","CS"
2003,91,4010,"BIO","BIO"
2003,91,4010,"BIO","BIO"
2003,91,2616,"BIO","BIO"
2003,94,1011,"BIO","BIO"
2003,94,1011,"BIO","BIO"
2003,94,1011,"BIO","BIO"
2003,94,2847,"BIO","BIO"
2003,634,3939,"CS","CS"
2003,98,634,"CS","CS"
2003,98,3939,"CS","CS"
2003,98,1988,"CS","CS"
2003,98,1988,"CS","CS"
2003,98,1988,"CS","CS"
2003,98,1988,"CS","CS"
2003,98,1988,"CS","CS"
2003,98,1988,"CS","CS"
2003,98,1988,"CS","CS"
2003,100,2482,"BIO","BIO"
2003,101,1532,"CS","CS"
2003,101,4026,"CS","CS"
2003,105,2722,"CS","CS"
2003,1378,4064,"CS","CS"
2003,107,4064,"CS","CS"
2003,107,1378,"CS","CS"
2003,1220,4066,"CS","CS"
2003,107,1220,"CS","CS"
2003,107,4066,"CS","CS"
2003,107,1220,"CS","CS"
2003,107,1378,"CS","CS"
2003,1378,4064,"CS","CS"
2003,107,4064,"CS","CS"
2003,107,1378,"CS","CS"
2003,1378,4064,"CS","CS"
2003,107,4064,"CS","CS"
2003,107,1378,"CS","CS"
2003,107,1378,"CS","CS"
2003,107,1220,"CS","CS"
2003,107,1220,"CS","CS"
2003,1378,4064,"CS","CS"
2003,107,4064,"CS","CS"
2003,107,1378,"CS","CS"
2003,1220,1599,"CS","CS"
2003,107,1220,"CS","CS"
2003,107,1599,"CS","CS"
2003,1220,4066,"CS","CS"
2003,107,1220,"CS","CS"
2003,107,4066,"CS","CS"
2003,107,1378,"CS","CS"
2003,107,1220,"CS","CS"
2003,1378,4064,"CS","CS"
2003,107,4064,"CS","CS"
2003,107,1378,"CS","CS"
2003,114,2640,"CS","CS"
2003,351,2640,"CS","CS"
2003,114,351,"CS","CS"
2003,114,2640,"CS","CS"
2003,351,2640,"CS","CS"
2003,114,351,"CS","CS"
2003,864,3945,"CS","CS"
2003,124,864,"CS","CS"
2003,124,3945,"CS","CS"
2003,124,1721,"CS","CS"
2003,128,2285,"CS","CS"
2003,128,2285,"CS","CS"
2003,134,632,"BIO","BIO"
2003,134,691,"BIO","BIO"
2003,632,691,"BIO","BIO"
2003,136,1466,"CS","CS"
2003,136,2489,"CS","CS"
2003,141,786,"CS","CS"
2003,143,3975,"CS","CS"
2003,144,2541,"CS","CS"
2003,1400,3853,"CS","CS"
2003,147,3853,"CS","CS"
2003,147,1400,"CS","CS"
2003,148,733,"CS","CS"
2003,148,3191,"CS","CS"
2003,733,3191,"CS","CS"
2003,148,3191,"CS","CS"
2003,152,2186,"CS","CS"
2003,152,2186,"CS","CS"
2003,152,2186,"CS","CS"
2003,156,786,"CS","CS"
2003,156,646,"CS","CS"
2003,159,3365,"CS","CS"
2003,418,2617,"CS","CS"
2003,159,2617,"CS","CS"
2003,159,418,"CS","CS"
2003,159,2617,"CS","CS"
2003,160,3662,"BIO","BIO"
2003,161,3143,"CS","CS"
2003,510,3143,"CS","CS"
2003,161,510,"CS","CS"
2003,169,860,"CS","CS"
2003,177,1249,"CS","CS"
2003,178,3076,"BIO","BIO"
2003,179,389,"BIO","BIO"
2003,181,351,"CS","CS"
2003,187,627,"BIO","BIO"
2003,190,2974,"BIO","CS"
2003,190,2974,"BIO","CS"
2003,193,2726,"BIO","BIO"
2003,199,1719,"BIO","BIO"
2003,211,2193,"BIO","BIO"
2003,212,2866,"BIO","BIO"
2003,219,755,"CS","CS"
2003,219,755,"CS","CS"
2003,229,644,"CS","CS"
2003,229,2528,"CS","CS"
2003,229,2528,"CS","CS"
2003,231,3656,"CS","CS"
2003,231,2217,"CS","CS"
2003,235,1362,"CS","CS"
2003,235,1362,"CS","CS"
2003,235,3595,"CS","CS"
2003,236,3697,"CS","CS"
2003,236,3697,"CS","CS"
2003,236,1304,"CS","CS"
2003,913,1304,"CS","CS"
2003,236,913,"CS","CS"
2003,238,4158,"CS","CS"
2003,238,2920,"CS","CS"
2003,2920,3126,"CS","CS"
2003,238,3126,"CS","CS"
2003,238,4158,"CS","CS"
2003,245,1417,"CS","CS"
2003,246,1091,"BIO","BIO"
2003,256,3077,"CS","CS"
2003,256,1486,"CS","CS"
2003,256,3077,"CS","CS"
2003,256,379,"CS","CS"
2003,379,3077,"CS","CS"
2003,256,3071,"CS","CS"
2003,3071,4028,"CS","CS"
2003,676,3071,"CS","CS"
2003,256,4028,"CS","CS"
2003,256,676,"CS","CS"
2003,676,4028,"CS","CS"
2003,256,4028,"CS","CS"
2003,256,1486,"CS","CS"
2003,256,1486,"CS","CS"
2003,261,1954,"BIO","CS"
2003,263,3395,"CS","CS"
2003,265,3065,"BIO","BIO"
2003,265,3065,"BIO","BIO"
2003,267,1486,"CS","CS"
2003,268,747,"CS","CS"
2003,268,747,"CS","CS"
2003,269,3311,"CS","CS"
2003,269,3490,"CS","CS"
2003,273,1589,"CS","CS"
2003,273,3182,"CS","CS"
2003,273,619,"CS","CS"
2003,273,607,"CS","CS"
2003,274,1974,"CS","CS"
2003,117,274,"CS","CS"
2003,278,3777,"CS","CS"
2003,2155,3777,"CS","CS"
2003,278,2155,"CS","CS"
2003,278,1914,"CS","CS"
2003,280,2863,"CS","CS"
2003,280,2425,"CS","CS"
2003,281,4101,"BIO","BIO"
2003,289,1821,"CS","CS"
