"year","coauthor_codes"
1983,"05UuCNQAAAAJ,uzDaznAAAAAJ"
1983,"0iJRaawAAAAJ,gMQWxE0AAAAJ"
1983,"1fEZ_osAAAAJ,lc0ARagAAAAJ"
1983,"4esyQS4AAAAJ,JXsWja0AAAAJ"
1983,"sxjynOsAAAAJ,4LCdnkYAAAAJ"
1983,"sxjynOsAAAAJ,4LCdnkYAAAAJ"
1983,"Wj4ZBFIAAAAJ,7lVfIWYAAAAJ"
1983,"a7LHl00AAAAJ,RXOSedcAAAAJ"
1983,"XYy_Nm4AAAAJ,ALGiEhQAAAAJ"
1983,"XYy_Nm4AAAAJ,ALGiEhQAAAAJ"
1983,"v0tJmyYAAAAJ,ATOfqHEAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"avq8-1QAAAAJ,d1KEK84AAAAJ"
1983,"bAipNH8AAAAJ,Uph176YAAAAJ"
1983,"OOLe2TIAAAAJ,blwKAkUAAAAJ"
1983,"CTPwvRMAAAAJ,uc44q3sAAAAJ,e4JfTgsAAAAJ"
1983,"CTPwvRMAAAAJ,e4JfTgsAAAAJ"
1983,"zAo6f24AAAAJ,DknsgF8AAAAJ"
1983,"uc44q3sAAAAJ,e4JfTgsAAAAJ"
1983,"EFEC_toAAAAJ,MnfzuPYAAAAJ"
1983,"Er-gEaoAAAAJ,FsBCAfgAAAAJ"
1983,"EtRpNRAAAAAJ,55pOyCkAAAAJ"
1983,"gb2r2ssAAAAJ,_pPy-pAAAAAJ"
1983,"0iJRaawAAAAJ,gMQWxE0AAAAJ"
1983,"D_JpQnAAAAAJ,gQOKAggAAAAJ"
1983,"HaI6LesAAAAJ,blwKAkUAAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"rXYLXJMAAAAJ,iLQqwosAAAAJ"
1983,"05UuCNQAAAAJ,Jc7sf8YAAAAJ"
1983,"jUzA3H8AAAAJ,_Z12v2IAAAAJ"
1983,"4esyQS4AAAAJ,JXsWja0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"lR-CRA0AAAAJ,HBgEJU0AAAAJ"
1983,"67aYFTQAAAAJ,m1qAiOUAAAAJ"
1983,"_SEaWmkAAAAJ,M6uUMREAAAAJ"
1983,"uSfaEgUAAAAJ,MnfzuPYAAAAJ"
1983,"EFEC_toAAAAJ,MnfzuPYAAAAJ"
1983,"uSfaEgUAAAAJ,MnfzuPYAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"nwNHXf4AAAAJ,aVorcfUAAAAJ"
1983,"vL6ubpMAAAAJ,oFiuaXEAAAAJ"
1983,"vL6ubpMAAAAJ,oFiuaXEAAAAJ"
1983,"OOLe2TIAAAAJ,blwKAkUAAAAJ"
1983,"D_JpQnAAAAAJ,Ph16U5wAAAAJ"
1983,"NE_tfEIAAAAJ,qNznu3kAAAAJ"
1983,"RBuoCYEAAAAJ,LQ87h3sAAAAJ"
1983,"a7LHl00AAAAJ,RXOSedcAAAAJ"
1983,"rXYLXJMAAAAJ,_pPy-pAAAAAJ"
1983,"sxjynOsAAAAJ,4LCdnkYAAAAJ"
1983,"sxjynOsAAAAJ,4LCdnkYAAAAJ"
1983,"txdJApMAAAAJ,FfqHjHoAAAAJ"
1983,"uc44q3sAAAAJ,e4JfTgsAAAAJ"
1983,"7P3t1woAAAAJ,UF1_VRcAAAAJ"
1983,"bAipNH8AAAAJ,Uph176YAAAAJ"
1983,"uSfaEgUAAAAJ,MnfzuPYAAAAJ"
1983,"uSfaEgUAAAAJ,MnfzuPYAAAAJ"
1983,"v0tJmyYAAAAJ,ATOfqHEAAAAJ"
1983,"v0tJmyYAAAAJ,ATOfqHEAAAAJ"
1983,"VBkNT98AAAAJ,vUDs6oEAAAAJ"
1983,"vL6ubpMAAAAJ,oFiuaXEAAAAJ"
1983,"vL6ubpMAAAAJ,oFiuaXEAAAAJ"
1983,"VBkNT98AAAAJ,vUDs6oEAAAAJ"
1983,"zLS4alQAAAAJ,wjPrcoUAAAAJ"
1983,"y768HUkAAAAJ,QRrrUU0AAAAJ"
1983,"zAo6f24AAAAJ,DknsgF8AAAAJ"
1983,"ZzWjYkEAAAAJ,6qE0tdAAAAAJ"
1983,"rXYLXJMAAAAJ,_pPy-pAAAAAJ"
1983,"_SEaWmkAAAAJ,M6uUMREAAAAJ"
1983,"jUzA3H8AAAAJ,_Z12v2IAAAAJ"
