"year","coauthor_codes"
2015,"--nVNvIAAAAJ"
2015,"--nVNvIAAAAJ"
2015,"--nVNvIAAAAJ,cLb-v7gAAAAJ"
2015,"jLEgvnsAAAAJ,--nVNvIAAAAJ"
2015,"-0CQuX8AAAAJ"
2015,"-0CQuX8AAAAJ"
2015,"-0CQuX8AAAAJ"
2015,"-0CQuX8AAAAJ"
2015,"-0nYQVIAAAAJ,kUwCxIUAAAAJ"
2015,"-0nYQVIAAAAJ"
2015,"-0nYQVIAAAAJ,kUwCxIUAAAAJ"
2015,"-0nYQVIAAAAJ"
2015,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ"
2015,"-0nYQVIAAAAJ"
2015,"mAbA6EoAAAAJ,-0nYQVIAAAAJ"
2015,"-0ppt6oAAAAJ"
2015,"SagVxawAAAAJ,-0ppt6oAAAAJ"
2015,"-0rEuLgAAAAJ,t_DFZvgAAAAJ"
2015,"-0rEuLgAAAAJ,0_vvBZkAAAAJ"
2015,"-0rEuLgAAAAJ"
2015,"-0rEuLgAAAAJ"
2015,"-0rEuLgAAAAJ"
2015,"-0rEuLgAAAAJ,wbIMbL8AAAAJ"
2015,"-0rEuLgAAAAJ"
2015,"-234SKAAAAAJ"
2015,"-234SKAAAAAJ"
2015,"-234SKAAAAAJ,RKvl6OoAAAAJ"
2015,"-234SKAAAAAJ"
2015,"-234SKAAAAAJ"
2015,"-234SKAAAAAJ"
2015,"YadECXsAAAAJ,-31-oa0AAAAJ"
2015,"YadECXsAAAAJ,-31-oa0AAAAJ"
2015,"-31-oa0AAAAJ"
2015,"-5LVcdsAAAAJ"
2015,"-5LVcdsAAAAJ"
2015,"-5ZxgGsAAAAJ"
2015,"-5ZxgGsAAAAJ"
2015,"-5ZxgGsAAAAJ,H3vXtAUAAAAJ"
2015,"-6cOYcYAAAAJ"
2015,"-6cOYcYAAAAJ"
2015,"-6cOYcYAAAAJ"
2015,"-6cOYcYAAAAJ"
2015,"P97vI1EAAAAJ,-6cOYcYAAAAJ"
2015,"-6cOYcYAAAAJ"
2015,"P97vI1EAAAAJ,-6cOYcYAAAAJ"
2015,"DqXsbPAAAAAJ,-6cOYcYAAAAJ"
2015,"-6FYTfMAAAAJ"
2015,"-6FYTfMAAAAJ"
2015,"-78feYUAAAAJ"
2015,"-78feYUAAAAJ"
2015,"-aQaHIoAAAAJ"
2015,"-aQaHIoAAAAJ"
2015,"-BLWw_kAAAAJ"
2015,"-BLWw_kAAAAJ,lNFZCgwAAAAJ"
2015,"-BLWw_kAAAAJ"
2015,"-BLWw_kAAAAJ"
2015,"FXbbGUYAAAAJ,-chjN0MAAAAJ,7PeekG0AAAAJ"
2015,"-chjN0MAAAAJ"
2015,"-chjN0MAAAAJ,UedS9LQAAAAJ"
2015,"-chjN0MAAAAJ"
2015,"-chjN0MAAAAJ"
2015,"-chjN0MAAAAJ"
2015,"-chjN0MAAAAJ"
2015,"-chjN0MAAAAJ"
2015,"-cL-RwUAAAAJ"
2015,"-cL-RwUAAAAJ"
2015,"-cL-RwUAAAAJ"
2015,"-cL-RwUAAAAJ"
2015,"-cL-RwUAAAAJ,F_Go4V4AAAAJ"
2015,"-cwEbxUAAAAJ,Dj3gptkAAAAJ"
2015,"-cwEbxUAAAAJ,qDkQrKwAAAAJ"
2015,"-cwEbxUAAAAJ"
2015,"-cwEbxUAAAAJ"
2015,"-cwEbxUAAAAJ"
2015,"-cwEbxUAAAAJ"
2015,"-cwEbxUAAAAJ,hJuusUEAAAAJ"
2015,"-cwEbxUAAAAJ,qDkQrKwAAAAJ"
2015,"-cwEbxUAAAAJ"
2015,"-cwEbxUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"LT0qxKwAAAAJ,-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"NK7srJYAAAAJ,-D2TBHUAAAAJ"
2015,"-D2TBHUAAAAJ"
2015,"bBf6Ff4AAAAJ,-D2TBHUAAAAJ"
2015,"-DEyRIgAAAAJ,izDottUAAAAJ"
2015,"-DEyRIgAAAAJ"
2015,"-DEyRIgAAAAJ,izDottUAAAAJ"
2015,"-DfTtxgAAAAJ,XrIr0nYAAAAJ,t_DFZvgAAAAJ"
2015,"-DfTtxgAAAAJ,XrIr0nYAAAAJ"
2015,"-DfTtxgAAAAJ,XrIr0nYAAAAJ"
2015,"-Dg42W8AAAAJ"
2015,"-Dg42W8AAAAJ"
2015,"-E5k6m4AAAAJ"
2015,"-E5k6m4AAAAJ,_pPy-pAAAAAJ"
2015,"-E5k6m4AAAAJ"
2015,"-E5k6m4AAAAJ"
2015,"-E5k6m4AAAAJ"
2015,"-E5k6m4AAAAJ"
2015,"-ERiTHkAAAAJ"
2015,"-ERiTHkAAAAJ"
2015,"-ERiTHkAAAAJ"
2015,"-EXWOU0AAAAJ"
2015,"-fxI3cUAAAAJ,qRAMJHgAAAAJ"
2015,"-fxI3cUAAAAJ,qRAMJHgAAAAJ"
2015,"-fxI3cUAAAAJ,qRAMJHgAAAAJ"
2015,"-GT5PAkAAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-had2Q8AAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-HwCwkAAAAAJ"
2015,"-iLn_XwAAAAJ"
2015,"-iLn_XwAAAAJ"
2015,"-IMW-w0AAAAJ"
2015,"-IMW-w0AAAAJ"
2015,"-IMW-w0AAAAJ,CZyWk8kAAAAJ"
2015,"-Jbd9DsAAAAJ"
2015,"-Jbd9DsAAAAJ,4UyniXYAAAAJ"
2015,"-jW6ADwAAAAJ"
2015,"-jW6ADwAAAAJ,hwc6A1MAAAAJ,vL6ubpMAAAAJ,hTyZBhMAAAAJ"
2015,"-jW6ADwAAAAJ,vL6ubpMAAAAJ"
