"year","coauthor_codes"
1977,"0,-HwCwkAAAAAJ"
1977,"0,-UyfaYEAAAAJ"
1977,"0,0,-UyfaYEAAAAJ"
1977,"0,0,0,-UyfaYEAAAAJ"
1977,"0,2,-UyfaYEAAAAJ"
1977,"0,0,-UyfaYEAAAAJ"
1977,"0,0,0,0,-UyfaYEAAAAJ"
1977,"0,0,-UyfaYEAAAAJ"
1977,"0,0,-UyfaYEAAAAJ"
1977,"0,0,-UyfaYEAAAAJ"
1977,"0,-UyfaYEAAAAJ"
1977,"2,0,0,-UyfaYEAAAAJ"
1977,"0,0,0,0,0,0,PqtYDZQAAAAJ,-UyfaYEAAAAJ"
1977,"0,0,0,-UyfaYEAAAAJ"
1977,"0,-UyfaYEAAAAJ"
1977,"-xOxPsUAAAAJ"
1977,"-YvgZDEAAAAJ,2,1"
1977,"0,2,05UuCNQAAAAJ"
1977,"0,0e8QmOMAAAAJ,0"
1977,"0e8QmOMAAAAJ,0"
1977,"0,0,0IrZEuIAAAAJ"
1977,"0,0,0IrZEuIAAAAJ"
1977,"0IrZEuIAAAAJ"
1977,"0,0IrZEuIAAAAJ"
1977,"0,0IrZEuIAAAAJ"
1977,"0skgDnMAAAAJ,1,1"
1977,"0XV1sFsAAAAJ"
1977,"0XV1sFsAAAAJ"
1977,"0XV1sFsAAAAJ"
1977,"0XV1sFsAAAAJ"
1977,"1jE4flwAAAAJ"
1977,"1jE4flwAAAAJ,0"
1977,"1NtRHc4AAAAJ"
1977,"2,0,1somGYUAAAAJ"
1977,"0,0,1somGYUAAAAJ"
1977,"0,1somGYUAAAAJ,0"
1977,"0,1somGYUAAAAJ,0"
1977,"0,0,1somGYUAAAAJ"
1977,"0,0,1somGYUAAAAJ"
1977,"1somGYUAAAAJ"
1977,"0,1somGYUAAAAJ"
1977,"0,1T3wsnsAAAAJ"
1977,"0,1UnT11UAAAAJ"
1977,"1UnT11UAAAAJ"
1977,"0,0,1UnT11UAAAAJ"
1977,"0,0,0,1wq5H9oAAAAJ"
1977,"1wq5H9oAAAAJ"
1977,"1z3mv7EAAAAJ,0,0"
1977,"1z3mv7EAAAAJ,0"
1977,"1z3mv7EAAAAJ,0"
1977,"0,1z3mv7EAAAAJ"
1977,"1z3mv7EAAAAJ,0"
1977,"2hg5lYIAAAAJ"
1977,"0,2LQimEIAAAAJ,0,0"
1977,"0,0,2LQimEIAAAAJ"
1977,"2LQimEIAAAAJ"
1977,"0,0,0,0,0,2,0,0,0,0,2,2LQimEIAAAAJ,0"
1977,"2SF6AXQAAAAJ,0,0,0"
1977,"0,2SF6AXQAAAAJ,2,0"
1977,"2SF6AXQAAAAJ,0"
1977,"2SF6AXQAAAAJ"
1977,"0,2SF6AXQAAAAJ,0,0"
1977,"2SF6AXQAAAAJ,0"
1977,"2SF6AXQAAAAJ,0,0"
1977,"2SF6AXQAAAAJ,2,0"
1977,"2SF6AXQAAAAJ"
1977,"2SF6AXQAAAAJ,2,0"
1977,"2SF6AXQAAAAJ,0,0,0,0"
1977,"2SF6AXQAAAAJ"
1977,"2SF6AXQAAAAJ,0,0"
1977,"2SF6AXQAAAAJ,0"
1977,"2SF6AXQAAAAJ,0"
1977,"2SF6AXQAAAAJ,0,2,0,0"
1977,"2SF6AXQAAAAJ,0,0,0,0"
1977,"0,0,2tT-FokAAAAJ,0"
1977,"2tT-FokAAAAJ"
1977,"1,3-gk0ioAAAAJ"
1977,"3-PRZG0AAAAJ"
1977,"3-PRZG0AAAAJ"
1977,"3XYmsKQAAAAJ"
1977,"1,3XYmsKQAAAAJ,1"
1977,"4LCdnkYAAAAJ,1"
1977,"4LCdnkYAAAAJ,1"
1977,"0,4OOz4DcAAAAJ,0,0"
1977,"0,0,4OOz4DcAAAAJ,0,0,0"
1977,"0,0,4OOz4DcAAAAJ,0,0"
1977,"0,0,0,4OOz4DcAAAAJ,0"
1977,"0,0,4OOz4DcAAAAJ,2"
1977,"0,0,4OOz4DcAAAAJ,0,0,0"
1977,"2,0,4OOz4DcAAAAJ,0,2,0"
1977,"0,4OOz4DcAAAAJ,0,0,0"
1977,"0,4OOz4DcAAAAJ,0,0,0"
