"year","Source","Target","s_dept","t_dept"
1982,213,3529,"BIO","BIO"
1982,216,2486,"BIO","BIO"
1982,216,2080,"BIO","BIO"
1982,279,3668,"BIO","CS"
1982,415,1870,"CS","CS"
1982,559,4060,"BIO","BIO"
1982,899,2584,"CS","BIO"
1982,899,1641,"CS","CS"
1982,913,1397,"CS","CS"
1982,942,3028,"CS","CS"
1982,805,1092,"CS","CS"
1982,1156,4018,"CS","BIO"
1982,1526,2639,"BIO","BIO"
1982,1644,2222,"BIO","BIO"
1982,1976,2935,"BIO","BIO"
1982,1080,2099,"BIO","BIO"
1982,716,2167,"BIO","BIO"
1982,2415,2892,"BIO","BIO"
1982,1379,2415,"BIO","BIO"
1982,1379,2892,"BIO","BIO"
1982,2444,2798,"BIO","CS"
1982,2546,3536,"CS","CS"
1982,2697,2729,"BIO","BIO"
1982,2702,2996,"CS","CS"
1982,3028,4171,"CS","CS"
1982,735,3073,"CS","CS"
1982,557,3370,"BIO","BIO"
1982,1508,4171,"CS","CS"
