"Source","Target"
1,1027
1,1945
4,2111
4,2284
631,2284
4,631
5,3070
6,3318
6,148
6,3635
7,2989
8,3882
11,1626
12,2651
12,1181
16,2206
17,1474
559,1474
17,559
17,3363
18,1482
19,1149
19,2822
19,1680
20,2233
20,2445
20,851
21,1866
22,3822
22,3318
3318,3822
24,4171
27,2876
33,1083
34,396
35,1737
35,3536
35,1724
1737,3536
1724,1737
1724,3536
37,437
37,355
37,2993
37,1153
1153,2993
3363,3851
42,3851
42,3363
42,549
549,664
664,837
42,664
549,837
42,837
43,2157
43,3255
43,587
2157,3255
587,2157
587,3255
43,508
44,3797
731,3797
44,731
44,3776
731,3776
46,3999
3143,3243
1028,3143
46,3143
1028,3243
46,3243
46,1028
49,3093
49,4082
50,2206
54,1944
56,2173
58,2032
63,3975
63,1092
63,1617
63,2696
1092,2696
64,2644
67,2222
2222,2923
67,2923
68,3393
70,3736
71,2077
71,974
73,1233
77,1181
3142,3386
77,3386
77,3142
1181,3142
80,279
80,2103
81,3588
82,530
85,2428
85,464
464,2428
85,1311
1311,2369
85,2369
87,3849
87,3365
872,3365
2008,3365
87,872
87,2008
872,2008
87,409
87,3790
2189,3790
87,2189
88,3861
91,3096
98,634
98,1713
100,1330
101,2501
101,1331
107,237
807,2169
107,2169
2169,4157
107,807
807,4157
107,4157
107,1632
2469,3738
107,2469
107,3738
113,679
114,3588
118,3323
118,3475
124,1782
128,2285
133,3531
133,2840
135,1895
1895,2472
135,2472
44,136
137,2843
140,1491
145,3384
146,2968
146,3624
147,2438
148,3635
148,1581
148,2580
1581,2580
150,2104
304,1720
150,304
304,2614
150,1720
1720,2614
150,2614
1720,2104
152,1854
153,2157
153,3255
153,587
153,1833
160,2841
162,920
163,1536
164,3149
174,2645
175,3393
68,175
177,945
179,3671
181,2189
184,3426
187,2218
187,627
194,1458
195,3030
198,2564
199,2626
202,2779
214,938
1442,2192
214,1442
214,2192
217,2952
217,2718
218,895
219,3448
220,3047
549,3047
220,549
2291,3047
220,2291
220,1807
220,1170
221,3426
225,2648
226,338
227,3816
230,4027
232,821
232,2661
233,911
235,1362
646,1362
235,646
753,1362
1362,3595
235,753
753,3595
235,3595
1362,2741
1362,4157
235,2741
2741,4157
235,4157
236,802
237,3184
237,1364
237,2330
2922,3960
2950,3960
238,3960
528,3960
2922,2950
238,2922
528,2922
238,2950
528,2950
238,528
239,1722
240,2080
240,434
240,1456
434,1456
248,1213
249,3160
249,3013
3013,3160
252,1007
256,684
684,1883
684,2370
256,1883
256,2370
1883,2370
256,1996
1883,1996
263,1953
263,644
266,1220
271,2692
2908,3568
271,3568
271,2908
271,3363
273,3689
274,1509
278,2797
2155,2797
278,2155
279,827
281,894
281,2963
282,3624
282,3228
283,998
900,998
283,900
287,1031
3505,4064
289,3505
3505,3749
289,4064
3749,4064
289,3749
289,4053
289,1221
1221,4053
290,842
292,3048
92,294
299,3920
299,2746
300,1796
3266,3790
3232,3266
403,3266
300,3266
3196,3266
3232,3790
403,3790
300,3790
3196,3790
403,3232
300,3232
3196,3232
300,403
403,3196
300,3196
304,2057
305,1134
305,513
307,1423
313,1522
315,786
318,2899
320,3953
321,2620
321,1561
333,2742
3668,3770
333,3770
333,3668
1973,4145
335,4145
335,1973
337,3872
338,1226
339,2112
339,666
339,3104
345,2473
350,1939
351,3369
352,3916
353,982
353,3938
353,1509
353,604
982,3938
982,1509
604,982
1509,3938
604,3938
604,1509
356,2080
358,2573
360,2093
363,3286
363,4123
383,969
366,383
366,969
368,1242
368,658
658,3788
368,3788
368,3700
3700,3788
369,3831
370,1051
370,3346
370,2628
1051,3346
1051,2628
2628,3346
374,3160
1939,3802
376,1939
376,3802
1939,3523
376,3523
1939,3330
1939,3295
376,3330
3295,3330
3330,3523
376,3295
3295,3523
379,1458
1432,1653
381,1432
1092,1432
381,1653
1092,1653
381,1092
381,3050
1092,3050
381,2643
381,2696
63,381
382,4183
382,3554
164,383
383,2008
384,1984
385,2392
385,4165
385,854
854,2392
385,2825
1420,3475
389,1420
1420,3107
389,3475
3107,3475
389,3107
389,412
393,2258
399,1345
399,2201
399,1652
1652,2201
399,1442
1442,2533
1442,2201
1442,1652
399,2533
2201,2533
1652,2533
401,3786
133,407
407,2426
1498,3211
408,3211
408,1498
408,4087
408,3095
1220,1599
409,1220
409,1599
409,3849
415,1870
418,3067
3387,3823
737,3823
3173,3823
419,3823
737,3387
3173,3387
419,3387
737,3173
419,737
419,3173
420,1150
422,2061
422,429
429,2061
426,499
426,1825
426,3716
1541,1825
426,1541
426,3225
870,3537
430,3537
430,870
433,1293
436,3624
438,2367
439,1965
439,786
439,2991
786,2991
442,2020
2020,3215
442,3215
445,1655
446,2518
448,1008
450,1228
453,2760
453,2635
453,2744
453,3731
453,1378
1378,3731
2483,2509
455,2483
455,2509
455,1184
456,3561
458,3352
459,3345
464,3246
2428,3246
466,3638
469,3662
472,3928
473,1091
478,1511
484,646
484,3504
485,2627
486,2774
493,1515
493,2446
493,1888
1888,2446
493,3861
1888,3861
495,4126
495,1050
496,2700
499,585
499,3789
500,3369
500,3745
503,1162
505,954
1747,3893
513,3893
513,1747
513,4134
516,2232
516,1676
1676,2214
516,2214
517,3387
520,2875
520,1509
522,1944
523,843
843,2294
523,2294
526,1623
528,2112
1341,2922
2922,3160
528,1341
1341,3160
528,3160
528,1103
532,747
533,954
534,4114
535,2252
535,3668
542,651
543,2379
545,1810
546,1587
546,2646
546,4015
546,3241
1587,3241
547,1819
548,721
549,1277
549,2477
2147,2477
549,2147
458,550
551,1328
553,2894
558,2232
585,2796
585,3176
558,585
585,3814
585,2232
585,3363
2796,3176
558,2796
2796,3814
2232,2796
2796,3363
558,3176
3176,3814
2232,3176
3176,3363
558,3814
558,3363
2232,3814
3363,3814
2232,3363
559,956
559,1392
560,2748
