"Source","Target"
2,2445
737,1917
4,1917
4,737
6,2931
7,2989
8,1480
12,1118
1118,3641
12,3641
12,2651
17,3291
19,293
293,3611
19,3611
24,1427
24,2835
2835,3777
24,3777
27,2876
28,2815
31,1531
32,129
32,3216
977,1010
977,2922
32,977
528,977
1010,2922
32,1010
528,1010
32,2922
528,2922
32,528
33,1083
33,3292
33,353
33,974
353,3292
1083,3292
974,3292
353,1083
353,974
974,1083
35,480
39,2435
42,3851
585,1961
585,1485
585,3851
42,585
1485,1961
1961,3851
42,1961
1485,3851
42,1485
43,1975
44,1036
47,4137
56,2173
58,159
58,253
58,413
60,453
453,3871
60,3871
453,3422
60,3422
3422,3871
60,2602
63,1092
63,463
63,4062
65,1549
49,70
73,1233
2178,2461
2178,3170
2178,3809
76,2178
2461,3170
2461,3809
76,2461
3170,3809
76,3170
76,3809
3492,3791
2178,3791
2461,3791
3791,3809
76,3791
623,3791
2178,3492
2461,3492
3492,3809
76,3492
623,3492
623,2178
623,2461
623,3809
76,623
80,2419
80,2380
2380,2419
82,3019
2252,2628
82,2252
2252,2764
82,2628
2628,2764
82,2764
83,1977
84,1961
85,3448
87,3849
87,872
87,1592
87,772
772,1592
87,3095
87,2008
872,2008
87,3365
872,3365
751,3365
87,751
751,872
87,2189
88,3861
88,913
89,4125
92,2364
95,2208
95,1438
97,3968
101,1196
101,2501
101,1331
105,1143
107,1220
107,2741
109,2504
114,2078
114,338
118,4182
120,2440
120,2366
121,936
124,1354
124,1118
124,1782
128,2285
136,2868
181,2868
136,181
137,2173
137,2843
138,4048
139,897
139,1418
140,1491
141,156
143,1015
144,370
147,2438
1400,3853
147,3853
147,1400
148,2709
149,598
149,3967
152,1965
152,2186
153,3265
153,2840
156,3144
156,3064
786,3064
156,786
158,850
161,3144
162,2919
162,2382
162,1719
163,2472
167,1337
172,3026
174,493
174,1371
177,945
181,731
185,2214
187,627
189,2000
199,2333
777,3928
202,777
777,2625
777,3997
202,3928
2625,3928
3928,3997
202,2625
202,3997
2625,3997
203,3673
205,228
206,3579
212,1961
769,2252
213,2252
213,769
214,1941
219,822
219,755
755,3974
219,3974
220,1300
220,1478
220,3047
221,3426
225,2648
229,644
231,2898
231,984
984,2898
232,1463
232,426
1362,3262
3262,3765
235,3262
3262,3822
2077,3262
859,3262
1318,3262
71,3262
