"FacultyI","FacultyJ","XDIndicator"
"-cL-RwUAAAAJ","-Dg42W8AAAAJ",0
"-cwEbxUAAAAJ","TkayRqQAAAAJ",1
"-cwEbxUAAAAJ","TkayRqQAAAAJ",1
"-D2TBHUAAAAJ","ujDhg2sAAAAJ",2
"-D2TBHUAAAAJ","ujDhg2sAAAAJ",2
"-DEyRIgAAAAJ","-had2Q8AAAAJ",0
"-GT5PAkAAAAJ","2OJOZTUAAAAJ",1
"-HwCwkAAAAAJ","sXpY0CUAAAAJ",0
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-PWcE1YAAAAJ","pZhZndYAAAAJ",1
"-spRnaQAAAAJ","hHKC6FEAAAAJ",1
"-spRnaQAAAAJ","hHKC6FEAAAAJ",1
"-teHhxwAAAAJ","0cq9zpQAAAAJ",0
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-YvgZDEAAAAJ","MTZaRW4AAAAJ",1
"0-hcsnoAAAAJ","PWp9YUUAAAAJ",0
"008lr2cAAAAJ","UA3tyKwAAAAJ",1
"008lr2cAAAAJ","PogsVkYAAAAJ",1
"008lr2cAAAAJ","PogsVkYAAAAJ",1
"008lr2cAAAAJ","PogsVkYAAAAJ",1
"008lr2cAAAAJ","PogsVkYAAAAJ",1
"008lr2cAAAAJ","PogsVkYAAAAJ",1
"00M1AqQAAAAJ","xdGKgtcAAAAJ",1
"00M1AqQAAAAJ","04TuVhEAAAAJ",1
"00M1AqQAAAAJ","98iA_ooAAAAJ",1
"00M1AqQAAAAJ","xdGKgtcAAAAJ",1
"00M1AqQAAAAJ","0zrqo3B-66wC",1
"00M1AqQAAAAJ","0zrqo3B-66wC",1
"01EOkNEAAAAJ","z2foFg4AAAAJ",0
"02nHF0gAAAAJ","m1qAiOUAAAAJ",1
"02_kT4YAAAAJ","6Ff2c8wAAAAJ",1
"04TuVhEAAAAJ","00M1AqQAAAAJ",1
"04TuVhEAAAAJ","98iA_ooAAAAJ",1
"05UuCNQAAAAJ","m4NpPpcAAAAJ",0
"05UuCNQAAAAJ","whhr40wAAAAJ",0
"05UuCNQAAAAJ","wQzELzEAAAAJ",0
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"0cq9zpQAAAAJ","R2isddoAAAAJ",0
"0cq9zpQAAAAJ","ci2F0o8AAAAJ",0
"0cq9zpQAAAAJ","ci2F0o8AAAAJ",0
"0LS98DEAAAAJ","LjP106QAAAAJ",1
"0LS98DEAAAAJ","LjP106QAAAAJ",1
"0uj4niwAAAAJ","5nkhrpUAAAAJ",0
"0VFi-vAAAAAJ","tu39-p8AAAAJ",1
"0VFi-vAAAAAJ","nXBQn7gAAAAJ",1
"0VFi-vAAAAAJ","fUTN90MAAAAJ",1
"0VFi-vAAAAAJ","tu39-p8AAAAJ",1
"0VFi-vAAAAAJ","nXBQn7gAAAAJ",1
"0XV1sFsAAAAJ","GRGOG1AAAAAJ",1
"0XV1sFsAAAAJ","AQ6AppgAAAAJ",1
"0XV1sFsAAAAJ","AQ6AppgAAAAJ",1
"0y6JDD4AAAAJ","YxGHbuMAAAAJ",1
"0y6JDD4AAAAJ","YxGHbuMAAAAJ",1
"0zZnyMEAAAAJ","d97bGd8AAAAJ",1
"11NcM2EAAAAJ","LiAGLcwAAAAJ",1
"11NcM2EAAAAJ","LiAGLcwAAAAJ",1
"19kNRU0AAAAJ","ovlpa_IAAAAJ",1
