"Source","Target"
1508,1778
1216,3188
557,3370
1283,2062
591,2214
591,1667
1667,2214
1630,2481
216,1234
261,3496
382,2313
470,3864
1240,1956
1251,3371
2170,2996
3322,3909
203,411
834,1778
859,1558
1402,3570
390,4051
57,2729
1495,3423
2059,3981
66,3168
216,2080
798,1778
1153,3631
1251,2581
1956,3763
1080,2099
2415,3868
2827,3545
3534,3879
415,1870
530,3411
1508,4171
1596,1814
2276,4174
2422,2864
3028,4171
798,3530
849,3410
1250,3385
411,1335
1644,2222
1645,3819
1667,4171
2702,2996
2217,2948
3492,3570
216,2486
452,4146
494,1209
627,716
847,2244
1156,4018
1712,3533
2434,3933
2546,3536
2697,2729
848,2750
1845,2798
2808,2928
1976,2935
735,3073
812,3381
3042,3737
213,3529
279,3668
559,4060
899,2584
899,1641
913,1397
942,3028
805,1092
1526,2639
716,2167
2415,2892
1379,2415
1379,2892
2444,2798
83,3456
106,1558
174,2170
371,1999
378,3168
550,3668
728,3025
765,3853
798,3467
804,2486
1060,3350
1060,1234
1234,3350
1283,2330
1322,1455
1219,1574
1814,3028
83,1904
1990,4187
475,2267
2330,3422
1219,2683
1402,3310
3669,4060
2879,3875
500,4122
141,1577
179,627
213,2915
223,2270
470,3235
831,1338
847,3718
392,891
1043,1802
1255,3089
1449,2333
1178,1455
1549,3711
1574,4116
1604,2381
2245,2486
804,2245
399,2550
2596,3168
2640,4069
1574,2683
2699,3352
2833,3700
1396,3056
3273,3800
3273,3442
3442,3800
3661,3862
34,2363
348,3320
498,2119
533,2444
590,1856
702,2296
1739,2486
804,1739
847,2434
1098,1960
834,1694
1721,2217
1754,3262
1844,2898
2415,2486
2608,2837
2948,4018
3042,3593
2170,3304
2596,3512
2330,3826
108,804
143,699
216,817
228,1787
268,2032
379,3429
505,533
550,2412
606,3014
708,3944
942,3574
966,2640
1043,3582
1092,3944
1177,3062
1215,2609
1273,3235
470,1273
1322,1667
500,1596
1634,2332
1911,3869
2032,2244
2109,2799
2170,3921
2412,3352
550,3352
2550,2798
3352,3731
2412,3731
2699,3731
2412,2699
2715,3765
2760,3422
2834,2937
1283,3066
3153,3351
550,3731
3596,3944
3270,3796
4039,4171
245,1417
308,3547
389,628
513,1227
537,3530
686,1083
889,1515
1178,2236
401,1295
1549,3317
1568,3098
1634,2951
1826,3076
1838,3771
1969,3426
231,1982
3028,3481
2059,3028
2059,3481
2105,2486
2131,3425
1322,2163
2105,2245
2596,4030
3168,4030
2613,2680
3352,3668
3668,3731
2699,3668
2753,3062
2767,3996
2907,3439
1855,2917
1113,3014
529,3325
3422,3783
1723,3504
1953,3533
18,3722
3122,3985
23,1263
216,2876
237,3422
339,2120
378,1694
380,3422
411,2746
500,1947
533,1611
597,1219
628,3299
705,2631
728,2834
735,1761
740,1492
804,1289
812,2760
834,2596
847,2214
860,1923
966,4069
996,3755
2252,3582
1043,2252
1117,1751
1125,3957
1240,3299
1322,3545
1405,2760
