"t_pubs_citations","SchoolRank","h_index","t_deflated_nsf","num_nsf","t_deflated_nih","num_nih","PRCentrality","BetCentrality","KDirect","Chi","XDIndicator","Y05yr"
8068,8,26,0,1,0,0,0.000136425226888916,405.359344260531,5,0.12280701754386,"CS",2000
818,14,13,0,0,0,0,0.000148133392163329,1763.09609556233,4,0.263157894736842,"BIO",2005
127,13,6,0,0,0,0,6.454881519105e-05,0,1,0.0526315789473684,"CS",2005
4806,19,31,537870,4,0,0,0.000349979424459592,9305.64228424578,11,0.0824372759856631,"BIO",2005
6428,55,41,1335122,3,0,0,0.000180780168085467,3325.85740132487,4,0.0852272727272727,"XD",1985
827,15,14,198949,1,0,0,0.000144515721541406,1330.45176772445,5,0.176470588235294,"CS",2005
1966,55,22,1483015,4,0,0,0.000157434741092753,168.156754204624,3,0.125,"BIO",2000
3671,55,29,4949122,10,0,0,0.00033297078122025,1728.21913939611,10,0.126984126984127,"BIO",1995
3371,55,22,355573,1,0,0,0,0,0,0.164179104477612,"BIO",1995
314,34,11,0,0,0,0,0.000101403034175381,0,1,0.0727272727272727,"BIO",2000
7015,14,38,11937630,26,4332771,15,0.000247219249336022,3893.23543503654,3,0.140845070422535,"BIO",1985
21125,6,57,0,0,0,0,0.000408068364538418,8427.60784349499,17,0.138888888888889,"CS",1990
776,50,16,1196310,4,0,0,9.85579336386076e-05,68.3116255989576,2,0.104477611940299,"BIO",1995
640,34,17,1071970,3,0,0,0,0,0,0.0333333333333333,"BIO",1995
4748,55,38,288966,6,0,0,0.000405930399629219,7761.21352140092,12,0.115909090909091,"BIO",1985
1053,34,16,0,0,0,0,8.21241987347376e-05,0,1,0.192982456140351,"BIO",2005
2534,9,25,887879,4,0,0,0.000174643699453509,8478.6286547904,5,0.0757575757575758,"XD",2000
2602,68,30,4844044,12,0,0,0.000216637405411749,4379.31741474433,5,0.149606299212598,"XD",1980
1546,40,21,0,0,1959621,9,0.000392553384428654,7007.55063937902,12,0.720930232558139,"XD",1995
2663,15,27,3317157,4,4218237,13,0.000450550202306633,5713.29685850044,19,0.571428571428571,"XD",2000
2025,55,16,414093,1,0,0,0.000203222742701186,4009.53065726551,4,0.144578313253012,"BIO",1995
787,40,13,514302,2,0,0,0.000906929937615771,98999.1666724082,38,0.525735294117647,"XD",1995
3435,68,35,862672,4,0,0,0.000270069215995519,3610.05429682912,6,0.032967032967033,"BIO",1980
2674,15,28,2958105,8,0,0,0.000224281656172984,2222.04068655594,9,0.0852713178294574,"CS",2000
627,55,11,0,1,0,0,0,0,0,0.166666666666667,"BIO",2005
1589,40,27,0,0,0,0,7.48205842119564e-05,0,1,0.09,"CS",1965
9864,19,28,0,0,0,0,0.000286365700087531,6479.89192270434,7,0.405857740585774,"XD",2000
4558,70,41,627432,2,0,0,0.000148910048429162,1651.71091258799,4,0.10077519379845,"CS",1980
560,50,12,0,0,0,0,0,0,0,0,"BIO",1990
20233,4,86,0,0,26377992,87,0.000486529822154596,21103.4695553719,15,0.138783269961977,"BIO",1980
16915,55,70,2347501,12,0,0,0.000327772917947132,10315.2840949667,8,0.0677966101694915,"BIO",1970
7140,1,39,2480024,12,0,0,0.000624029631499981,26067.4863515211,21,0.292553191489362,"XD",1995
5198,40,39,1908621,7,0,0,0.00026193016845659,1023.58725023961,11,0.301369863013699,"XD",1995
2838,70,27,10606918,23,0,0,0.000248336779880713,5545.31036645517,7,0.105691056910569,"CS",1985
2371,29,23,0,0,0,0,0.000285642308824305,718.15534221207,11,0.0751445086705202,"CS",1995
998,7,12,0,0,0,1,0,0,0,0.0869565217391304,"BIO",2000
7647,1,39,0,0,6807823,18,0.000274830520132685,6843.22070457847,7,0.18019801980198,"XD",2000
3561,26,33,603957,1,0,0,7.50945594609569e-05,0,1,0.149253731343284,"BIO",1985
8499,56,45,10586467,21,0,0,0.000371460656039008,14708.9823172656,11,0.0968523002421307,"CS",1980
3758,1,31,1266207,9,152252,7,0.000183172396890286,4880.3205403846,4,0.136363636363636,"XD",1980
1440,20,19,0,1,0,0,0.000134842317583862,317.600477693832,5,0.0517241379310345,"CS",2005
26750,50,78,7436716,7,21291013,37,0.000691289585957545,30196.7825391384,29,0.45218945487042,"XD",1990
8884,19,53,4157534,7,0,0,0.000309828178380684,5498.93975070315,10,0.219330855018587,"XD",1990
22233,48,66,2173016,4,0,0,0.000588433140852848,8579.13959997768,29,0.0340909090909091,"CS",1990
6531,50,44,5876135,24,0,0,0.000277294241363267,6746.82643700589,7,0.156133828996283,"BIO",1990
8246,6,42,3484325,5,0,0,0.000240397923492446,3587.74362893782,10,0.139393939393939,"CS",1995
168,34,4,0,0,0,0,6.69509591288483e-05,0,1,0.125,"BIO",2010
2365,14,13,0,0,1886949,7,0,0,0,0.09375,"BIO",1995
2627,26,25,2043022,8,0,0,0.000502611277671606,25605.2047180752,13,0.425,"XD",2000
1508,55,23,1282592,3,2437544,7,0.000138994013513613,345.190347540624,3,0.162790697674419,"BIO",1995
1690,25,24,2404620,8,0,0,0.000153589653094422,256.950766662837,5,0.126582278481013,"CS",2000
303,70,10,0,0,0,0,0.000206571464921536,889.011413159286,8,0.161764705882353,"CS",1990
373,19,8,0,0,0,0,0,0,0,0.15,"BIO",2005
5353,60,36,9018131,10,0,0,0.000230792428571614,2084.58923337385,8,0.149425287356322,"CS",1990
13506,26,65,514817,3,7189302,26,0.000278116850031723,8376.64592691311,8,0.0991735537190083,"XD",1980
483,19,10,0,0,0,0,0.000119307676752784,26.9949903307428,3,0.0227272727272727,"BIO",2005
68534,1,144,0,0,6005167,18,0.000311391057262302,3698.30657854509,9,0.0751043115438109,"BIO",1955
