"google_id","year","citations","coauthor_codes","FXD"
"--nVNvIAAAAJ",2014,9,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2010,44,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2004,286,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2015,8,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2010,5,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2006,418,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2014,15,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2009,1273,"--nVNvIAAAAJ,VuvKPiQAAAAJ","CS"
"--nVNvIAAAAJ",2014,13,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2015,29,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2002,20,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2013,41,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2013,1,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2005,159,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2013,63,"--nVNvIAAAAJ,VuvKPiQAAAAJ","CS"
"--nVNvIAAAAJ",2014,32,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2006,12,"--nVNvIAAAAJ,a1ngrCIAAAAJ","CS"
"--nVNvIAAAAJ",2015,10,"--nVNvIAAAAJ,cLb-v7gAAAAJ","CS"
"--nVNvIAAAAJ",2015,1,"jLEgvnsAAAAJ,--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2006,117,"--nVNvIAAAAJ,VuvKPiQAAAAJ","CS"
"--nVNvIAAAAJ",2014,8,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2007,330,"--nVNvIAAAAJ,VuvKPiQAAAAJ","CS"
"--nVNvIAAAAJ",2012,38,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2004,28,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2006,62,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2008,151,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2004,781,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2002,3079,"--nVNvIAAAAJ,in6eBIwAAAAJ","CS"
"--nVNvIAAAAJ",2007,288,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2003,43,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2006,23,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2006,45,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2008,59,"--nVNvIAAAAJ,VuvKPiQAAAAJ","CS"
"--nVNvIAAAAJ",2013,208,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2009,337,"--nVNvIAAAAJ","CS"
"--nVNvIAAAAJ",2008,29,"--nVNvIAAAAJ","CS"
"-0CQuX8AAAAJ",2013,30,"-0CQuX8AAAAJ","BIO"
"-0CQuX8AAAAJ",2011,19,"wKoaJ-4AAAAJ,-0CQuX8AAAAJ","BIO"
"-0CQuX8AAAAJ",2014,30,"Lk38PP0AAAAJ,-0CQuX8AAAAJ","BIO"
"-0CQuX8AAAAJ",2014,15,"-0CQuX8AAAAJ,a7LHl00AAAAJ","BIO"
"-0CQuX8AAAAJ",2009,168,"NK7srJYAAAAJ,-0CQuX8AAAAJ","BIO"
"-0CQuX8AAAAJ",2009,47,"-0CQuX8AAAAJ","BIO"
"-0CQuX8AAAAJ",2015,9,"-0CQuX8AAAAJ","BIO"
