"year","Source","Target","s_dept","t_dept"
1981,216,2486,"BIO","BIO"
1981,216,2486,"BIO","BIO"
1981,415,1870,"CS","CS"
1981,452,4146,"CS","CS"
1981,494,1209,"BIO","BIO"
1981,627,716,"BIO","BIO"
1981,847,2244,"CS","CS"
1981,1156,4018,"CS","BIO"
1981,494,1209,"BIO","BIO"
1981,411,1335,"BIO","BIO"
1981,1644,2222,"BIO","BIO"
1981,1712,3533,"CS","CS"
1981,415,1870,"CS","CS"
1981,1956,3763,"BIO","BIO"
1981,1956,3763,"BIO","BIO"
1981,1644,2222,"BIO","BIO"
1981,2276,4174,"BIO","BIO"
1981,2434,3933,"CS","CS"
1981,216,2486,"BIO","BIO"
1981,2546,3536,"CS","CS"
1981,2546,3536,"CS","CS"
1981,2546,3536,"CS","CS"
1981,2697,2729,"BIO","BIO"
1981,848,2750,"CS","CS"
1981,1845,2798,"BIO","CS"
1981,2808,2928,"BIO","BIO"
1981,2808,2928,"BIO","BIO"
1981,2827,3545,"CS","CS"
1981,2808,2928,"BIO","BIO"
1981,2808,2928,"BIO","BIO"
1981,1976,2935,"BIO","BIO"
1981,3028,4171,"CS","CS"
1981,3028,4171,"CS","CS"
1981,735,3073,"CS","CS"
1981,557,3370,"BIO","BIO"
1981,812,3381,"CS","CS"
1981,2546,3536,"CS","CS"
1981,2546,3536,"CS","CS"
1981,2546,3536,"CS","CS"
1981,2827,3545,"CS","CS"
1981,3042,3737,"BIO","BIO"
1981,1956,3763,"BIO","BIO"
1981,1956,3763,"BIO","BIO"
1981,2434,3933,"CS","CS"
1981,1156,4018,"CS","BIO"
1981,452,4146,"CS","CS"
1981,3028,4171,"CS","CS"
1981,3028,4171,"CS","CS"
1981,3028,4171,"CS","CS"
1981,2276,4174,"BIO","BIO"
