"year","coauthor_codes"
2001,"-cL-RwUAAAAJ,-Dg42W8AAAAJ"
2001,"TkayRqQAAAAJ,-cwEbxUAAAAJ"
2001,"TkayRqQAAAAJ,-cwEbxUAAAAJ"
2001,"ujDhg2sAAAAJ,-D2TBHUAAAAJ"
2001,"ujDhg2sAAAAJ,-D2TBHUAAAAJ"
2001,"-DEyRIgAAAAJ,-had2Q8AAAAJ"
2001,"2OJOZTUAAAAJ,-GT5PAkAAAAJ"
2001,"sXpY0CUAAAAJ,-HwCwkAAAAAJ"
2001,"dShqnssAAAAJ,-m5wrTkAAAAJ"
2001,"dShqnssAAAAJ,-m5wrTkAAAAJ"
2001,"-PWcE1YAAAAJ,pZhZndYAAAAJ"
2001,"-spRnaQAAAAJ,hHKC6FEAAAAJ"
2001,"-spRnaQAAAAJ,hHKC6FEAAAAJ"
2001,"-teHhxwAAAAJ,0cq9zpQAAAAJ"
2001,"neO3vFYAAAAJ,-yrzguMAAAAJ"
2001,"neO3vFYAAAAJ,-yrzguMAAAAJ"
2001,"neO3vFYAAAAJ,-yrzguMAAAAJ"
2001,"-YvgZDEAAAAJ,MTZaRW4AAAAJ"
2001,"PWp9YUUAAAAJ,0-hcsnoAAAAJ"
2001,"UA3tyKwAAAAJ,PogsVkYAAAAJ,008lr2cAAAAJ"
2001,"PogsVkYAAAAJ,008lr2cAAAAJ"
2001,"PogsVkYAAAAJ,008lr2cAAAAJ"
2001,"PogsVkYAAAAJ,008lr2cAAAAJ"
2001,"PogsVkYAAAAJ,008lr2cAAAAJ"
2001,"xdGKgtcAAAAJ,00M1AqQAAAAJ"
2001,"04TuVhEAAAAJ,00M1AqQAAAAJ,98iA_ooAAAAJ"
2001,"xdGKgtcAAAAJ,00M1AqQAAAAJ"
2001,"0zrqo3B-66wC,00M1AqQAAAAJ"
2001,"0zrqo3B-66wC,00M1AqQAAAAJ"
2001,"z2foFg4AAAAJ,01EOkNEAAAAJ"
2001,"02nHF0gAAAAJ,m1qAiOUAAAAJ"
2001,"6Ff2c8wAAAAJ,02_kT4YAAAAJ"
2001,"04TuVhEAAAAJ,00M1AqQAAAAJ,98iA_ooAAAAJ"
2001,"05UuCNQAAAAJ,m4NpPpcAAAAJ"
2001,"whhr40wAAAAJ,05UuCNQAAAAJ"
2001,"wQzELzEAAAAJ,05UuCNQAAAAJ"
2001,"07ds-DAAAAAJ,xYfYnG4AAAAJ"
2001,"R2isddoAAAAJ,0cq9zpQAAAAJ"
2001,"ci2F0o8AAAAJ,0cq9zpQAAAAJ"
2001,"ci2F0o8AAAAJ,0cq9zpQAAAAJ"
2001,"LjP106QAAAAJ,0LS98DEAAAAJ"
2001,"LjP106QAAAAJ,0LS98DEAAAAJ"
2001,"0uj4niwAAAAJ,5nkhrpUAAAAJ"
2001,"0VFi-vAAAAAJ,tu39-p8AAAAJ,nXBQn7gAAAAJ"
2001,"0VFi-vAAAAAJ,fUTN90MAAAAJ"
2001,"0VFi-vAAAAAJ,tu39-p8AAAAJ,nXBQn7gAAAAJ"
2001,"GRGOG1AAAAAJ,0XV1sFsAAAAJ,AQ6AppgAAAAJ"
2001,"0XV1sFsAAAAJ,AQ6AppgAAAAJ"
2001,"YxGHbuMAAAAJ,0y6JDD4AAAAJ"
2001,"YxGHbuMAAAAJ,0y6JDD4AAAAJ"
2001,"d97bGd8AAAAJ,0zZnyMEAAAAJ"
2001,"11NcM2EAAAAJ,LiAGLcwAAAAJ"
2001,"11NcM2EAAAAJ,LiAGLcwAAAAJ"
2001,"ovlpa_IAAAAJ,5bxyMBwAAAAJ,19kNRU0AAAAJ"
2001,"ovlpa_IAAAAJ,19kNRU0AAAAJ"
2001,"ovlpa_IAAAAJ,19kNRU0AAAAJ"
2001,"BD8llAEAAAAJ,1CR0meYAAAAJ"
2001,"BD8llAEAAAAJ,1CR0meYAAAAJ"
2001,"5LsAK74AAAAJ,1CtZnTMAAAAJ"
2001,"fkGi-JMAAAAJ,woqUivYAAAAJ,1KRXBIwAAAAJ"
2001,"S02AuR4AAAAJ,1LG-V8EAAAAJ"
2001,"1nr7TU0AAAAJ,SJ7rKLoAAAAJ"
2001,"1nr7TU0AAAAJ,otivCBQAAAAJ"
2001,"2-jY1SQAAAAJ,CTXoO1AAAAAJ"
2001,"2-jY1SQAAAAJ,yx0wJlIAAAAJ"
2001,"2Ay8qC4AAAAJ,Ok_HjPUAAAAJ,UyIBJikAAAAJ"
2001,"2Bc3UN4AAAAJ,LQ87h3sAAAAJ"
2001,"2Bc3UN4AAAAJ,LQ87h3sAAAAJ"
2001,"2Bc3UN4AAAAJ,qYcG-q0AAAAJ"
2001,"2Bc3UN4AAAAJ,LQ87h3sAAAAJ"
2001,"2Bc3UN4AAAAJ,qYcG-q0AAAAJ"
2001,"wCfYkMkAAAAJ,2eM6GocAAAAJ"
2001,"2ewb-10AAAAJ,wQdo-bMAAAAJ"
2001,"2ewb-10AAAAJ,wQdo-bMAAAAJ"
2001,"2ewb-10AAAAJ,wQdo-bMAAAAJ"
2001,"2ewb-10AAAAJ,wQdo-bMAAAAJ"
2001,"2FbkAzYAAAAJ,jM1cT4QAAAAJ,gJkhFkgAAAAJ"
2001,"2FbkAzYAAAAJ,qnwjcfAAAAAJ"
2001,"CUO0vDcAAAAJ,2ftJYXMAAAAJ"
2001,"bsROXv0AAAAJ,2HR9-igAAAAJ"
2001,"bsROXv0AAAAJ,2HR9-igAAAAJ"
2001,"2kXsgI4AAAAJ,sc9YppcAAAAJ"
2001,"2kXsgI4AAAAJ,zD5ZfacAAAAJ"
2001,"2kXsgI4AAAAJ,sc9YppcAAAAJ"
2001,"JWXlepgAAAAJ,2kXsgI4AAAAJ"
2001,"2kXsgI4AAAAJ,zD5ZfacAAAAJ"
2001,"2kXsgI4AAAAJ,sc9YppcAAAAJ"
2001,"UmwJklEAAAAJ,2mjUsP8AAAAJ"
2001,"L1pb8GUAAAAJ,2mjUsP8AAAAJ"
2001,"N9f43xoAAAAJ,2nGk3QQAAAAJ"
2001,"2OJOZTUAAAAJ,tpoh43QAAAAJ"
2001,"2oSSsLYAAAAJ,OUS_bT8AAAAJ"
2001,"2oSSsLYAAAAJ,OUS_bT8AAAAJ"
2001,"yxUduqMAAAAJ,2oy3OXYAAAAJ"
2001,"8mHLyRoAAAAJ,2pW1g5IAAAAJ"
2001,"2pW1g5IAAAAJ,gUEkPQEAAAAJ"
2001,"2pW1g5IAAAAJ,gUEkPQEAAAAJ"
2001,"2pW1g5IAAAAJ,gUEkPQEAAAAJ"
2001,"2pW1g5IAAAAJ,gUEkPQEAAAAJ"
2001,"jQNt6RwAAAAJ,2PxFftgAAAAJ"
2001,"xe0eVksAAAAJ,2s9_ZWgAAAAJ"
2001,"xe0eVksAAAAJ,2s9_ZWgAAAAJ"
2001,"xe0eVksAAAAJ,2s9_ZWgAAAAJ,L7jhqMIAAAAJ"
2001,"UNxLPX8AAAAJ,2s9_ZWgAAAAJ"
2001,"WHOHV3AAAAAJ,2s9_ZWgAAAAJ"
2001,"QH90248AAAAJ,2s9_ZWgAAAAJ,pdpOwtkAAAAJ"
2001,"4q6YakgAAAAJ,2SXzngsAAAAJ,blg0nusAAAAJ"
2001,"4q6YakgAAAAJ,2SXzngsAAAAJ,blg0nusAAAAJ"
2001,"2vQRGrYAAAAJ,in6eBIwAAAAJ"
2001,"2vQRGrYAAAAJ,in6eBIwAAAAJ"
2001,"2vQRGrYAAAAJ,in6eBIwAAAAJ"
2001,"2vQRGrYAAAAJ,ZnT-QpMAAAAJ"
2001,"tRerdSIAAAAJ,fIoDWp8AAAAJ,3-PRZG0AAAAJ"
2001,"jevPwGEAAAAJ,3-PRZG0AAAAJ"
2001,"3EbevY4AAAAJ,jevPwGEAAAAJ,3-PRZG0AAAAJ"
2001,"jevPwGEAAAAJ,3-PRZG0AAAAJ"
2001,"SKVnHakAAAAJ,30fyS8EAAAAJ"
2001,"35uGc_MAAAAJ,95xNBicAAAAJ"
2001,"XGiiygQAAAAJ,37frPb8AAAAJ,qLuAbhMAAAAJ"
2001,"gqB23VMAAAAJ,XGiiygQAAAAJ,37frPb8AAAAJ,qLuAbhMAAAAJ"
2001,"398l2V8AAAAJ,UYnvOrsAAAAJ"
2001,"wCfYkMkAAAAJ,3lB8Y8kAAAAJ,7BM1uyYAAAAJ"
2001,"zCO_h3cAAAAJ,3oyf5I4AAAAJ"
2001,"J8YyZugAAAAJ,3pZs3j0AAAAJ"
2001,"VDMARucAAAAJ,3X9nW80AAAAJ"
2001,"UmwJklEAAAAJ,3XYmsKQAAAAJ"
2001,"UmwJklEAAAAJ,3XYmsKQAAAAJ"
2001,"fkGi-JMAAAAJ,gqB23VMAAAAJ,3yPEc4YAAAAJ"
2001,"3_WYcR4AAAAJ,cbTB5-EAAAAJ,ZTkRs84AAAAJ"
2001,"3_WYcR4AAAAJ,o5YQMkMAAAAJ"
2001,"3_WYcR4AAAAJ,o5YQMkMAAAAJ"
2001,"3_WYcR4AAAAJ,ZTkRs84AAAAJ"
