"year","coauthor_codes"
1999,"0,0,2,0,-0ppt6oAAAAJ"
1999,"0,0,0,0,-0ppt6oAAAAJ"
1999,"0,-0ppt6oAAAAJ"
1999,"0,0,2,-0ppt6oAAAAJ"
1999,"0,0,0,-0ppt6oAAAAJ"
1999,"0,-5DNOLIAAAAJ,2"
1999,"2,-5DNOLIAAAAJ,2,0"
1999,"0,0,-5ZxgGsAAAAJ"
1999,"0,0,-5ZxgGsAAAAJ,0"
1999,"0,-5ZxgGsAAAAJ,2"
1999,"0,-5ZxgGsAAAAJ"
1999,"1,-6cOYcYAAAAJ"
1999,"1,-6cOYcYAAAAJ"
1999,"VizsSmEAAAAJ,-6cOYcYAAAAJ"
1999,"-6cOYcYAAAAJ"
1999,"1,1,-6cOYcYAAAAJ"
1999,"0,0,-6FYTfMAAAAJ,0,0"
1999,"0,-78feYUAAAAJ"
1999,"-aQaHIoAAAAJ,0"
1999,"-aQaHIoAAAAJ,0"
1999,"-aQaHIoAAAAJ,0"
1999,"-cL-RwUAAAAJ,0"
1999,"-cL-RwUAAAAJ,0"
1999,"-cwEbxUAAAAJ,2,1,1"
1999,"-DEyRIgAAAAJ,2,-had2Q8AAAAJ,0,0"
1999,"0,-Dg42W8AAAAJ"
1999,"-EXWOU0AAAAJ,1,2"
1999,"-EXWOU0AAAAJ,1,1,1,1"
1999,"-EXWOU0AAAAJ"
1999,"1,-EXWOU0AAAAJ"
1999,"-EXWOU0AAAAJ,1"
1999,"1,-GT5PAkAAAAJ"
1999,"1,1,1,-GT5PAkAAAAJ,1,q1bkP7AAAAAJ,2"
1999,"1,1,1,-GT5PAkAAAAJ,1,q1bkP7AAAAAJ,2"
1999,"1,-GT5PAkAAAAJ"
1999,"-GT5PAkAAAAJ,1"
1999,"-GT5PAkAAAAJ"
1999,"-GT5PAkAAAAJ"
1999,"-H7Y-VUAAAAJ,0"
1999,"0,0,0,0,0,0,2,0,0,0,0,0,0,-had2Q8AAAAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,LGp68QwAAAAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0cy3s0AAAAAJ,lRTRxSIAAAAJ,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0"
1999,"-had2Q8AAAAJ,0,0"
1999,"0,0,0,-had2Q8AAAAJ,0,2,0,2"
1999,"0,-had2Q8AAAAJ,0,0,0"
1999,"0,-had2Q8AAAAJ,0,0"
1999,"0,2,-had2Q8AAAAJ,0,0"
1999,"-had2Q8AAAAJ,0,0,0,0,0"
1999,"0,-had2Q8AAAAJ,0,0"
1999,"-had2Q8AAAAJ,0,0"
1999,"0,0,0,-had2Q8AAAAJ,0,0,0,0"
1999,"-had2Q8AAAAJ,0"
1999,"0,0,0,0,0,0,0,0,0,0,0,-HwCwkAAAAAJ,0,0,0,0,0,0,2,0"
1999,"-HwCwkAAAAAJ,0"
1999,"2,-HwCwkAAAAAJ"
1999,"0,-HwCwkAAAAAJ"
1999,"0,0,-HwCwkAAAAAJ,0"
1999,"0,0,0,0,0,0,2,0,0,0,-HwCwkAAAAAJ,0,0,0,0,0,2,0,0"
1999,"-HwCwkAAAAAJ,0"
1999,"gQ0QCfAAAAAJ,0,-HwCwkAAAAAJ,0"
