"year","Source","Target","s_dept","t_dept"
1995,12,3530,"CS","CS"
1995,30,2111,"BIO","BIO"
1995,31,993,"BIO","BIO"
1995,63,3690,"CS","CS"
1995,66,3122,"CS","CS"
1995,73,3334,"CS","CS"
1995,77,475,"CS","CS"
1995,83,3700,"BIO","BIO"
1995,83,1265,"BIO","BIO"
1995,83,1111,"BIO","CS"
1995,100,2482,"BIO","BIO"
1995,101,2501,"CS","CS"
1995,102,3669,"BIO","BIO"
1995,106,3955,"CS","CS"
1995,141,2044,"CS","CS"
1995,185,2903,"CS","CS"
1995,203,405,"BIO","BIO"
1995,213,1787,"BIO","BIO"
1995,215,2408,"CS","CS"
1995,236,913,"CS","CS"
1995,237,3422,"CS","CS"
1995,237,2863,"CS","CS"
1995,237,3272,"CS","CS"
1995,245,1417,"CS","CS"
1995,256,4021,"CS","CS"
1995,262,637,"CS","CS"
1995,269,3519,"CS","CS"
1995,271,2908,"CS","CS"
1995,271,3420,"CS","CS"
1995,271,536,"CS","CS"
1995,271,2625,"CS","CS"
1995,273,1589,"CS","CS"
1995,273,408,"CS","CS"
1995,408,1589,"CS","CS"
1995,1415,2797,"CS","CS"
1995,278,2797,"CS","CS"
1995,278,1415,"CS","CS"
1995,287,3658,"BIO","BIO"
1995,289,3980,"CS","CS"
1995,289,3015,"CS","CS"
1995,293,1733,"BIO","BIO"
1995,340,3670,"CS","CS"
1995,1250,3670,"CS","CS"
1995,340,1250,"CS","CS"
1995,347,757,"BIO","BIO"
1995,354,1888,"CS","CS"
1995,380,410,"CS","CS"
1995,387,2715,"BIO","BIO"
1995,387,2584,"BIO","BIO"
1995,392,2087,"CS","CS"
1995,398,568,"BIO","BIO"
1995,398,1826,"BIO","BIO"
1995,401,3786,"CS","CS"
1995,411,2471,"BIO","BIO"
1995,419,2527,"BIO","BIO"
1995,1661,2961,"CS","CS"
1995,463,2961,"CS","CS"
1995,463,1661,"CS","CS"
1995,470,3235,"CS","CS"
1995,353,489,"CS","CS"
1995,498,2119,"CS","CS"
1995,498,3949,"CS","CS"
1995,500,3298,"CS","CS"
1995,504,3352,"CS","CS"
1995,505,533,"BIO","BIO"
1995,510,2059,"CS","CS"
1995,510,4168,"CS","CS"
1995,513,1555,"CS","CS"
1995,513,2156,"CS","CS"
1995,529,3325,"CS","CS"
1995,533,3134,"BIO","BIO"
1995,538,3338,"CS","CS"
1995,547,2330,"CS","CS"
1995,547,1181,"CS","CS"
1995,550,3267,"CS","CS"
1995,557,830,"BIO","CS"
1995,830,3743,"CS","CS"
1995,557,3743,"BIO","CS"
1995,559,2060,"BIO","BIO"
1995,575,847,"CS","CS"
1995,847,4030,"CS","CS"
1995,575,4030,"CS","CS"
1995,591,1523,"CS","CS"
1995,591,4161,"CS","CS"
1995,602,2769,"CS","CS"
1995,602,860,"CS","CS"
1995,2692,3727,"CS","CS"
1995,602,2692,"CS","CS"
1995,602,3727,"CS","CS"
1995,604,2217,"CS","CS"
1995,611,3935,"CS","CS"
1995,612,1870,"CS","CS"
1995,620,2424,"BIO","BIO"
1995,627,2440,"BIO","BIO"
1995,902,2440,"BIO","BIO"
1995,627,902,"BIO","BIO"
1995,536,638,"CS","CS"
1995,638,3245,"CS","CS"
1995,639,1519,"CS","CS"
1995,641,1311,"CS","CS"
1995,661,3168,"CS","CS"
1995,671,2238,"BIO","BIO"
1995,674,3632,"CS","CS"
1995,705,3632,"CS","CS"
1995,674,705,"CS","CS"
1995,686,3014,"CS","CS"
1995,1523,3467,"CS","CS"
1995,693,3467,"CS","CS"
1995,693,1523,"CS","CS"
1995,703,3032,"CS","CS"
1995,705,3933,"CS","CS"
1995,708,3039,"CS","CS"
1995,713,4184,"BIO","BIO"
1995,715,3071,"CS","CS"
1995,715,1408,"CS","CS"
1995,716,3979,"BIO","BIO"
1995,730,1250,"CS","CS"
1995,735,1761,"CS","CS"
1995,750,1419,"BIO","BIO"
1995,765,1138,"CS","CS"
1995,765,3853,"CS","CS"
1995,2804,2998,"CS","CS"
1995,770,2804,"CS","CS"
1995,770,2998,"CS","CS"
1995,787,2511,"CS","CS"
1995,795,3942,"CS","CS"
1995,798,3587,"CS","CS"
1995,798,2170,"CS","CS"
1995,805,1721,"CS","CS"
1995,812,2760,"CS","CS"
1995,820,2292,"BIO","BIO"
1995,271,828,"CS","CS"
1995,830,1387,"CS","CS"
