"Source","Target"
12,3530
30,2111
31,993
63,3690
66,3122
73,3334
77,475
83,3700
83,1265
83,1111
100,2482
101,2501
102,3669
106,3955
141,2044
185,2903
203,405
213,1787
215,2408
236,913
237,3422
237,2863
237,3272
245,1417
256,4021
262,637
269,3519
271,2908
271,3420
271,536
271,2625
273,1589
273,408
408,1589
1415,2797
278,2797
278,1415
287,3658
289,3980
289,3015
293,1733
340,3670
1250,3670
340,1250
347,757
354,1888
380,410
387,2715
387,2584
392,2087
398,568
398,1826
401,3786
411,2471
419,2527
1661,2961
463,2961
463,1661
470,3235
353,489
498,2119
498,3949
500,3298
504,3352
505,533
510,2059
510,4168
513,1555
513,2156
529,3325
533,3134
538,3338
547,2330
547,1181
550,3267
557,830
830,3743
557,3743
559,2060
575,847
847,4030
575,4030
591,1523
591,4161
602,2769
602,860
2692,3727
602,2692
602,3727
604,2217
611,3935
612,1870
620,2424
627,2440
902,2440
627,902
536,638
638,3245
639,1519
641,1311
661,3168
671,2238
674,3632
705,3632
674,705
686,3014
1523,3467
693,3467
693,1523
703,3032
705,3933
708,3039
713,4184
715,3071
715,1408
716,3979
730,1250
735,1761
750,1419
765,1138
765,3853
2804,2998
770,2804
770,2998
787,2511
795,3942
798,3587
798,2170
805,1721
812,2760
820,2292
271,828
830,1387
847,864
847,1084
853,3334
854,2392
868,3933
874,3355
187,874
893,3875
907,1762
908,1577
913,1304
913,2637
921,1504
941,2463
942,3574
992,3270
996,3755
1014,1265
1265,2833
1014,2833
1025,1178
1028,3650
1043,3582
1043,2642
1044,2538
1083,1588
2187,3494
1090,3494
1090,2187
1092,2306
1105,2803
1106,3423
1113,3014
1115,4157
1147,2919
1178,1455
1185,3203
1204,1489
1228,3445
1234,2928
1236,2674
1250,1762
1251,1413
1251,1376
1255,3939
1255,3089
3089,3939
1280,2041
1280,4024
1289,1739
1322,3338
1355,3427
1378,4008
1405,1853
1413,1918
1417,1891
1424,2333
1434,3903
1448,1858
1484,3116
1486,2422
1525,3361
1526,3156
1550,3570
1555,2717
1070,1562
1563,2609
1568,3098
1574,4116
533,1576
1577,2275
353,1588
289,1593
1599,2903
