"Source","Target"
11,978
12,4108
12,2217
12,124
19,3245
21,30
39,1185
44,1571
351,1571
44,351
49,2624
54,2921
57,2166
66,3210
81,145
73,81
81,646
73,145
145,646
73,646
73,3770
76,2178
77,475
81,1082
145,1082
73,1082
646,1082
83,1265
87,1113
94,1011
98,1988
100,2482
101,2501
101,3725
105,2722
110,372
132,1043
1043,1785
1043,3160
132,1785
132,3160
1785,3160
136,1466
136,761
761,1466
139,2656
141,786
141,1577
143,3975
146,152
152,2186
146,2186
153,4137
169,860
170,441
177,1408
206,860
213,2252
224,2135
231,2898
236,3697
237,1948
237,2863
237,2399
2399,2863
237,3939
238,2920
238,1066
244,929
256,1996
262,637
263,2144
265,657
269,936
269,2614
273,607
273,1589
274,1648
278,2586
278,3777
2059,2835
278,2835
2670,2835
278,2059
2059,2670
278,2670
280,2425
281,387
387,898
281,898
387,4101
281,4101
285,485
285,2640
289,2346
289,1821
1821,2346
296,1449
301,1920
307,403
316,2252
320,2801
339,2134
340,2755
340,3670
344,3299
2941,3503
346,3503
346,2941
347,757
348,2502
353,4087
353,3338
353,1139
873,1739
356,873
356,1739
372,2980
379,1092
379,1996
380,3422
2323,3422
380,2323
384,2431
387,2715
898,2715
395,4012
396,1343
399,3211
401,3786
403,1631
407,2426
410,812
421,1117
421,2146
425,1401
426,1503
433,2625
433,2599
2599,2625
447,2222
449,1940
1940,2119
449,2119
476,3182
476,577
479,2858
480,3890
481,1018
484,3903
156,489
492,1282
498,2119
505,533
513,1509
513,1227
522,2795
529,3325
536,3176
1178,3176
536,1178
536,1283
538,1953
1181,4108
547,1181
547,4108
547,1936
547,3912
2330,3912
547,2330
548,3669
550,928
553,1918
559,3805
568,4190
572,2170
572,939
939,2170
575,1025
44,577
597,3245
598,3967
598,1498
599,2766
602,2863
604,1880
608,3267
616,1684
624,3640
632,691
633,2399
633,3422
633,2323
638,1672
638,3245
638,1219
641,3852
644,2179
652,2214
659,2526
660,2923
668,1785
674,734
674,878
674,3024
674,1311
1311,2369
674,2369
734,878
680,763
698,1563
698,1301
698,1817
700,806
1908,3032
703,3032
703,1908
705,3588
705,2769
2769,3588
705,3933
705,4157
3371,4064
712,4064
712,3371
713,1946
713,4184
715,1482
706,1757
715,1757
706,715
720,1205
725,2803
725,2117
733,3191
734,3137
740,1328
2998,4031
770,4031
770,2998
770,3922
770,1158
772,2117
775,3630
775,3119
777,2343
777,2179
2179,2343
785,1014
785,1265
804,4099
804,2876
805,1247
806,4039
810,1263
39,828
829,3000
