"FacultyI","FacultyJ","XDIndicator"
"0iJRaawAAAAJ","gMQWxE0AAAAJ",1
"1z3mv7EAAAAJ","AzdflHYAAAAJ",0
"2i7uayYAAAAJ","FJ-huxgAAAAJ",1
"38ev4xkAAAAJ","VoAHydgAAAAJ",1
"3XYmsKQAAAAJ","U-0PM_cAAAAJ",1
"3XYmsKQAAAAJ","U-0PM_cAAAAJ",1
"4esyQS4AAAAJ","JXsWja0AAAAJ",1
"4Mj-BjwAAAAJ","UUAn_V8AAAAJ",1
"4SYHiigAAAAJ","8v3hRYcAAAAJ",0
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"6YU6_QoAAAAJ","E1cp_aYAAAAJ",1
"7egtxu0AAAAJ","VizsSmEAAAAJ",1
"8enm19QAAAAJ","IwkyeWgAAAAJ",0
"8v3hRYcAAAAJ","4SYHiigAAAAJ",0
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"ATOfqHEAAAAJ","v0tJmyYAAAAJ",1
"ATOfqHEAAAAJ","v0tJmyYAAAAJ",1
"ATOfqHEAAAAJ","v0tJmyYAAAAJ",1
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"bAa___kAAAAJ","wtZwMSgAAAAJ",1
"bAa___kAAAAJ","wtZwMSgAAAAJ",1
"bAipNH8AAAAJ","Uph176YAAAAJ",1
"BJAXIbQAAAAJ","GD3jwG8AAAAJ",1
"bWTPrLEAAAAJ","rXYLXJMAAAAJ",1
"bWTPrLEAAAAJ","rXYLXJMAAAAJ",1
"D3aAA1wAAAAJ","JoFVg7cAAAAJ",0
"DQaARsgAAAAJ","Lu7biGYAAAAJ",1
