YEAR,num_pub,sum_citations,std_citations,sum_ln_citations,std_ln_citations
1948,2,31,11.500,4.942,0.861
1949,2,16,4.000,4.174,0.478
1950,3,122,40.746,8.862,1.432
1952,4,61,22.398,7.409,1.286
1953,4,35,6.339,7.848,0.873
1954,3,9,1.414,3.912,0.432
1955,3,43,9.978,6.842,1.132
1956,6,27,4.272,8.466,0.748
1957,7,17,1.400,8.083,0.387
1958,6,18,2.449,7.390,0.531
1959,4,166,42.968,11.999,1.373
1960,7,90,15.851,15.367,0.853
1961,17,808,56.692,53.811,1.314
1962,10,361,42.508,27.814,1.399
1963,22,1070,54.631,65.629,1.511
1964,26,1089,53.463,78.886,1.293
1965,31,3087,239.822,114.219,1.216
1966,41,5847,520.294,132.282,1.565
1967,58,4744,230.039,195.851,1.356
1968,68,4768,108.172,227.059,1.508
1969,107,7648,119.996,356.329,1.444
1970,134,12254,242.154,459.414,1.452
1971,147,20101,717.989,496.595,1.474
1972,194,10982,77.770,625.055,1.405
1973,220,18067,168.983,748.417,1.439
1974,302,27317,219.022,1027.199,1.463
1975,386,29586,151.156,1302.386,1.488
1976,430,35220,205.180,1436.493,1.526
1977,518,51881,376.067,1777.506,1.471
1978,599,48982,209.352,1988.217,1.505
1979,706,80750,787.249,2450.462,1.498
1980,851,76755,248.462,2919.654,1.507
1981,937,90656,343.702,3309.483,1.467
1982,1042,96607,242.296,3588.443,1.493
1983,1224,114398,191.223,4315.115,1.508
1984,1299,113728,166.936,4526.132,1.487
1985,1415,186223,936.346,5111.110,1.463
1986,1567,143323,180.898,5492.401,1.516
1987,1686,172775,279.628,5927.181,1.552
1988,2009,187881,180.620,7165.021,1.476
1989,2117,466187,5182.470,7753.299,1.446
1990,2326,254027,319.861,8555.942,1.445
1991,2402,256581,215.668,9033.604,1.417
1992,2751,301079,208.783,10299.904,1.470
1993,3004,332188,244.944,11181.389,1.470
1994,3430,382130,227.355,12874.829,1.479
1995,3559,381847,232.755,13309.057,1.462
1996,4029,491775,562.243,15356.577,1.459
1997,4105,526249,289.450,15973.389,1.478
1998,4456,614484,476.406,17292.692,1.489
1999,4749,594585,315.371,18267.536,1.488
2000,5162,787354,725.757,20205.077,1.503
2001,5465,748013,520.726,21018.225,1.514
2002,5720,780574,312.378,22356.246,1.510
2003,6162,814103,364.156,24119.422,1.477
2004,6771,778714,246.376,25771.324,1.467
2005,7085,772420,270.381,26591.407,1.445
2006,7462,771809,247.927,27565.865,1.426
2007,7945,838830,418.291,28980.850,1.418
2008,7948,731245,220.184,28553.436,1.372
2009,8197,663760,201.161,28546.440,1.352
2010,8638,652481,220.765,29636.202,1.328
2011,8982,534891,127.098,29480.768,1.271
2012,9412,468995,125.207,29427.518,1.223
2013,9610,352596,88.909,27806.858,1.153
2014,9566,228848,44.704,24810.853,1.065
2015,9091,125885,29.797,19503.909,0.960
2016,6633,57099,215.240,9685.251,0.765
2017,326,541,1.473,292.248,0.355
