"FacultyI","FacultyJ","XDIndicator"
"GRGOG1AAAAAJ","0XV1sFsAAAAJ",1
"1jE4flwAAAAJ","8v1PvG1CERwC",0
"R1Wg5b8AAAAJ","1wq5H9oAAAAJ",0
"M4AL53YAAAAJ","26h2MnAAAAAJ",1
"5PboKNAAAAAJ","_ejcrb8AAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"A9tBw58AAAAJ","SbHBJa3S3XgC",1
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"nwNHXf4AAAAJ","aVorcfUAAAAJ",0
"nwNHXf4AAAAJ","aVorcfUAAAAJ",0
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"bAa___kAAAAJ","LW4lnZYAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"4Ts9jNQAAAAJ","bkN-YUkAAAAJ",1
"fez4ulcAAAAJ","BnxU9TEAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"iIPwqbMAAAAJ","CoxGqVsAAAAJ",0
"CTPwvRMAAAAJ","e4JfTgsAAAAJ",0
"CTPwvRMAAAAJ","e4JfTgsAAAAJ",0
"avq8-1QAAAAJ","d1KEK84AAAAJ",1
"D_JpQnAAAAAJ","gQOKAggAAAAJ",1
"CTPwvRMAAAAJ","e4JfTgsAAAAJ",0
"ea6cjVUAAAAJ","SeW3bhwAAAAJ",1
"EFEC_toAAAAJ","KIv0fKQAAAAJ",2
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"b0k2tTgAAAAJ","EUMYhUvzt6IC",1
"fez4ulcAAAAJ","BnxU9TEAAAAJ",1
"MOaFLkMAAAAJ","fqy0tRYAAAAJ",0
"FsBCAfgAAAAJ","DQaARsgAAAAJ",1
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"D_JpQnAAAAAJ","gQOKAggAAAAJ",1
"gQOKAggAAAAJ","zZ0-4SUAAAAJ",1
"gQOKAggAAAAJ","zZ0-4SUAAAAJ",1
"gQOKAggAAAAJ","zZ0-4SUAAAAJ",1
"gyIf7XIAAAAJ","n3LTWi8AAAAJ",1
"05UuCNQAAAAJ","Jc7sf8YAAAAJ",0
"4esyQS4AAAAJ","JXsWja0AAAAJ",1
"4esyQS4AAAAJ","JXsWja0AAAAJ",1
"EFEC_toAAAAJ","KIv0fKQAAAAJ",2
"EFEC_toAAAAJ","KIv0fKQAAAAJ",2
"EFEC_toAAAAJ","KIv0fKQAAAAJ",2
"bAa___kAAAAJ","LW4lnZYAAAAJ",1
"nwNHXf4AAAAJ","aVorcfUAAAAJ",0
"nwNHXf4AAAAJ","lW61FSQAAAAJ",0
"aVorcfUAAAAJ","lW61FSQAAAAJ",0
"MOaFLkMAAAAJ","fqy0tRYAAAAJ",0
"gyIf7XIAAAAJ","n3LTWi8AAAAJ",1
"nwNHXf4AAAAJ","aVorcfUAAAAJ",0
"nwNHXf4AAAAJ","aVorcfUAAAAJ",0
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"ogj8ppAAAAAJ","4VJre9IAAAAJ",1
"Ormag-QAAAAJ","sxjynOsAAAAJ",1
"zO6kmIAAAAAJ","p2ttvlEAAAAJ",1
"zO6kmIAAAAAJ","p2ttvlEAAAAJ",1
"D_JpQnAAAAAJ","Ph16U5wAAAAJ",1
"D_JpQnAAAAAJ","gQOKAggAAAAJ",1
"Ph16U5wAAAAJ","gQOKAggAAAAJ",1
"UCiXhq4AAAAJ","PkfChMgAAAAJ",1
"iTii9qEAAAAJ","q92q8SMAAAAJ",2
"wQzELzEAAAAJ","qgfEdwUAAAAJ",0
"y768HUkAAAAJ","QRrrUU0AAAAJ",1
"R1Wg5b8AAAAJ","1wq5H9oAAAAJ",0
"R8yXxqkAAAAJ","Jr0P0Z4AAAAJ",0
"rXYLXJMAAAAJ","_pPy-pAAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"S5AaMfgAAAAJ","fEYp6hEAAAAJ",1
"Ormag-QAAAAJ","sxjynOsAAAAJ",1
"TPOorDcAAAAJ","xkCYK58AAAAJ",1
"TPOorDcAAAAJ","UwFA1KoAAAAJ",1
"xkCYK58AAAAJ","UwFA1KoAAAAJ",1
"txdJApMAAAAJ","FfqHjHoAAAAJ",0
"7P3t1woAAAAJ","UF1_VRcAAAAJ",0
"xkCYK58AAAAJ","UwFA1KoAAAAJ",1
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"wQzELzEAAAAJ","qgfEdwUAAAAJ",0
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"GljRwkUAAAAJ","wSslNAcAAAAJ",0
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"xkCYK58AAAAJ","UwFA1KoAAAAJ",1
"Y-KJRwoAAAAJ","Why1TLIAAAAJ",0
"y768HUkAAAAJ","QRrrUU0AAAAJ",1
"zLS4alQAAAAJ","wjPrcoUAAAAJ",0
