"Faculty","XDIndicator","NumOfPolinator"
"-0ppt6oAAAAJ",0,5
"-5ZxgGsAAAAJ",0,2
"-5ZxgGsAAAAJ",0,2
"-5ZxgGsAAAAJ",0,2
"-aQaHIoAAAAJ",0,3
"-aQaHIoAAAAJ",0,4
"EAzpJiQAAAAJ",0,4
"-Dg42W8AAAAJ",0,4
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",1,1
"-had2Q8AAAAJ",0,3
"-had2Q8AAAAJ",0,1
"-had2Q8AAAAJ",2,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,3
"-HwCwkAAAAAJ",0,1
"-Jbd9DsAAAAJ",1,1
"-LyegNoAAAAJ",0,1
"-LyegNoAAAAJ",2,1
"-LyegNoAAAAJ",0,1
"-LyegNoAAAAJ",2,1
"-m5wrTkAAAAJ",1,4
"-m5wrTkAAAAJ",1,2
"-m5wrTkAAAAJ",1,1
"-m5wrTkAAAAJ",1,2
"-m5wrTkAAAAJ",1,2
"-m5wrTkAAAAJ",1,5
"-m5wrTkAAAAJ",2,1
"-teHhxwAAAAJ",0,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",2,1
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,4
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,6
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,3
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,2
"-UyfaYEAAAAJ",0,1
"-UyfaYEAAAAJ",0,3
"-xOxPsUAAAAJ",0,2
"-xOxPsUAAAAJ",0,1
"-xOxPsUAAAAJ",0,2
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,2
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",1,1
"-yrzguMAAAAJ",1,6
"-yrzguMAAAAJ",1,3
"-yrzguMAAAAJ",1,3
"-YvgZDEAAAAJ",1,2
"-YvgZDEAAAAJ",1,1
"-YvgZDEAAAAJ",2,1
"01EOkNEAAAAJ",0,4
"01EOkNEAAAAJ",0,3
"01EOkNEAAAAJ",0,6
"05UuCNQAAAAJ",0,2
"05UuCNQAAAAJ",2,1
"05UuCNQAAAAJ",0,3
"05UuCNQAAAAJ",2,1
"060zUaAAAAAJ",0,4
"060zUaAAAAAJ",0,2
"060zUaAAAAAJ",0,2
"0e8QmOMAAAAJ",0,2
"0ESwQagAAAAJ",0,2
"0IHc9DUAAAAJ",1,2
"0IHc9DUAAAAJ",1,2
"0iJRaawAAAAJ",1,1
"0iJRaawAAAAJ",1,2
"0iJRaawAAAAJ",1,3
"0iJRaawAAAAJ",1,1
"0IrZEuIAAAAJ",0,1
"0IrZEuIAAAAJ",0,1
"0IrZEuIAAAAJ",0,1
"0nBysEcAAAAJ",1,1
"0nBysEcAAAAJ",1,1
"0oj4N0sAAAAJ",0,1
"0skgDnMAAAAJ",1,1
"0skgDnMAAAAJ",1,3
"0skgDnMAAAAJ",1,1
"0skgDnMAAAAJ",1,1
