"Source","Target"
3530,12
2088,1078
2088,58
1078,58
3334,73
475,77
3700,83
1265,83
1265,1904
83,1904
101,2501
3028,101
102,3669
3955,106
2044,141
3000,441
3000,170
441,170
179,3426
1533,188
3077,199
2530,199
512,205
3299,212
213,920
3076,213
215,2408
237,3184
237,3272
3184,3272
237,2863
256,4021
262,637
3395,263
1479,264
268,3272
3519,269
2908,271
273,44
273,1589
3401,278
280,2425
3957,287
2921,289
3284,301
339,536
757,347
2502,348
353,1083
354,1888
1739,356
380,410
2062,387
2062,898
387,898
3059,389
3005,389
392,2087
392,2170
401,3786
2471,411
419,2527
433,2625
433,2599
2625,2599
3996,2144
3996,443
2144,443
2511,449
470,3235
3503,471
488,3363
493,3278
2119,498
498,3949
2511,498
4168,510
529,3325
775,530
1576,533
533,651
538,1953
547,2330
1181,547
591,567
2046,1942
2046,575
1942,575
847,575
591,3935
591,4161
2163,597
3967,598
860,602
612,1870
1684,616
620,2424
628,3005
4060,628
1972,631
1311,641
3668,641
3668,467
3668,2369
641,467
641,2369
467,2369
644,2179
3539,651
2526,659
3168,3384
3168,661
3384,661
705,3632
705,3731
705,674
3632,3731
3632,674
3731,674
674,1015
674,3024
1015,3024
3632,1015
686,353
3467,693
1523,693
700,806
705,3933
708,3039
711,2603
4167,711
1205,720
730,1250
760,1246
1417,763
3853,765
785,1904
2511,787
789,2150
3396,791
798,3587
2074,811
3000,829
830,1434
830,1387
830,3743
830,2904
830,3777
3743,2904
3743,3777
2904,3777
831,1338
847,4030
847,1399
849,3410
476,853
853,2285
853,107
2285,107
853,3334
854,2392
868,3933
187,874
3807,880
882,2086
890,2482
3308,893
1285,897
3396,899
1553,902
1762,907
908,1577
3284,912
3873,2637
3873,913
2637,913
1304,913
1888,913
1504,921
1601,924
941,2463
966,2059
3755,996
1004,2221
1007,3991
1011,3734
3028,1025
4008,1026
1028,3650
1043,4137
2538,1044
1071,3716
353,1588
1083,1588
1084,2481
2112,1090
214,1097
1105,2803
1751,1117
1178,2236
1212,3352
2587,1215
1227,1221
1227,2041
1229,2700
2928,1234
1247,2370
1255,3089
2032,1279
2041,1280
1280,4024
1289,804
1289,1739
3512,1322
1335,2252
1359,2183
1684,1373
1378,1580
1385,2658
3718,1396
1397,3921
1853,1405
1918,1413
52,1413
1918,52
1415,2059
1415,3777
1417,1891
1424,2333
3903,1434
101,1434
2059,1434
3217,1436
3846,1479
2422,1486
2749,1487
2222,1503
3437,1507
1508,3028
1525,3361
3156,1526
1550,3570
1550,3163
3570,3163
1554,1953
1574,4116
686,1588
1593,2640
1596,500
1596,463
1596,3476
500,463
500,3476
463,3476
1599,3015
1599,4008
1601,2658
1605,2310
1480,1620
1622,2018
1622,2035
2310,1623
3857,1623
1623,646
1630,3889
2951,1634
3519,1641
485,3519
485,1641
1645,3819
1666,3977
1668,387
2584,1668
3891,1697
3455,1697
3262,3765
3262,1705
3765,1705
3697,1721
1878,1728
3057,1728
1958,366
1958,1734
366,1734
1751,3717
1751,2057
1754,3384
1758,1632
1776,2210
1776,3224
2210,3224
1622,1783
1861,1816
1825,2725
1826,3624
3594,1833
1229,1845
1850,3783
1851,1891
2908,1870
98,1870
2032,1877
3211,2032
3211,2568
3211,1877
2032,2568
2568,1877
1878,2598
1879,2406
1186,1882
1888,3937
1320,1891
1897,3106
1911,3869
1947,1711
1947,289
1953,3338
1397,1955
3262,1968
3765,1968
2117,1979
1987,2035
2018,2905
2797,2022
2042,2161
2417,2047
2057,3717
4128,2095
2112,3363
4171,2120
2140,2163
706,2148
2166,2591
2170,3298
2187,2428
2194,654
3465,2215
2231,3572
3226,2245
2776,2261
3169,2261
3933,2306
2315,3946
2692,2330
2347,1124
3718,2356
3718,3587
2356,3587
399,2396
2692,2399
2680,2461
2476,421
101,2506
2550,294
3200,2589
2591,2746
1227,2592
2620,2606
2606,4187
3319,2615
2631,1641
2635,2015
2364,2690
2692,3727
2399,3727
2699,2285
2699,107
143,2699
2046,2705
1942,2705
1955,2705
2708,2381
2708,3586
2716,3588
2584,3385
2584,1399
2584,2580
2584,2717
3385,1399
3385,2580
3385,2717
1399,2580
1399,2717
2580,2717
3340,2717
1555,2717
2723,2778
2724,2699
4171,2750
2120,2750
3299,3005
3299,2764
3005,2764
2767,3395
2767,263
3588,2769
2775,3519
4007,2778
401,2783
2783,3786
2786,3336
2797,4119
2797,3777
4119,3777
2804,4031
2810,882
2816,353
2828,107
3673,2834
2848,3974
2875,880
3875,2879
2911,1826
2937,2834
2961,1661
2976,3221
2804,2998
3028,4171
3032,3670
821,3035
3056,2704
3057,3556
3062,1392
3062,1177
3939,3089
3106,2238
3114,2244
3028,3114
3114,1025
3714,3132
1954,3135
3153,1280
3153,2640
3153,3476
3160,3561
3172,1958
3185,2398
3658,3199
2858,3205
3227,1247
3227,2370
3284,3382
3284,3351
2088,3296
22,3339
3352,550
557,3370
3743,3375
3903,3377
3381,4108
3577,3394
3419,2369
3419,2454
1311,3419
3668,3419
3447,2170
3449,2120
1641,3490
2603,3496
3935,3513
3540,2625
3581,4006
3596,3125
2579,3632
3642,679
3659,3930
3668,3270
3539,3716
3722,978
2775,3740
3761,1899
3365,3762
3777,2670
3423,3799
3801,2088
3801,1078
3801,58
3881,1969
3881,2482
3881,100
1969,2482
1969,100
2482,100
3887,847
1212,3892
3914,2059
3932,2012
4035,3933
705,4035
1462,3946
4026,3955
3980,4019
2059,4024
4052,920
4060,530
3731,4079
4173,1826
30,962
1570,31
3169,31
3690,63
2717,71
3340,71
87,1113
87,399
1011,94
94,3734
101,3725
3975,143
