"ID","google_id","dept","XDIndicator"
1,"--nVNvIAAAAJ","CS","CS"
2,"-0CQuX8AAAAJ","BIO","BIO"
3,"-0iKXsgAAAAJ","CS","CS"
4,"-0nYQVIAAAAJ","BIO","BIO"
5,"-0ppt6oAAAAJ","BIO","XD"
6,"-0rEuLgAAAAJ","CS","CS"
7,"-234SKAAAAAJ","BIO","BIO"
8,"-31-oa0AAAAJ","BIO","BIO"
9,"-5DNOLIAAAAJ","BIO","BIO"
10,"-5LVcdsAAAAJ","BIO","BIO"
11,"-5ZxgGsAAAAJ","BIO","BIO"
12,"-6cOYcYAAAAJ","CS","CS"
13,"-6FYTfMAAAAJ","BIO","BIO"
14,"-78feYUAAAAJ","BIO","BIO"
15,"-aQaHIoAAAAJ","BIO","BIO"
16,"-BLWw_kAAAAJ","BIO","BIO"
17,"-chjN0MAAAAJ","BIO","XD"
18,"-cL-RwUAAAAJ","BIO","XD"
19,"-cwEbxUAAAAJ","CS","XD"
20,"-D2TBHUAAAAJ","BIO","XD"
21,"-DEyRIgAAAAJ","BIO","BIO"
22,"-DfTtxgAAAAJ","CS","XD"
23,"-Dg42W8AAAAJ","BIO","BIO"
24,"-E5k6m4AAAAJ","CS","CS"
25,"-ERiTHkAAAAJ","BIO","BIO"
26,"-EXWOU0AAAAJ","CS","CS"
27,"-fxI3cUAAAAJ","BIO","XD"
28,"-GT5PAkAAAAJ","CS","CS"
29,"-H7Y-VUAAAAJ","BIO","BIO"
30,"-had2Q8AAAAJ","BIO","BIO"
31,"-HwCwkAAAAAJ","BIO","BIO"
32,"-iLn_XwAAAAJ","BIO","XD"
33,"-IMW-w0AAAAJ","CS","XD"
34,"-Jbd9DsAAAAJ","CS","CS"
35,"-jW6ADwAAAAJ","CS","CS"
36,"-Jz7TjkAAAAJ","BIO","BIO"
37,"-LPp6oUAAAAJ","BIO","XD"
38,"-LyegNoAAAAJ","BIO","BIO"
39,"-m5wrTkAAAAJ","CS","CS"
40,"-MQXqOkAAAAJ","BIO","XD"
41,"-NkxFNoAAAAJ","CS","CS"
42,"-o3I0zUAAAAJ","BIO","XD"
43,"-OdJO1UAAAAJ","BIO","XD"
44,"-PWcE1YAAAAJ","CS","CS"
45,"-PWYRzIAAAAJ","BIO","BIO"
46,"-pyztDMAAAAJ","CS","CS"
47,"-qFHOKsAAAAJ","BIO","BIO"
48,"-QZrYjsAAAAJ","BIO","BIO"
49,"-rcrelQAAAAJ","BIO","XD"
50,"-S8_yskAAAAJ","BIO","BIO"
51,"-sGaL8sAAAAJ","CS","CS"
52,"-SM7MpYAAAAJ","CS","CS"
53,"-smZI6MAAAAJ","BIO","BIO"
54,"-spRnaQAAAAJ","CS","CS"
55,"-teHhxwAAAAJ","BIO","XD"
56,"-u5lh-0AAAAJ","BIO","BIO"
57,"-UyfaYEAAAAJ","BIO","BIO"
