"year","Source","s_dept","Target","t_dept"
1970,1508,"CS",1778,"CS"
1972,3188,"BIO",1216,"BIO"
1972,557,"BIO",3370,"BIO"
1973,1283,"CS",2062,"BIO"
1974,591,"CS",2214,"CS"
1974,591,"CS",1667,"CS"
1974,2214,"CS",1667,"CS"
1974,1630,"CS",2481,"CS"
1974,2214,"CS",1667,"CS"
1974,557,"BIO",3370,"BIO"
1975,1234,"BIO",216,"BIO"
1975,1234,"BIO",216,"BIO"
1975,261,"BIO",3496,"BIO"
1975,261,"BIO",3496,"BIO"
1975,382,"BIO",2313,"BIO"
1975,3864,"CS",470,"CS"
1975,1234,"BIO",216,"BIO"
1975,1956,"BIO",1240,"BIO"
1975,1956,"BIO",1240,"BIO"
1975,3371,"CS",1251,"CS"
1975,1283,"CS",2062,"BIO"
1975,1956,"BIO",1240,"BIO"
1975,1283,"CS",2062,"BIO"
1975,1283,"CS",2062,"BIO"
1975,2170,"CS",2996,"CS"
1975,2170,"CS",2996,"CS"
1975,2170,"CS",2996,"CS"
1975,2170,"CS",2996,"CS"
1975,3322,"CS",3909,"CS"
1975,557,"BIO",3370,"BIO"
1975,557,"BIO",3370,"BIO"
1975,261,"BIO",3496,"BIO"
1975,261,"BIO",3496,"BIO"
1975,3322,"CS",3909,"CS"
1976,411,"BIO",203,"BIO"
1976,1234,"BIO",216,"BIO"
1976,261,"BIO",3496,"BIO"
1976,834,"CS",1778,"CS"
1976,1558,"CS",859,"CS"
1976,1558,"CS",859,"CS"
1976,3570,"BIO",1402,"BIO"
1976,834,"CS",1778,"CS"
1976,1283,"CS",2062,"BIO"
1976,1283,"CS",2062,"BIO"
1976,2214,"CS",1667,"CS"
1976,557,"BIO",3370,"BIO"
1976,557,"BIO",3370,"BIO"
1976,261,"BIO",3496,"BIO"
1976,261,"BIO",3496,"BIO"
1976,3570,"BIO",1402,"BIO"
1976,390,"BIO",4051,"BIO"
1977,2729,"BIO",57,"BIO"
1977,1558,"CS",859,"CS"
1977,1558,"CS",859,"CS"
1977,3570,"BIO",1402,"BIO"
1977,1495,"CS",3423,"CS"
1977,1508,"CS",1778,"CS"
1977,2059,"CS",3981,"BIO"
1977,2729,"BIO",57,"BIO"
1977,261,"BIO",3496,"BIO"
1977,3570,"BIO",1402,"BIO"
1978,66,"CS",3168,"CS"
1978,2080,"BIO",216,"BIO"
1978,1234,"BIO",216,"BIO"
1978,798,"CS",1778,"CS"
1978,1558,"CS",859,"CS"
1978,1558,"CS",859,"CS"
1978,3631,"BIO",1153,"BIO"
1978,2581,"CS",1251,"CS"
1978,798,"CS",1778,"CS"
1978,1956,"BIO",3763,"BIO"
1978,2080,"BIO",216,"BIO"
1978,1080,"BIO",2099,"BIO"
1978,1080,"BIO",2099,"BIO"
1978,2415,"BIO",3868,"BIO"
1978,2827,"CS",3545,"CS"
1978,66,"CS",3168,"CS"
1978,3322,"CS",3909,"CS"
1978,557,"BIO",3370,"BIO"
1978,261,"BIO",3496,"BIO"
1978,2827,"CS",3545,"CS"
1978,3631,"BIO",1153,"BIO"
1978,1956,"BIO",3763,"BIO"
1978,2415,"BIO",3868,"BIO"
1978,3534,"BIO",3879,"BIO"
1978,3322,"CS",3909,"CS"
1979,2080,"BIO",216,"BIO"
1979,415,"CS",1870,"CS"
1979,3411,"BIO",530,"BIO"
1979,3631,"BIO",1153,"BIO"
1979,3631,"BIO",1153,"BIO"
1979,2581,"CS",1251,"CS"
1979,2581,"CS",1251,"CS"
1979,1508,"CS",4171,"CS"
1979,1596,"CS",1814,"CS"
1979,415,"CS",1870,"CS"
1979,1956,"BIO",3763,"BIO"
1979,1283,"CS",2062,"BIO"
1979,1283,"CS",2062,"BIO"
1979,1283,"CS",2062,"BIO"
1979,1283,"CS",2062,"BIO"
1979,1080,"BIO",2099,"BIO"
1979,4174,"BIO",2276,"BIO"
1979,2422,"CS",2864,"CS"
1979,3028,"CS",4171,"CS"
1979,3028,"CS",4171,"CS"
1979,3631,"BIO",1153,"BIO"
1979,3631,"BIO",1153,"BIO"
1979,1956,"BIO",3763,"BIO"
1979,2415,"BIO",3868,"BIO"
1979,2415,"BIO",3868,"BIO"
1979,3028,"CS",4171,"CS"
1979,3028,"CS",4171,"CS"
1979,4174,"BIO",2276,"BIO"
1980,2080,"BIO",216,"BIO"
1980,3530,"CS",798,"CS"
1980,849,"CS",3410,"CS"
1980,3385,"CS",1250,"CS"
1980,2581,"CS",1251,"CS"
1980,1335,"BIO",411,"BIO"
1980,3570,"BIO",1402,"BIO"
1980,1596,"CS",1814,"CS"
1980,2222,"BIO",1644,"BIO"
1980,2222,"BIO",1644,"BIO"
1980,2222,"BIO",1644,"BIO"
1980,1645,"BIO",3819,"BIO"
1980,1645,"BIO",3819,"BIO"
1980,4171,"CS",1667,"CS"
1980,1283,"CS",2062,"BIO"
1980,2222,"BIO",1644,"BIO"
1980,2222,"BIO",1644,"BIO"
1980,2222,"BIO",1644,"BIO"
1980,2702,"CS",2996,"CS"
1980,2948,"CS",2217,"CS"
1980,2948,"CS",2217,"CS"
1980,2702,"CS",2996,"CS"
1980,557,"BIO",3370,"BIO"
1980,557,"BIO",3370,"BIO"
1980,557,"BIO",3370,"BIO"
1980,3385,"CS",1250,"CS"
1980,849,"CS",3410,"CS"
1980,3492,"BIO",3570,"BIO"
1980,3492,"BIO",3570,"BIO"
1980,3530,"CS",798,"CS"
1980,3492,"BIO",3570,"BIO"
1980,3492,"BIO",3570,"BIO"
1980,3570,"BIO",1402,"BIO"
1980,3492,"BIO",3570,"BIO"
1980,4171,"CS",1667,"CS"
1981,2486,"BIO",216,"BIO"
1981,2486,"BIO",216,"BIO"
1981,415,"CS",1870,"CS"
1981,452,"CS",4146,"CS"
1981,494,"BIO",1209,"BIO"
1981,627,"BIO",716,"BIO"
1981,847,"CS",2244,"CS"
1981,4018,"BIO",1156,"CS"
1981,494,"BIO",1209,"BIO"
1981,1335,"BIO",411,"BIO"
1981,2222,"BIO",1644,"BIO"
1981,3533,"CS",1712,"CS"
1981,415,"CS",1870,"CS"
1981,1956,"BIO",3763,"BIO"
1981,1956,"BIO",3763,"BIO"
1981,2222,"BIO",1644,"BIO"
1981,4174,"BIO",2276,"BIO"
1981,2434,"CS",3933,"CS"
1981,2486,"BIO",216,"BIO"
1981,3536,"CS",2546,"CS"
1981,3536,"CS",2546,"CS"
1981,3536,"CS",2546,"CS"
1981,2697,"BIO",2729,"BIO"
1981,848,"CS",2750,"CS"
1981,1845,"BIO",2798,"CS"
1981,2928,"BIO",2808,"BIO"
1981,2928,"BIO",2808,"BIO"
1981,2827,"CS",3545,"CS"
1981,2928,"BIO",2808,"BIO"
1981,2928,"BIO",2808,"BIO"
1981,2935,"BIO",1976,"BIO"
1981,3028,"CS",4171,"CS"
1981,3028,"CS",4171,"CS"
1981,735,"CS",3073,"CS"
1981,557,"BIO",3370,"BIO"
1981,3381,"CS",812,"CS"
1981,3536,"CS",2546,"CS"
1981,3536,"CS",2546,"CS"
1981,3536,"CS",2546,"CS"
1981,2827,"CS",3545,"CS"
1981,3737,"BIO",3042,"BIO"
1981,1956,"BIO",3763,"BIO"
1981,1956,"BIO",3763,"BIO"
1981,2434,"CS",3933,"CS"
1981,4018,"BIO",1156,"CS"
1981,452,"CS",4146,"CS"
1981,3028,"CS",4171,"CS"
1981,3028,"CS",4171,"CS"
1981,3028,"CS",4171,"CS"
1981,4174,"BIO",2276,"BIO"
1982,213,"BIO",3529,"BIO"
1982,213,"BIO",3529,"BIO"
1982,2486,"BIO",216,"BIO"
1982,2486,"BIO",216,"BIO"
1982,2486,"BIO",216,"BIO"
1982,2080,"BIO",216,"BIO"
1982,2080,"BIO",216,"BIO"
1982,2486,"BIO",216,"BIO"
1982,2486,"BIO",216,"BIO"
1982,279,"BIO",3668,"CS"
1982,415,"CS",1870,"CS"
1982,415,"CS",1870,"CS"
1982,4060,"BIO",559,"BIO"
1982,2584,"BIO",899,"CS"
1982,1641,"CS",899,"CS"
1982,1397,"CS",913,"CS"
1982,3028,"CS",942,"CS"
1982,805,"CS",1092,"CS"
1982,4018,"BIO",1156,"CS"
1982,1397,"CS",913,"CS"
1982,1526,"BIO",2639,"BIO"
1982,1641,"CS",899,"CS"
1982,1641,"CS",899,"CS"
1982,1641,"CS",899,"CS"
1982,2222,"BIO",1644,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,415,"CS",1870,"CS"
1982,415,"CS",1870,"CS"
1982,2935,"BIO",1976,"BIO"
1982,2080,"BIO",216,"BIO"
1982,2080,"BIO",216,"BIO"
1982,1080,"BIO",2099,"BIO"
1982,2167,"BIO",716,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,2222,"BIO",1644,"BIO"
1982,2415,"BIO",2892,"BIO"
1982,2415,"BIO",1379,"BIO"
1982,2892,"BIO",1379,"BIO"
1982,2444,"BIO",2798,"CS"
1982,2486,"BIO",216,"BIO"
