"Id","google_id","XDIndicator"
1,"--nVNvIAAAAJ","XD"
2,"-0CQuX8AAAAJ","XD"
3,"-0iKXsgAAAAJ","CS"
4,"-0nYQVIAAAAJ","XD"
5,"-0ppt6oAAAAJ","XD"
6,"-0rEuLgAAAAJ","XD"
7,"-234SKAAAAAJ","XD"
8,"-31-oa0AAAAJ","XD"
9,"-5DNOLIAAAAJ","BIO"
10,"-5LVcdsAAAAJ","BIO"
11,"-5ZxgGsAAAAJ","BIO"
12,"-6cOYcYAAAAJ","XD"
13,"-6FYTfMAAAAJ","XD"
14,"-78feYUAAAAJ","BIO"
15,"-aQaHIoAAAAJ","XD"
16,"-BLWw_kAAAAJ","BIO"
17,"-chjN0MAAAAJ","XD"
18,"-cL-RwUAAAAJ","XD"
19,"-cwEbxUAAAAJ","XD"
20,"-D2TBHUAAAAJ","XD"
21,"-DEyRIgAAAAJ","XD"
22,"-DfTtxgAAAAJ","XD"
23,"-Dg42W8AAAAJ","BIO"
24,"-E5k6m4AAAAJ","XD"
25,"-ERiTHkAAAAJ","BIO"
26,"-EXWOU0AAAAJ","CS"
27,"-fxI3cUAAAAJ","XD"
28,"-GT5PAkAAAAJ","XD"
29,"-H7Y-VUAAAAJ","BIO"
30,"-had2Q8AAAAJ","XD"
31,"-HwCwkAAAAAJ","XD"
32,"-iLn_XwAAAAJ","XD"
33,"-IMW-w0AAAAJ","XD"
34,"-Jbd9DsAAAAJ","CS"
35,"-jW6ADwAAAAJ","XD"
36,"-Jz7TjkAAAAJ","BIO"
37,"-LPp6oUAAAAJ","XD"
38,"-LyegNoAAAAJ","BIO"
39,"-m5wrTkAAAAJ","XD"
40,"-MQXqOkAAAAJ","XD"
41,"-NkxFNoAAAAJ","XD"
42,"-o3I0zUAAAAJ","XD"
43,"-OdJO1UAAAAJ","XD"
44,"-PWcE1YAAAAJ","XD"
45,"-PWYRzIAAAAJ","XD"
46,"-pyztDMAAAAJ","XD"
47,"-qFHOKsAAAAJ","XD"
48,"-QZrYjsAAAAJ","BIO"
49,"-rcrelQAAAAJ","XD"
50,"-S8_yskAAAAJ","XD"
51,"-sGaL8sAAAAJ","XD"
52,"-SM7MpYAAAAJ","XD"
53,"-smZI6MAAAAJ","BIO"
54,"-spRnaQAAAAJ","XD"
55,"-teHhxwAAAAJ","XD"
56,"-u5lh-0AAAAJ","XD"
57,"-UyfaYEAAAAJ","XD"
58,"-vC_l2kAAAAJ","XD"
59,"-vrMfNMAAAAJ","XD"
60,"-wT1eCwAAAAJ","XD"
61,"-XCc1JQAAAAJ","BIO"
62,"-xOxPsUAAAAJ","BIO"
63,"-XpZ4fgAAAAJ","XD"
64,"-XXZGEoAAAAJ","XD"
65,"-yrzguMAAAAJ","XD"
66,"-YvgZDEAAAAJ","XD"
67,"-YZ5mIIAAAAJ","XD"
68,"-ZqZyP0AAAAJ","XD"
69,"-_yz0eUAAAAJ","XD"
70,"0-hcsnoAAAAJ","XD"
71,"008lr2cAAAAJ","XD"
72,"00H10pgAAAAJ","BIO"
73,"00M1AqQAAAAJ","XD"
74,"01EOkNEAAAAJ","XD"
75,"01U4ahgAAAAJ","BIO"
76,"022gx2QAAAAJ","XD"
77,"02nHF0gAAAAJ","XD"
78,"02_kT4YAAAAJ","XD"
79,"03uVItYAAAAJ","BIO"
80,"04pdXhgAAAAJ","XD"
81,"04TuVhEAAAAJ","XD"
82,"05cijuQAAAAJ","XD"
83,"05UuCNQAAAAJ","XD"
84,"060zUaAAAAAJ","XD"
85,"06hgT8gAAAAJ","XD"
86,"078_pfUAAAAJ","XD"
87,"07ds-DAAAAAJ","XD"
88,"07Z4HAQAAAAJ","XD"
89,"099CBXIAAAAJ","BIO"
90,"0a2d8rQAAAAJ","BIO"
91,"0ahvXiEAAAAJ","XD"
92,"0Bi5CMgAAAAJ","XD"
93,"0CAVqY4AAAAJ","XD"
94,"0cq9zpQAAAAJ","XD"
95,"0cy3s0AAAAAJ","XD"
96,"0d3SpjQAAAAJ","BIO"
97,"0dIBL4AAAAAJ","XD"
98,"0DpK1EMAAAAJ","XD"
99,"0e8QmOMAAAAJ","BIO"
100,"0ESwQagAAAAJ","XD"
101,"0fq5QeIAAAAJ","XD"
102,"0fVKnEcAAAAJ","XD"
103,"0goLOJ4AAAAJ","BIO"
104,"0gtvj54AAAAJ","BIO"
105,"0IHc9DUAAAAJ","XD"
106,"0iJRaawAAAAJ","XD"
107,"0irVeiQAAAAJ","XD"
108,"0IrZEuIAAAAJ","BIO"
109,"0j1TcuMAAAAJ","BIO"
110,"0JLkp6FGK_AC","BIO"
111,"0jSdqoEAAAAJ","XD"
112,"0Kl8sf4AAAAJ","BIO"
113,"0Kvq4bUAAAAJ","CS"
114,"0lcJYs8AAAAJ","XD"
115,"0LS98DEAAAAJ","XD"
116,"0LYr5i8AAAAJ","XD"
117,"0nBysEcAAAAJ","XD"
118,"0NdRYeoAAAAJ","XD"
119,"0OdjAAkAAAAJ","XD"
120,"0oj4N0sAAAAJ","XD"
121,"0pdiFKEAAAAJ","XD"
122,"0pdOqkQAAAAJ","XD"
123,"0qFMG6jnGtAC","XD"
124,"0Qr2IGwAAAAJ","XD"
125,"0r5B_WMAAAAJ","BIO"
126,"0R9w80MAAAAJ","BIO"
127,"0RAmmIAAAAAJ","CS"
128,"0RMteS0AAAAJ","XD"
129,"0SHFWCkAAAAJ","XD"
130,"0skgDnMAAAAJ","CS"
131,"0sU4eAwAAAAJ","BIO"
132,"0tJWcp4AAAAJ","XD"
133,"0U8U6t0AAAAJ","XD"
134,"0udXcCEAAAAJ","BIO"
135,"0uj4niwAAAAJ","XD"
136,"0VFi-vAAAAAJ","XD"
137,"0vsEnW8AAAAJ","XD"
138,"0vWWXXUAAAAJ","XD"
139,"0VzUxIcAAAAJ","XD"
140,"0w0Dy34AAAAJ","XD"
141,"0XV1sFsAAAAJ","XD"
142,"0XwGb10AAAAJ","BIO"
143,"0y6JDD4AAAAJ","XD"
144,"0YlwI5MAAAAJ","XD"
145,"0zrqo3B-66wC","XD"
146,"0zVOVQ0AAAAJ","XD"
147,"0zZnyMEAAAAJ","XD"
148,"0_vvBZkAAAAJ","XD"
149,"10HSX90AAAAJ","XD"
150,"117h3CAAAAAJ","XD"
151,"11imIQsAAAAJ","BIO"
152,"11NcM2EAAAAJ","XD"
153,"11RguYAAAAAJ","XD"
154,"14K6V00AAAAJ","BIO"
155,"15XbAJIAAAAJ","CS"
156,"16posrQAAAAJ","XD"
157,"17FnXRkAAAAJ","BIO"
