"Source","Target"
1,1821
7,2989
8,1306
8,1806
8,1367
12,1721
12,124
12,4108
12,3945
18,23
19,3245
19,293
19,3707
19,3424
20,3385
21,30
28,1564
28,268
30,2376
30,3093
30,3110
30,2660
31,3169
32,1503
33,1083
33,2404
33,2748
34,1959
34,2363
39,2435
39,1185
39,598
39,864
40,1153
40,74
42,3093
42,3497
42,528
44,3790
44,1631
44,1571
44,2769
46,604
49,2624
51,3445
54,1672
54,3396
55,3100
55,584
55,3380
55,94
58,253
58,159
58,3365
60,2602
63,844
63,1860
63,1092
63,2643
63,3304
64,3412
64,2749
65,2418
66,3064
66,156
66,786
66,2356
66,2364
67,2401
67,3664
67,3617
69,2791
70,2751
71,3340
71,2717
72,579
73,646
73,3575
73,3770
73,3334
73,1530
73,81
73,3668
73,145
73,3028
73,1753
74,3997
77,1667
77,2267
77,475
78,485
78,278
78,3481
78,3743
78,1415
78,3375
78,3777
78,2464
78,1915
79,1330
81,646
81,73
82,1639
83,3700
83,2271
83,3658
86,3336
87,2044
87,3849
87,2169
87,3131
88,913
91,4010
91,2616
91,3616
91,3299
93,1862
94,1011
94,932
94,2917
94,2847
98,1988
98,634
98,3939
100,2482
101,2501
101,4026
101,3497
101,1532
101,3725
101,1196
101,1683
105,2722
107,4064
107,1378
107,1220
107,4066
107,1175
107,2454
107,2370
107,1599
114,1634
114,3028
114,2640
114,351
115,2190
119,2792
121,2144
124,864
124,3945
124,1759
124,1721
128,2285
134,632
134,691
135,447
136,1466
136,2868
136,2489
136,1934
136,3298
136,761
138,348
138,3968
139,3869
139,2656
141,1577
141,786
143,676
143,3975
144,2541
144,1574
145,3668
146,3725
146,2186
147,2438
147,3853
147,1400
147,1109
148,733
148,3191
149,3967
149,598
152,2186
153,4096
156,3910
156,786
156,646
156,66
156,3064
159,2617
159,418
159,3365
159,253
159,58
160,3773
160,3662
161,1810
161,1712
161,4043
161,510
161,3143
162,2382
163,2472
163,1367
164,476
169,860
169,933
169,2232
169,3539
169,2252
170,441
172,2923
174,493
176,1519
177,945
177,1311
177,1249
177,786
178,3076
179,389
181,1423
181,3689
181,351
181,1225
181,307
184,3045
186,3795
186,4190
187,627
187,2440
187,2291
188,1533
190,3116
190,2974
190,2609
190,1722
192,3291
193,2726
196,3389
199,1719
199,2333
202,777
208,3000
211,2193
211,3259
212,3216
212,2866
213,769
217,2589
217,1208
219,1062
219,3974
219,755
227,4121
227,3816
228,2576
228,3450
229,644
229,2528
231,2898
231,3127
231,2217
231,2760
231,3656
235,1362
235,753
235,3595
235,3640
236,3697
236,968
236,1304
236,913
237,1948
237,1541
237,2863
237,2217
237,812
237,3184
238,3893
238,4158
238,3659
238,2920
238,3126
238,1293
238,1066
239,1785
239,3624
244,929
245,2640
245,1417
246,1091
253,58
253,159
254,1826
256,3077
256,1486
256,379
256,3071
256,4028
256,676
256,1996
256,1883
261,1954
263,3395
263,538
263,3143
263,1028
263,2144
263,2087
263,510
265,2393
265,3065
265,1743
265,3062
267,476
267,1486
268,3272
268,747
269,2614
269,3311
269,3490
269,3519
271,453
271,3977
271,1175
273,607
273,1589
273,3182
273,476
273,619
274,1974
274,3800
274,1270
274,117
274,3640
278,78
278,3777
278,2155
278,3401
278,3659
278,1914
278,2835
278,2670
278,3481
278,3743
278,1415
278,3375
278,2464
278,2586
278,2059
279,639
279,2227
280,2863
280,2425
281,387
281,898
281,2995
281,4101
281,2584
284,4083
285,1434
285,4103
285,485
285,2640
287,1067
289,1821
289,2346
289,1129
289,3849
289,1221
289,2735
289,4168
289,1662
289,3371
289,4067
291,2032
291,4030
291,2806
291,3783
291,2321
293,4049
293,19
294,3873
294,1561
296,1739
299,3160
299,2291
299,1145
299,2225
299,706
299,374
299,1392
300,619
300,1325
300,2190
301,3284
301,1415
301,1920
301,317
301,4026
302,1113
302,3122
303,3430
303,2953
304,3997
304,3630
304,643
304,3353
307,3790
307,2855
307,181
307,1571
307,403
307,1325
307,619
308,1738
309,3452
309,1337
317,3622
319,2526
321,2620
323,501
323,1719
323,4140
326,2719
328,2020
331,3640
331,528
334,4026
337,1891
337,2774
338,1249
338,4141
338,68
338,846
339,1712
339,2134
339,3544
339,2120
339,2032
339,2502
339,159
340,3670
340,2755
344,3299
345,2483
345,1430
345,3977
345,641
346,3503
348,3395
348,138
348,3968
351,1423
351,1571
351,1631
351,1628
351,3689
351,2640
351,114
351,872
351,181
352,3916
352,2968
353,4087
353,3541
353,3338
353,3419
353,982
353,2521
353,2256
353,786
353,1601
353,2228
353,1083
353,3292
356,773
356,3283
356,1739
356,873
358,2573
359,2720
359,3176
359,1464
361,672
362,1358
364,1428
366,969
366,1297
366,3126
366,2798
366,1694
369,1087
372,959
373,3864
374,3997
374,3160
374,706
374,299
374,2291
374,2501
374,3363
376,1939
376,433
376,2625
378,3442
378,1118
379,1996
379,3754
379,3077
379,936
379,844
379,1092
380,410
380,920
380,3422
380,812
380,2323
382,2500
382,3375
382,3754
383,582
385,854
385,4165
385,2392
385,2825
387,2715
387,898
387,4101
387,2584
387,3385
387,1399
387,2580
387,2717
387,281
388,1433
390,1091
390,441
390,57
390,1117
391,641
391,3590
392,2170
395,229
395,2472
396,1343
397,1694
397,848
397,3792
397,3935
397,3057
398,568
399,3211
399,1442
399,1652
399,867
399,3125
399,476
399,2275
399,2032
399,974
401,3786
401,3570
403,2769
403,1631
403,307
403,457
403,1712
403,1325
403,1423
407,2426
407,526
407,3622
407,317
407,965
407,1206
408,1561
408,294
410,812
410,380
410,920
410,3422
411,843
412,542
415,1870
416,936
416,844
416,353
416,2256
416,3747
416,786
416,3742
417,1816
418,2617
418,159
419,2527
419,3387
419,2173
419,1086
421,1117
421,1651
422,3365
422,1533
423,816
425,2252
425,646
426,929
428,247
431,2423
431,1173
433,1422
433,3445
433,1939
433,376
433,3977
438,1174
438,2500
439,3754
441,1091
441,390
441,57
441,170
443,1066
443,1114
443,3024
444,1509
444,3999
445,3788
446,4096
447,2764
447,135
448,1008
449,1940
449,2119
453,3977
453,3422
453,3430
453,2323
455,3024
455,583
455,4031
456,4028
456,3584
457,403
457,3604
458,3122
460,1675
463,3041
470,3235
474,2922
475,77
476,3369
476,500
476,164
476,2117
476,267
476,577
476,1571
479,2501
479,4008
480,3730
480,3890
481,1018
484,2800
485,2636
485,4067
485,652
485,1415
485,3144
485,991
485,1281
485,78
485,285
485,2059
485,1915
485,3611
485,3445
485,2640
485,3519
485,1641
485,2735
486,3034
486,2774
486,1247
488,774
488,1826
492,1282
492,1519
493,174
493,1417
498,2754
498,2119
500,1281
500,2921
500,3369
500,3476
500,2117
500,65
500,476
501,323
504,928
505,533
505,3134
505,1576
509,3455
509,1180
510,161
510,4103
510,3143
510,263
510,1027
510,798
510,3481
510,4043
512,1734
513,1693
513,1747
513,2592
513,1227
513,1555
516,289
516,813
522,2795
526,3494
526,1658
526,3516
527,4017
528,3497
528,42
529,3325
530,3411
530,3478
532,3262
532,3765
533,505
533,1204
533,1576
533,2446
536,3176
536,1178
538,1953
538,3490
538,263
538,3126
538,644
540,2326
542,2167
545,1712
545,4103
547,1181
547,4108
547,864
547,2795
547,449
547,1533
547,3568
548,3658
550,928
550,3949
550,3690
550,2772
551,2072
552,648
553,2894
553,1918
553,1084
555,2310
557,2460
559,643
559,3805
559,2527
559,3630
560,3822
563,3995
564,1662
564,3371
564,847
568,398
568,4190
570,528
570,3778
570,3640
570,2119
575,1025
575,2447
575,1399
577,476
577,2958
577,1378
577,44
577,686
577,848
581,908
581,3419
581,1577
581,1965
582,383
583,4031
583,3024
583,455
584,3100
585,2252
588,147
588,1527
588,3853
588,2438
589,2873
590,746
594,1050
597,1914
597,278
597,3635
598,3967
598,1498
598,1886
598,1940
598,149
598,1758
598,2435
598,1185
598,39
599,3663
601,1584
602,1936
602,2798
602,3015
602,2863
603,2969
604,3807
604,1880
604,4108
604,1509
604,2217
604,3032
604,1109
605,2169
608,562
608,3267
612,1870
612,3939
612,2646
614,453
614,3977
614,3344
614,433
614,1422
616,1127
616,1684
616,1747
616,1693
616,513
619,300
619,1325
624,250
626,3631
626,2962
626,2497
626,1633
627,2366
627,187
627,2440
628,2070
628,3920
628,711
628,1749
628,1922
630,2426
630,965
630,3207
630,848
631,1972
632,134
632,691
632,3299
632,3950
633,2784
633,2871
633,2330
633,907
633,4134
633,2653
633,707
634,1381
634,3860
638,1672
638,3245
638,1235
639,1968
639,3789
641,391
641,3668
641,1233
641,1311
641,2369
641,2483
643,304
643,559
644,3992
644,229
644,538
646,936
646,156
646,81
646,3770
646,807
646,3131
646,3960
647,3640
648,552
648,2850
649,568
649,2227
650,2262
651,3539
652,3814
652,2214
652,2858
652,485
652,4067
652,1059
652,2227
652,1345
655,2333
656,1826
659,2526
659,1803
660,2923
660,3336
662,1427
662,3378
665,4171
665,2120
665,4043
667,2415
668,1785
671,533
671,1207
672,361
672,3516
672,2678
674,3519
674,734
674,2693
674,878
674,919
674,3024
674,4103
674,1311
676,4028
676,1996
676,3071
680,1417
680,763
683,3816
685,1113
685,2117
685,686
685,44
686,2469
686,1113
686,1083
686,3668
686,2434
686,4007
686,4157
691,134
691,632
693,1583
696,2363
698,1563
699,1684
700,2652
700,1213
700,806
702,3664
702,527
702,67
702,711
703,3032
705,1325
705,4157
705,2369
705,3910
705,3588
705,2769
706,924
707,1747
707,1660
707,3887
707,633
708,1006
708,2145
711,988
711,628
711,2070
711,2126
711,2607
711,2614
712,1175
712,3371
712,4064
712,4104
712,3418
713,4184
715,1757
715,706
716,794
716,4130
718,3193
720,1205
721,2381
725,2803
725,3745
725,2404
729,1892
729,1687
730,1250
730,455
730,3481
730,3743
730,1415
730,78
730,3375
730,3777
730,2464
730,278
732,3664
733,3191
733,2438
733,3448
733,3236
733,1980
733,148
734,2943
734,674
734,3137
734,3519
735,1761
735,4162
737,3173
739,2196
745,705
745,1325
746,2239
746,590
747,268
747,2594
750,578
750,1419
753,848
753,1362
753,235
753,3595
755,219
755,3974
757,2305
761,3718
763,680
763,1417
764,3418
764,2511
764,3924
767,3467
767,3423
769,213
770,2795
770,3922
770,2924
770,2998
770,1158
770,4031
770,826
772,2061
772,3183
772,1592
772,2117
772,848
773,356
773,2021
774,2676
775,3630
775,3119
777,2719
777,2343
777,2179
777,202
777,4119
781,117
781,1737
782,2931
785,1265
785,1904
785,1977
786,156
786,3064
786,3839
786,1891
786,1311
786,66
786,1577
787,3418
787,449
787,2511
787,3924
788,2863
788,3420
790,2111
791,3912
791,1565
791,1629
791,2555
791,1870
791,3527
791,3396
791,1059
794,716
798,939
798,2835
798,2586
798,510
799,2256
804,2917
804,4099
805,3174
805,2561
805,1006
806,2481
806,4039
807,3770
807,3131
807,646
810,1263
811,3865
812,237
812,1059
812,380
812,410
812,907
813,2743
815,1853
816,423
816,3994
816,3637
818,1115
819,4053
823,2850
826,4031
826,2998
826,770
826,4177
827,2072
828,1936
828,1175
829,3150
829,2415
829,1910
829,2876
829,229
830,3656
830,1434
831,3656
831,1338
836,3120
836,3192
839,2000
839,2082
843,1806
843,411
843,1205
844,1092
844,2643
844,1860
844,2306
844,63
844,4083
844,1883
844,379
847,1792
847,1187
847,4030
847,1561
848,965
848,3706
848,1212
848,2247
848,753
848,2819
848,1601
848,772
848,397
848,2428
848,1423
849,1455
853,3977
853,3371
853,2533
853,4151
853,712
853,3770
854,2392
854,1441
854,385
854,4165
855,1750
855,1751
855,2764
855,3661
855,1404
855,1131
858,1510
860,2492
864,2774
864,2943
864,3945
864,124
867,399
867,1652
867,1189
867,974
867,1442
868,3933
868,3976
869,2919
869,2592
869,4053
869,2334
872,351
872,1821
872,3849
873,1739
873,356
873,1650
874,1091
875,3288
876,1420
877,3415
878,734
878,674
878,3137
878,2943
878,3656
878,888
880,2810
880,3927
880,784
880,2039
880,1208
881,2919
882,3124
882,2356
882,4030
883,1352
887,3000
889,1515
889,1909
890,2482
890,483
890,4180
892,2646
893,1285
893,4030
895,4105
895,2084
897,3869
898,387
898,4101
898,3385
898,2187
898,2715
898,281
898,2584
898,1399
898,2580
898,2717
898,2995
899,2755
899,4011
902,2440
905,2962
907,4134
907,633
908,1577
908,3419
908,1637
908,1965
908,581
908,2214
912,3560
913,88
913,3873
913,3812
913,1304
913,3970
913,2637
913,1888
913,2112
913,1495
913,3309
916,3893
917,2376
919,3707
919,674
919,3024
921,1504
921,2216
924,706
926,1683
928,3352
928,504
929,426
929,244
929,1825
932,94
933,2252
933,2232
933,3539
933,3777
933,2497
934,1078
934,4104
934,1129
936,379
936,1883
936,646
939,2170
939,798
941,2463
942,3028
943,3179
958,384
960,619
960,772
960,3604
960,3689
960,44
961,2838
965,3207
965,848
965,2426
966,403
966,2769
966,878
966,2190
966,734
966,3606
966,3015
966,2943
969,4087
969,366
969,2798
969,3278
969,3609
969,3150
969,2415
969,1910
969,2876
969,829
970,3461
973,3685
974,3211
974,399
974,1652
974,867
974,1442
974,1189
974,3125
974,2275
974,1902
974,2772
978,1477
980,3950
982,4087
982,3210
982,353
982,3419
983,2469
983,3541
985,641
985,391
986,1563
987,1856
988,711
991,485
991,78
991,2797
992,2466
993,1366
993,1961
996,3755
997,1848
997,4182
1000,2986
1006,4026
1006,805
1006,2145
1006,4083
1008,448
1010,2252
1011,94
1011,932
1011,3093
1013,1483
1014,2859
1014,3981
1014,4133
1014,1568
1014,1904
1015,1509
1016,5
1018,2555
1018,481
1018,1121
1018,1870
1023,2000
1025,1455
1025,1178
1025,1121
1025,2236
1026,1564
1027,3143
1027,510
1028,3143
1028,263
1028,1996
1030,2764
1031,3658
1031,2859
1033,199
1035,3160
1035,3582
1037,4079
1037,1694
1037,2636
1038,2466
1038,992
1039,5
1040,2252
1041,3363
1041,2597
1042,1627
1042,1601
1042,1543
1042,1818
1042,2120
1042,4151
1043,3278
1043,4137
1043,1542
1044,2538
1044,1758
1044,4062
1044,2830
1044,2571
1050,1066
1050,594
1050,3351
1058,3969
1059,1227
1059,652
1059,812
1059,3912
1059,3960
1059,3527
1059,3396
1059,791
1061,890
1061,4180
1061,631
1061,1330
1062,219
1062,1227
1066,1905
1066,1050
1066,1114
1066,443
1066,1090
1066,3024
1066,1909
1067,287
1067,2284
1068,671
1072,2369
1072,2469
1078,2088
1078,1266
1078,1318
1078,934
1079,352
1079,2968
1080,3397
1082,3770
1082,2620
1082,2136
1082,3822
1082,1362
1082,145
1082,646
1082,560
1083,353
1083,2748
1083,3564
1083,33
1083,2179
1083,686
1083,2469
1083,1113
1083,2404
1084,2894
1084,1285
1084,2806
1084,553
1085,2252
1087,2142
1087,369
1088,3593
1090,3363
1090,2112
1090,3858
1090,2103
1090,2614
1090,1066
1090,1156
1090,2428
1090,3873
1091,246
1091,1152
1091,3561
1091,874
1092,2643
1092,844
1092,1860
1092,1883
1092,379
1092,4083
1092,63
1092,3149
1095,4187
1099,2183
1099,1781
1099,2496
1099,2405
1100,2817
1100,1231
1100,2071
1100,2182
1100,2278
1105,2803
1105,2364
1105,2827
1109,147
1109,1939
1109,2625
1109,604
1109,375
1113,685
1113,686
1113,2469
1113,1083
1114,1066
1114,443
1115,1643
1115,3168
1115,2617
1117,421
1117,390
1118,378
1121,1018
1121,2908
1121,1455
1121,1178
1121,2236
1121,1025
1123,427
1125,3705
1126,706
1126,2148
1127,1684
1127,1227
1127,1693
1129,289
1129,3849
