"year","Source","s_dept","s_xd","Target","d_dept","d_xd"
2009,"1","CS","CS","3575","CS","CS"
2013,"1","CS","CS","3575","CS","CS"
2006,"1","CS","CS","712","CS","XD"
2015,"1","CS","CS","1027","CS","CS"
2015,"1","CS","CS","1945","CS","XD"
2006,"1","CS","CS","3575","CS","CS"
2007,"1","CS","CS","3575","CS","CS"
2002,"1","CS","CS","1821","CS","CS"
2008,"1","CS","CS","3575","CS","CS"
2011,"2","BIO","BIO","3673","BIO","XD"
2014,"2","BIO","BIO","2193","BIO","XD"
2014,"2","BIO","BIO","728","BIO","XD"
2009,"2","BIO","BIO","2445","BIO","XD"
2010,"2","BIO","BIO","2445","BIO","XD"
2009,"2","BIO","BIO","2445","BIO","XD"
2007,"2","BIO","BIO","3673","BIO","XD"
2015,"4","BIO","BIO","2111","BIO","XD"
2010,"4","BIO","BIO","1917","BIO","BIO"
2010,"4","BIO","BIO","737","BIO","XD"
2011,"4","BIO","BIO","1991","BIO","BIO"
2011,"4","BIO","BIO","2503","BIO","BIO"
2011,"4","BIO","BIO","1991","BIO","BIO"
2014,"4","BIO","BIO","184","BIO","BIO"
2015,"4","BIO","BIO","2111","BIO","XD"
2013,"4","BIO","BIO","2284","BIO","BIO"
2013,"4","BIO","BIO","631","BIO","BIO"
2013,"4","BIO","BIO","445","BIO","BIO"
2015,"4","BIO","BIO","2284","BIO","BIO"
2015,"4","BIO","BIO","631","BIO","BIO"
2014,"4","BIO","BIO","2284","BIO","BIO"
2014,"4","BIO","BIO","631","BIO","BIO"
2015,"4","BIO","BIO","2284","BIO","BIO"
2013,"4","BIO","BIO","3323","BIO","BIO"
2013,"4","BIO","BIO","2503","BIO","BIO"
2013,"4","BIO","BIO","1991","BIO","BIO"
2012,"4","BIO","BIO","2284","BIO","BIO"
2012,"4","BIO","BIO","1991","BIO","BIO"
2012,"4","BIO","BIO","1917","BIO","BIO"
2012,"4","BIO","BIO","737","BIO","XD"
2012,"5","BIO","XD","2923","BIO","XD"
2015,"5","BIO","XD","3070","BIO","XD"
2009,"6","CS","CS","2931","CS","CS"
2010,"6","CS","CS","2931","CS","CS"
2015,"6","CS","CS","3318","CS","CS"
2015,"6","CS","CS","148","CS","CS"
2015,"6","CS","CS","3635","CS","CS"
2012,"6","CS","CS","2931","CS","CS"
2012,"6","CS","CS","2931","CS","CS"
2012,"6","CS","CS","2931","CS","CS"
2011,"6","CS","CS","2931","CS","CS"
2014,"7","BIO","BIO","1569","BIO","BIO"
2013,"7","BIO","BIO","2989","BIO","BIO"
2006,"7","BIO","BIO","2989","BIO","BIO"
2014,"7","BIO","BIO","2989","BIO","BIO"
2013,"7","BIO","BIO","601","BIO","BIO"
2015,"7","BIO","BIO","2989","BIO","BIO"
2005,"7","BIO","BIO","2989","BIO","BIO"
2010,"7","BIO","BIO","2989","BIO","BIO"
2015,"8","BIO","BIO","3882","BIO","BIO"
2009,"8","BIO","BIO","1306","BIO","BIO"
2010,"8","BIO","BIO","1480","BIO","BIO"
2014,"8","BIO","BIO","3882","BIO","BIO"
2013,"8","BIO","BIO","3882","BIO","BIO"
2005,"8","BIO","BIO","1306","BIO","BIO"
2013,"8","BIO","BIO","1480","BIO","BIO"
2013,"8","BIO","BIO","1620","BIO","BIO"
2015,"8","BIO","BIO","3882","BIO","BIO"
2003,"8","BIO","BIO","1806","BIO","XD"
2003,"8","BIO","BIO","1367","BIO","BIO"
2012,"8","BIO","BIO","1480","BIO","BIO"
2012,"8","BIO","BIO","3562","BIO","BIO"
2014,"10","BIO","BIO","123","BIO","XD"
2015,"11","BIO","BIO","1626","BIO","BIO"
2007,"11","BIO","BIO","104","BIO","BIO"
2000,"11","BIO","BIO","978","BIO","BIO"
2014,"12","CS","CS","2651","CS","CS"
2002,"12","CS","CS","1721","CS","CS"
2004,"12","CS","CS","1721","CS","CS"
2013,"12","CS","CS","3386","CS","CS"
2013,"12","CS","CS","1118","CS","CS"
2010,"12","CS","CS","1118","CS","CS"
2009,"12","CS","CS","1118","CS","CS"
1997,"12","CS","CS","3530","CS","CS"
2006,"12","CS","CS","1118","CS","CS"
2014,"12","CS","CS","2651","CS","CS"
2000,"12","CS","CS","4108","CS","XD"
2011,"12","CS","CS","1181","CS","CS"
2011,"12","CS","CS","2651","CS","CS"
1994,"12","CS","CS","3530","CS","CS"
1997,"12","CS","CS","3530","CS","CS"
2011,"12","CS","CS","1118","CS","CS"
2011,"12","CS","CS","3641","CS","CS"
2003,"12","CS","CS","1721","CS","CS"
2003,"12","CS","CS","124","CS","XD"
2008,"12","CS","CS","1118","CS","CS"
2014,"12","CS","CS","2651","CS","CS"
2003,"12","CS","CS","4108","CS","XD"
2000,"12","CS","CS","2217","CS","CS"
2000,"12","CS","CS","2217","CS","CS"
2005,"12","CS","CS","3945","CS","CS"
2008,"12","CS","CS","1118","CS","CS"
2010,"12","CS","CS","1118","CS","CS"
2010,"12","CS","CS","3641","CS","CS"
2009,"12","CS","CS","1118","CS","CS"
2004,"12","CS","CS","3945","CS","CS"
2009,"12","CS","CS","3641","CS","CS"
2013,"12","CS","CS","3641","CS","CS"
2010,"12","CS","CS","3641","CS","CS"
2010,"12","CS","CS","2651","CS","CS"
2014,"12","CS","CS","3641","CS","CS"
2011,"12","CS","CS","1118","CS","CS"
2008,"12","CS","CS","1118","CS","CS"
1996,"12","CS","CS","3530","CS","CS"
2010,"12","CS","CS","1118","CS","CS"
2007,"12","CS","CS","1118","CS","CS"
2000,"12","CS","CS","124","CS","XD"
2008,"12","CS","CS","1118","CS","CS"
2014,"12","CS","CS","3641","CS","CS"
2015,"12","CS","CS","2651","CS","CS"
1995,"12","CS","CS","3530","CS","CS"
1999,"12","CS","CS","3530","CS","CS"
2013,"12","CS","CS","1118","CS","CS"
2015,"12","CS","CS","2651","CS","CS"
2014,"12","CS","CS","3641","CS","CS"
2007,"12","CS","CS","1118","CS","CS"
2012,"12","CS","CS","3641","CS","CS"
1997,"12","CS","CS","3530","CS","CS"
2011,"12","CS","CS","943","CS","XD"
2011,"12","CS","CS","1816","CS","XD"
2011,"12","CS","CS","3565","CS","CS"
2011,"12","CS","CS","1118","CS","CS"
2011,"12","CS","CS","2774","CS","CS"
2011,"12","CS","CS","2599","CS","CS"
2011,"12","CS","CS","3182","CS","CS"
2011,"12","CS","CS","3641","CS","CS"
2009,"12","CS","CS","3641","CS","CS"
2015,"12","CS","CS","1181","CS","CS"
1995,"12","CS","CS","3530","CS","CS"
