"Source","Target"
1,712
1,3575
7,2989
1118,12
3245,19
293,19
19,3707
19,3424
3707,3424
19,1028
338,24
2265,27
30,2660
3110,30
3110,2660
30,2376
33,1083
1959,34
1185,39
39,2435
598,39
40,3099
41,3384
43,1722
2364,1631
2364,44
1631,44
45,2929
45,2703
45,2340
2929,2703
2929,2340
2703,2340
46,3974
2602,60
63,844
63,1860
844,1860
63,1092
3412,64
2418,65
2966,65
2401,67
2401,3664
67,3664
1570,69
1570,2366
69,2366
2077,71
2093,145
2093,73
2093,1821
145,73
145,1821
73,1821
3770,73
78,2059
3481,78
3481,278
78,278
80,2380
81,646
1639,82
3700,83
1265,83
87,1694
87,3849
1694,3849
88,913
3873,88
3873,913
3873,294
88,294
913,294
1363,94
2367,95
98,1988
2482,100
1532,101
1196,101
101,2501
1378,107
4066,114
2640,114
2640,351
114,351
117,1625
119,2792
1956,120
1956,551
120,551
4008,121
4008,1378
4008,2370
121,1378
121,2370
1378,2370
1354,124
1759,124
2285,128
1224,136
136,666
3057,2868
3057,136
2868,136
2868,181
136,181
2173,137
2173,2837
137,2837
1418,139
1622,141
146,3725
146,3624
3725,3624
1109,147
3853,147
1527,147
148,2774
148,733
148,3191
733,3191
598,149
156,786
3064,156
3064,786
2120,159
3365,159
160,2841
3143,161
3143,510
161,510
164,4021
2252,169
2252,2384
2384,169
1371,174
493,174
177,1891
177,786
1891,786
945,177
179,2070
1423,1631
1423,181
1423,351
1631,181
1631,351
181,351
187,627
2626,199
202,2179
205,3363
206,3579
2938,208
2673,212
212,1357
389,212
755,219
755,3974
219,3974
598,219
222,229
222,395
229,395
229,2528
230,3361
231,2217
984,231
984,2898
231,2898
1362,753
1362,235
753,235
1362,3595
235,3595
235,2428
236,3697
812,2433
812,237
2433,237
237,3184
237,2217
1066,238
3224,242
243,2379
1420,244
253,1712
256,3077
256,4028
256,676
4028,676
3143,263
510,263
3143,1028
1028,263
1205,3957
1205,265
3957,265
1007,265
1743,265
268,892
268,747
3311,269
1175,271
273,1589
273,3182
273,1628
3182,1628
274,3800
274,646
3800,646
278,2155
2797,278
2797,2155
2835,278
2584,281
282,2591
1662,289
1662,3541
1662,2346
1662,3371
1662,1821
289,3541
289,2346
289,3371
289,1821
3541,2346
3541,3371
3541,1821
2346,3371
2346,1821
3371,1821
289,1221
289,2586
2032,291
2244,291
1739,296
299,1145
299,3160
1392,299
457,300
619,300
1658,301
304,3630
304,3353
3630,3353
403,307
1571,619
1571,307
619,307
3790,307
3189,307
307,1325
2282,307
308,1738
3622,317
321,3822
321,2620
501,323
1719,501
1719,323
758,326
1429,3568
1429,326
3568,326
3565,3872
3565,2774
3565,337
3872,2774
3872,337
2774,337
1891,2774
1891,337
1891,3635
2774,3635
337,3635
4141,338
339,3125
339,1902
3125,1902
339,2032
345,4032
345,3034
4032,3034
345,2483
345,1430
345,3977
2483,1430
2483,3977
1430,3977
3503,346
2445,349
353,4087
353,3541
353,3752
3541,4087
3541,3752
353,3747
359,2720
3176,359
361,672
1358,362
969,366
369,829
2166,374
433,3802
433,376
3802,376
378,3442
1996,379
3422,380
380,410
381,1092
385,2392
385,2825
2392,2825
385,4165
4165,2392
387,4101
387,898
4101,898
2584,387
1774,387
1644,389
391,3590
391,2772
3590,2772
2475,395
2707,396
3935,397
3211,399
1442,399
1442,1652
399,1652
399,867
867,1652
1442,867
399,2201
1442,2201
2201,1652
3211,1652
